Row,id12286,id13126,id13308,id13657,id15095,id15360,id15361,id15362,id15718,id15719,id15720,id15721,id15723,id15724,id15726,id16408,id16410,id3804,id3806,id3808,id3812,id3819,id3825,id3834,id3845,id3851,id3869,id3914
id12286,0.666666666666667,1,0.666666666666667,0.333333333333333,0.5,1,1,0,1,0,1,0.5,1,0,1,1,1,0.333333333333333,1,1,0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333
id13126,0.5,0.5,0.25,0.333333333333333,0,1,1,0,1,0,1,0,1,0,1,1,1,0.25,0.75,0.75,0.5,0.5,0.5,0.5,0.333333333333333,0.5,0.5,0.333333333333333
id13308,0,0.5,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5
id13657,0.5,0.75,0.5,1,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,NaN,NaN,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.666666666666667,0.5
id15095,0,0.714285714285714,0.285714285714286,0.428571428571429,0.857142857142857,0.142857142857143,0.166666666666667,0.285714285714286,0.714285714285714,0.5,0.714285714285714,0.714285714285714,0.5,0,0.714285714285714,0,0,0.142857142857143,0.714285714285714,0.857142857142857,0.142857142857143,0.571428571428571,0.714285714285714,0.428571428571429,0.142857142857143,0.5,0.571428571428571,0.6
id15360,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
id15361,0,1,1,0,1,1,1,0,1,NaN,1,1,NaN,0,1,NaN,NaN,0,1,1,0,1,1,0,0,1,1,0
id15362,0,1,1,0,1,1,1,0,1,NaN,1,1,NaN,0,1,NaN,NaN,0,1,1,0,1,1,0,0,1,1,0
id15718,0.333333333333333,1,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0,0.666666666666667,0.5,0.5,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333
id15719,0,1,1,0,1,1,1,0,1,NaN,1,1,NaN,0,1,NaN,NaN,0,1,1,0,1,1,0,0,1,1,0
id15720,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,NaN,0,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0
id15721,0,1,0.5,0.5,1,0.5,0.5,0,1,1,1,1,NaN,0,1,NaN,NaN,0,1,1,0.5,0.5,1,0,0.5,1,1,0
id15723,0.5,1,0.5,0,0.5,1,1,0,1,0,1,0.5,1,0,1,1,1,0,1,1,0,1,0.5,0.5,0,0.5,1,0
id15724,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
id15726,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
id16408,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
id16410,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0
id16427,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1
