Row,id12258,id12264,id12267,id12276,id12286,id12294,id12295,id12296,id12300,id13125,id13126,id13308,id13657,id15092,id15095,id15096,id15097,id15100,id15360,id15361,id15362,id15718,id15719,id15720,id15721,id15723,id15724,id15726,id16408,id16410,id16419,id3804,id3806,id3808,id3812,id3819,id3825,id3834,id3845,id3846,id3847,id3851,id3855,id3869,id3870,id3886,id3891,id3897,id3914,id3922,id3938,id3942
id3845,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id3846,37,36,37,37,37,36,32,37,37,31,31,27,18,13,13,14,13,14,14,14,14,14,14,14,14,8,14,14,12,12,11,36,37,35,37,33,37,37,29,37,37,37,37,34,37,37,36,37,36,36,36,37
id3847,60,60,58,60,60,52,48,57,60,58,58,57,54,46,45,48,47,50,50,49,47,47,49,47,50,38,50,44,32,32,27,58,60,58,60,57,60,60,56,60,60,57,60,55,60,59,60,57,58,60,59,60
id3851,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id3855,52,52,51,52,52,47,43,50,52,46,46,43,39,29,27,31,30,32,32,32,31,31,31,30,32,25,32,30,18,18,16,47,51,51,52,49,52,52,47,52,52,50,52,49,52,51,52,50,51,51,51,52
id3869,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
id3870,34,34,34,34,34,33,32,32,34,31,31,29,25,19,21,20,19,21,21,20,18,18,20,21,21,19,21,21,13,13,9,32,34,32,34,31,34,34,31,34,34,34,34,30,34,34,33,33,33,33,33,34
id3886,72,71,70,72,72,67,58,67,72,69,69,67,61,45,43,46,46,48,48,47,46,46,47,48,48,31,48,45,28,28,25,67,72,71,72,70,72,72,65,72,72,70,72,67,72,72,71,69,70,68,71,72
id3891,56,56,55,56,56,52,50,53,56,49,49,47,36,23,23,24,24,26,26,26,26,26,25,26,26,21,26,24,11,11,10,55,56,53,56,52,56,56,47,56,56,54,56,49,55,55,55,55,55,53,55,56
id3895,23,23,22,23,23,19,20,22,23,19,19,16,15,10,12,13,11,13,13,13,13,13,13,12,13,10,13,11,5,5,4,23,23,22,23,21,23,23,22,23,23,21,23,23,23,23,23,23,23,22,22,23
id3896,10,10,10,10,10,8,4,10,10,9,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,NaN,6,4,5,6,5,9,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,9,10
id3897,40,40,40,40,40,38,37,37,40,34,34,31,24,21,20,23,22,23,23,23,23,23,22,22,23,19,23,22,8,8,6,37,40,40,40,39,40,40,34,40,40,40,40,39,40,39,40,40,39,37,39,40
id3914,5,5,5,5,5,5,3,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,1,2,2,NaN,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5
id3922,33,33,33,33,33,32,31,32,33,30,30,29,24,13,12,14,13,14,14,13,13,13,14,14,14,12,14,12,9,9,8,31,33,33,33,30,33,33,30,33,33,33,33,30,33,33,32,31,31,32,32,33
id3933,24,23,24,24,24,23,23,23,24,19,19,18,13,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,2,2,2,22,24,24,24,24,24,24,19,24,24,24,24,21,24,24,24,24,22,24,23,24
id3934,24,24,24,24,24,24,21,24,24,22,22,21,18,11,12,13,11,13,13,13,13,13,13,13,13,11,13,13,7,7,7,21,24,23,24,21,24,24,23,24,24,24,24,21,24,24,24,22,24,24,23,24
id3938,70,70,70,69,70,65,53,65,70,65,65,61,55,43,43,45,45,47,47,47,45,45,47,45,47,33,47,46,25,26,24,67,69,68,70,65,70,70,65,70,70,70,70,67,70,70,70,67,69,67,69,70
id3942,44,44,44,44,44,41,38,44,44,40,40,36,32,25,21,25,25,26,26,26,23,23,26,26,26,22,26,22,18,18,15,40,43,44,44,41,44,44,40,44,44,44,44,41,44,42,44,44,44,44,43,44
id3956,3,3,3,3,3,3,3,3,3,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
