Row,id12262,id12271,id12272,id12277,id12278,id12299,id12301,id13127,id15103,id3838,id3866,id3887,id3894,id3902,id3903,id3908,id3943,id3946
id12262,17,17,17,11,NaN,11,11,11,11,16,17,17,11,17,17,17,17,11
id12271,29,38,38,17,9,17,26,17,26,36,37,38,17,38,38,38,38,17
id12272,23,29,29,8,6,8,14,8,14,26,28,29,8,29,29,29,29,8
id12277,19,23,23,15,4,15,19,15,19,22,23,23,15,23,23,23,23,15
id12278,8,14,14,1,6,1,7,1,7,12,14,14,1,14,14,14,14,1
id12299,20,27,27,9,7,9,16,9,16,26,26,27,9,27,27,27,27,9
id12301,12,18,18,6,6,6,12,6,12,15,18,18,6,18,18,18,18,6
id12304,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2
id12306,2,2,3,NaN,1,NaN,1,NaN,1,2,3,3,NaN,3,3,3,3,NaN
id12308,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2
id13127,19,29,29,16,10,16,26,16,26,29,29,29,16,29,29,29,29,16
id15103,15,22,22,15,7,15,22,15,22,22,22,22,15,22,22,22,22,15
id15363,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id3818,3,4,5,1,2,1,3,1,3,4,4,5,1,5,5,5,5,1
id3835,3,4,5,1,2,1,3,1,3,4,5,5,1,5,5,5,5,1
id3837,4,7,7,1,3,1,4,1,4,5,7,7,1,7,7,7,7,1
id3838,5,6,6,2,1,2,3,2,3,4,6,6,2,6,6,6,6,2
id3840,2,4,4,2,2,2,4,2,4,4,4,4,2,4,4,4,4,2
id3858,6,8,9,1,3,1,4,1,4,8,9,9,1,9,9,9,9,1
id3864,2,3,3,2,1,2,3,2,3,3,3,3,2,3,3,3,3,2
id3866,17,22,22,7,5,7,12,7,12,18,22,22,7,22,22,22,22,7
id3867,NaN,1,1,NaN,1,NaN,1,NaN,1,1,1,1,NaN,1,1,1,1,NaN
id3877,2,3,4,NaN,2,NaN,2,NaN,2,4,4,4,NaN,4,4,4,4,NaN
id3887,5,9,9,3,4,3,7,3,7,9,9,9,3,9,9,9,9,3
id3894,38,47,49,16,11,16,27,16,27,44,49,49,16,49,49,49,49,16
id3902,15,26,26,4,11,4,15,4,15,25,26,26,4,26,26,26,26,4
id3903,24,33,34,6,10,6,16,6,16,32,34,34,6,34,34,34,34,6
id3905,9,12,12,1,3,1,4,1,4,9,12,12,1,12,12,12,12,1
id3906,8,8,8,8,NaN,8,8,8,8,8,8,8,8,8,8,8,8,8
id3908,11,17,17,2,6,2,8,2,8,13,16,17,2,17,17,17,17,2
id3916,4,6,6,2,2,2,4,2,4,5,6,6,2,6,6,6,6,2
id3920,8,13,13,5,5,5,10,5,10,12,13,13,5,13,13,13,13,5
id3943,15,23,23,9,8,9,17,9,17,22,23,23,9,23,23,23,23,9
id3946,21,30,30,15,9,15,24,15,24,29,30,30,15,29,30,30,30,15
