bill_number,bill_id,title
HB2001,416114,"State bonds; technical correction"
HB2002,416100,"Tax notes; definitions; technical correction"
HB2003,416087,"Technical correction; racing commission; prohibition"
HCR2001,416071,"Bond elections; technical correction"
HCR2002,416057,"Technical correction; racing commission; prohibition"
SB1001,416043,"Statewide special election"
SB1002,416027,"Budget reconciliation; appropriations; education"
SB1003,416014,"Revenue bonds; lease-purchase finance"
SB1004,416000,"State lottery; authorization"
SB1005,415986,"Standard deduction; nonresidents; prorate"
SCR1001,415972,"Temporary sales tax; repeal"
