Row,id11296,id12034,id12036,id12066,id13503,id516,id531,id560,id561,id563,id565,id578,id581,id599,id605,id620,id637,id850,id855,id860,id862,id863
id11296,1,1,1,1,1,1,0.941176470588235,1,NaN,0.954545454545455,0.954545454545455,0.947368421052632,1,1,1,1,0.954545454545455,1,1,NaN,0.909090909090909,1
id12034,0.923076923076923,1,1,1,1,0.928571428571429,0.928571428571429,1,NaN,0.933333333333333,0.866666666666667,0.928571428571429,0.933333333333333,1,1,0.933333333333333,1,1,1,NaN,0.933333333333333,0.928571428571429
id12036,1,1,1,1,1,1,0.916666666666667,1,NaN,0.882352941176471,1,0.933333333333333,1,1,1,1,0.941176470588235,1,1,NaN,0.941176470588235,1
id12066,1,1,1,1,1,1,1,1,NaN,1,1,0.916666666666667,1,1,1,1,1,1,1,NaN,1,1
id13503,0.966666666666667,0.90625,0.933333333333333,1,1,0.9375,0.96875,1,NaN,0.967741935483871,0.9375,0.964285714285714,1,1,1,0.96875,1,1,1,NaN,0.967741935483871,0.90625
id13938,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,0.933333333333333,0.928571428571429
id516,1,1,1,1,1,1,0.952380952380952,1,NaN,0.925925925925926,1,0.956521739130435,1,1,1,0.962962962962963,0.962962962962963,1,1,NaN,0.92,1
id531,0.931818181818182,0.934782608695652,0.931818181818182,1,0.971428571428571,0.977777777777778,1,1,NaN,0.934782608695652,0.956521739130435,0.928571428571429,0.978723404255319,1,1,1,1,0.972972972972973,1,NaN,1,0.888888888888889
id549,0.857142857142857,1,1,1,1,0.857142857142857,1,1,NaN,0.875,1,1,0.875,1,1,1,1,1,1,NaN,1,1
id560,1,0.972222222222222,0.971428571428571,1,0.956521739130435,1,0.935483870967742,1,NaN,0.948717948717949,0.921052631578947,0.971428571428571,0.972972972972973,1,1,0.974358974358974,0.974358974358974,1,1,NaN,0.888888888888889,0.972222222222222
id561,1,0.928571428571429,1,1,1,0.857142857142857,0.923076923076923,1,NaN,1,1,1,1,1,1,1,0.933333333333333,1,1,NaN,0.857142857142857,1
id563,1,0.923076923076923,1,1,1,1,0.916666666666667,1,NaN,1,0.952380952380952,1,0.956521739130435,1,1,1,0.956521739130435,1,1,NaN,0.923076923076923,0.916666666666667
id565,0.961538461538462,0.928571428571429,0.884615384615385,1,1,0.964285714285714,1,1,NaN,0.914285714285714,1,0.884615384615385,0.972222222222222,1,1,1,0.972222222222222,1,1,NaN,1,0.962962962962963
id578,1,1,1,1,1,1,0.923076923076923,1,NaN,0.875,1,1,1,1,1,1,0.9375,1,1,NaN,0.933333333333333,1
id581,1,0.91304347826087,1,1,1,0.956521739130435,0.952380952380952,1,NaN,1,0.909090909090909,1,1,1,1,1,0.971428571428571,1,1,NaN,0.958333333333333,0.869565217391304
id599,1,0.964285714285714,1,1,1,0.964285714285714,1,1,NaN,0.96551724137931,0.964285714285714,0.961538461538462,1,1,1,1,1,1,1,NaN,0.962962962962963,0.962962962962963
id605,1,1,1,1,1,1,1,1,NaN,1,1,0.947368421052632,1,1,1,1,1,1,1,NaN,1,1
id620,0.958333333333333,0.961538461538462,0.958333333333333,1,1,0.96,1,1,NaN,1,0.972972972972973,0.958333333333333,1,1,1,1,1,1,1,NaN,1,0.92
id637,0.928571428571429,0.888888888888889,0.904761904761905,1,0.941176470588235,0.931818181818182,0.975,1,NaN,0.910714285714286,0.929824561403509,0.928571428571429,0.927272727272727,1,1,0.982456140350877,1,0.972222222222222,1,NaN,0.954545454545455,0.886363636363636
id850,0.933333333333333,1,0.933333333333333,1,1,1,1,1,NaN,0.947368421052632,1,1,0.947368421052632,1,1,1,1,1,1,NaN,1,1
id855,1,1,1,1,1,1,1,1,NaN,1,0.958333333333333,1,1,1,1,1,1,1,1,NaN,1,0.869565217391304
id860,0.971428571428571,0.945945945945946,0.914285714285714,1,0.961538461538462,1,0.941176470588235,1,NaN,0.923076923076923,0.973684210526316,0.914285714285714,1,1,1,0.974358974358974,0.947368421052632,0.964285714285714,1,NaN,0.891891891891892,0.972222222222222
id862,0.966666666666667,0.935483870967742,0.966666666666667,1,0.95,0.935483870967742,1,1,NaN,0.90625,0.9375,1,0.96875,1,1,1,1,1,1,NaN,1,0.870967741935484
id863,1,1,1,1,1,1,0.95,1,NaN,1,1,0.952380952380952,1,1,1,1,0.958333333333333,1,1,NaN,0.956521739130435,1
