Row,id10994,id10995,id10996,id10997,id10998,id10999,id11003,id11005,id11006,id11547,id11548,id11549,id11550,id11552,id11942,id11943,id11944,id11945,id11949,id11951,id12119,id12655,id13161,id13186,id13312,id13313,id13528,id13835,id13948,id13952,id16276,id551,id589,id612,id621,id634,id636,id849,id854,id857,id859,id861,id864,id866,id869,id870
id12655,14,12,14,14,14,14,14,14,14,13,14,14,13,14,12,14,14,14,14,14,14,14,8,4,4,4,4,4,4,4,14,14,14,14,14,NaN,14,14,12,14,12,14,13,14,14,14
id13161,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,5,5,5,4,4,4,4,8,8,8,8,8,NaN,8,8,6,8,8,8,8,8,8,8
id13186,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,NaN,5,5,3,5,5,5,5,5,5,5
id13312,6,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,5,4,5,5,7,7,7,7,6,NaN,7,7,5,7,7,7,7,7,7,7
id13313,9,10,10,10,10,10,9,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,10,10,10,10,9,NaN,10,10,8,10,10,10,10,10,10,9
id13528,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,NaN,4,4,2,4,4,4,4,4,4,4
id13835,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,5,5,3,5,5,5,5,5,4,5
id13948,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NaN,4,4,2,4,4,4,4,4,4,4
id13952,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,2,3,3,3,3,3,3,3
id13964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1
id16276,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2,8,8,8,8,5,NaN,5,8,8,8,7,8,7,8,8,8
id2378,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,4,4,4,4,4,NaN,4,4,4,4,3,4,3,4,4,4
id551,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,3,3,2,3,3,2,2,8,8,8,8,4,NaN,5,8,8,8,7,8,7,8,8,8
id589,24,24,25,25,25,25,24,25,25,24,25,25,25,25,23,25,25,25,25,25,24,23,17,10,10,10,9,8,9,9,25,25,25,25,24,NaN,25,25,23,25,23,25,24,25,25,25
id592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,NaN,1,4,4,4,4,4,4,4,4,4
id612,24,25,26,26,26,26,26,26,26,25,26,26,26,25,24,26,25,26,26,26,25,24,18,13,13,13,11,11,9,9,26,26,26,26,26,NaN,26,26,25,26,24,26,25,26,26,26
id621,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,NaN,4,4,3,4,3,4,3,4,4,4
