Row,id11296,id11540,id11948,id12034,id12036,id12066,id13503,id13938,id16994,id516,id525,id531,id549,id560,id561,id563,id565,id578,id581,id591,id599,id605,id607,id610,id616,id620,id633,id637,id847,id850,id855,id860,id862,id863
id11296,4,4,2,3,1,NaN,1,3,NaN,NaN,1,2,3,1,1,2,1,3,2,2,NaN,NaN,NaN,NaN,1,NaN,2,NaN,NaN,1,2,1,1,1
id11540,4,6,4,3,2,2,1,3,NaN,NaN,3,3,3,2,1,4,1,5,4,2,NaN,2,NaN,NaN,1,2,2,NaN,2,1,4,1,1,1
id11948,2,4,4,2,1,2,NaN,2,NaN,NaN,2,3,2,1,NaN,4,NaN,4,4,2,NaN,2,NaN,NaN,NaN,2,2,NaN,2,NaN,4,NaN,NaN,NaN
id12034,3,3,2,11,NaN,6,1,7,2,NaN,7,8,2,NaN,1,4,2,2,8,8,2,4,NaN,8,2,NaN,2,8,NaN,7,8,1,8,NaN
id12036,1,2,1,NaN,4,1,NaN,2,2,NaN,2,2,3,4,1,1,1,2,1,NaN,NaN,3,2,2,NaN,1,2,NaN,1,2,1,NaN,1,3
id12066,NaN,2,2,6,1,10,2,2,2,2,8,8,NaN,1,NaN,4,NaN,3,8,8,1,6,1,6,1,2,NaN,8,2,6,8,1,6,1
id13503,1,1,NaN,1,NaN,2,3,1,2,2,1,1,NaN,NaN,NaN,2,NaN,1,NaN,2,1,NaN,1,NaN,1,NaN,NaN,2,NaN,1,NaN,2,1,1
id13938,3,3,2,7,2,2,1,9,4,NaN,4,6,4,2,1,4,2,2,4,4,2,2,2,6,1,NaN,4,4,NaN,5,4,1,5,2
id16994,NaN,NaN,NaN,2,2,2,2,4,6,2,3,3,2,2,1,4,2,1,NaN,2,3,2,3,4,NaN,NaN,2,4,NaN,2,NaN,1,2,3
id516,NaN,NaN,NaN,NaN,NaN,2,2,NaN,2,2,1,1,NaN,NaN,NaN,2,NaN,1,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,1,NaN,1
id525,1,3,2,7,2,8,1,4,3,1,11,7,1,2,2,5,3,4,7,6,2,5,NaN,7,NaN,2,NaN,8,2,5,7,1,6,1
id531,2,3,3,8,2,8,1,6,3,1,7,12,4,2,NaN,4,NaN,4,9,9,NaN,7,2,8,1,1,4,7,1,8,9,1,7,2
id549,3,3,2,2,3,NaN,NaN,4,2,NaN,1,4,5,3,1,2,1,3,2,2,NaN,2,2,2,NaN,NaN,4,NaN,NaN,2,2,NaN,1,3
id560,1,2,1,NaN,4,1,NaN,2,2,NaN,2,2,3,4,1,1,1,2,1,NaN,NaN,3,2,2,NaN,1,2,NaN,1,2,1,NaN,1,3
id561,1,1,NaN,1,1,NaN,NaN,1,1,NaN,2,NaN,1,1,2,1,2,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1
id563,2,4,4,4,1,4,2,4,4,2,5,4,2,1,1,8,2,5,4,4,3,2,1,2,NaN,2,2,4,2,NaN,4,1,1,1
id565,1,1,NaN,2,1,NaN,NaN,2,2,NaN,3,NaN,1,1,2,2,3,1,NaN,NaN,2,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1,1
id578,3,5,4,2,2,3,1,2,1,1,4,4,3,2,1,5,1,6,4,3,NaN,2,NaN,NaN,NaN,2,2,1,2,NaN,4,1,NaN,1
id581,2,4,4,8,1,8,NaN,4,NaN,NaN,7,9,2,1,NaN,4,NaN,4,10,8,NaN,6,NaN,6,1,2,2,6,2,6,10,NaN,6,NaN
id591,2,2,2,8,NaN,8,2,4,2,2,6,9,2,NaN,NaN,4,NaN,3,8,10,1,4,1,6,1,NaN,2,8,NaN,6,8,1,6,1
id599,NaN,NaN,NaN,2,NaN,1,1,2,3,1,2,NaN,NaN,NaN,1,3,2,NaN,NaN,1,3,NaN,1,2,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,1,1
