Row,id11296,id11540,id11948,id12034,id12036,id12066,id13503,id13938,id16994,id516,id525,id531,id549,id560,id561,id563,id565,id578,id581,id591,id599,id605,id607,id610,id616,id620,id633,id637,id847,id850,id855,id860,id862,id863
id11296,1,0.25,0.5,1,1,NaN,1,1,NaN,NaN,0,1,1,1,1,1,1,1,1,0.5,NaN,NaN,NaN,NaN,0,NaN,0.5,NaN,NaN,1,1,1,1,1
id11540,0.25,1,1,0.333333333333333,0,0,0,0.333333333333333,NaN,NaN,1,0.333333333333333,0.333333333333333,0,0,0.25,0,0.2,0.25,1,NaN,0,NaN,NaN,1,0,1,NaN,1,0,0.25,0,0,0
id11948,0.5,1,1,0.5,0,0,NaN,0.5,NaN,NaN,1,0.333333333333333,0.5,0,NaN,0.25,NaN,0.25,0.25,1,NaN,0,NaN,NaN,NaN,0,1,NaN,1,NaN,0.25,NaN,NaN,NaN
id12034,1,0.333333333333333,0.5,1,NaN,0.833333333333333,1,0.857142857142857,0.5,NaN,0.285714285714286,1,1,NaN,1,1,1,1,0.875,0.125,1,1,NaN,0.25,0,NaN,0.5,1,NaN,1,1,1,0.875,NaN
id12036,1,0,0,NaN,1,1,NaN,1,0,NaN,0,1,1,1,1,1,1,1,1,NaN,NaN,1,0,0,NaN,1,0,NaN,0,1,1,NaN,1,1
id12066,NaN,0,0,0.833333333333333,1,1,1,1,0.5,1,0,0.875,NaN,1,NaN,1,NaN,1,1,0.125,1,1,1,0,0,1,NaN,0.875,0,0.833333333333333,0.875,1,1,1
id13503,1,0,NaN,1,NaN,1,1,1,0.5,1,0,1,NaN,NaN,NaN,1,NaN,1,NaN,0,1,NaN,1,NaN,0,NaN,NaN,1,NaN,1,NaN,1,1,1
id13938,1,0.333333333333333,0.5,0.857142857142857,1,1,1,1,0.25,NaN,0.25,0.833333333333333,1,1,1,1,1,1,1,0.5,1,1,0,0.166666666666667,0,NaN,0.25,0.75,NaN,0.8,0.75,1,1,1
id16994,NaN,NaN,NaN,0.5,0,0.5,0.5,0.25,1,0.5,1,0,0,0,1,0.5,0.5,0,NaN,0.5,0.666666666666667,0,1,1,NaN,NaN,1,0.5,NaN,0,NaN,0,0.5,0.333333333333333
id516,NaN,NaN,NaN,NaN,NaN,1,1,NaN,0.5,1,0,1,NaN,NaN,NaN,1,NaN,1,NaN,0,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1
id525,0,1,1,0.285714285714286,0,0,0,0.25,1,0,1,0.142857142857143,0,0,0.5,0.2,0.333333333333333,0,0,0.833333333333333,0.5,0,NaN,1,NaN,0,NaN,0.25,1,0.2,0.142857142857143,0,0.166666666666667,0
id531,1,0.333333333333333,0.333333333333333,1,1,0.875,1,0.833333333333333,0,1,0.142857142857143,1,1,1,NaN,1,NaN,1,0.888888888888889,0.111111111111111,NaN,1,0,0.125,0,1,0.25,1,0,1,1,1,0.857142857142857,1
id549,1,0.333333333333333,0.5,1,1,NaN,NaN,1,0,NaN,0,1,1,1,1,1,1,1,1,0.5,NaN,1,0,0,NaN,NaN,0.25,NaN,NaN,1,1,NaN,1,1
id560,1,0,0,NaN,1,1,NaN,1,0,NaN,0,1,1,1,1,1,1,1,1,NaN,NaN,1,0,0,NaN,1,0,NaN,0,1,1,NaN,1,1
id561,1,0,NaN,1,1,NaN,NaN,1,1,NaN,0.5,NaN,1,1,1,1,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1
id563,1,0.25,0.25,1,1,1,1,1,0.5,1,0.2,1,1,1,1,1,1,1,1,0.25,1,1,1,0.5,NaN,1,0.5,1,0,NaN,1,1,1,1
id565,1,0,NaN,1,1,NaN,NaN,1,0.5,NaN,0.333333333333333,NaN,1,1,1,1,1,1,NaN,NaN,1,NaN,NaN,0.5,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1
id578,1,0.2,0.25,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.333333333333333,NaN,1,NaN,NaN,NaN,1,0.5,1,0,NaN,1,1,NaN,1
id581,1,0.25,0.25,0.875,1,1,NaN,1,NaN,NaN,0,0.888888888888889,1,1,NaN,1,NaN,1,1,0.25,NaN,1,NaN,0,0,1,0.5,0.833333333333333,0,0.833333333333333,0.9,NaN,1,NaN
id591,0.5,1,1,0.125,NaN,0.125,0,0.5,0.5,0,0.833333333333333,0.111111111111111,0.5,NaN,NaN,0.25,NaN,0.333333333333333,0.25,1,0,0,0,0.833333333333333,1,NaN,1,0,NaN,0,0.125,0,0.166666666666667,0
id599,NaN,NaN,NaN,1,NaN,1,1,1,0.666666666666667,1,0.5,NaN,NaN,NaN,1,1,1,NaN,NaN,0,1,NaN,1,0.5,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1
id605,NaN,0,0,1,1,1,NaN,1,0,NaN,0,1,1,1,NaN,1,NaN,1,1,0,NaN,1,0,0,0,1,0,1,0,1,1,NaN,1,1
id607,NaN,NaN,NaN,NaN,0,1,1,0,1,1,NaN,0,0,0,NaN,1,NaN,NaN,NaN,0,1,0,1,1,NaN,NaN,1,1,NaN,0,NaN,NaN,0,0.333333333333333
id610,NaN,NaN,NaN,0.25,0,0,NaN,0.166666666666667,1,NaN,1,0.125,0,0,1,0.5,0.5,NaN,0,0.833333333333333,0.5,0,1,1,1,NaN,1,0.25,NaN,0.125,0.166666666666667,NaN,0.125,0
id616,0,1,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0,NaN,1,1,NaN,NaN,0,NaN,0,0,0,0,NaN
id620,NaN,0,0,NaN,1,1,NaN,NaN,NaN,NaN,0,1,NaN,1,NaN,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,0,NaN,1,NaN,NaN,NaN
id633,0.5,1,1,0.5,0,NaN,NaN,0.25,1,NaN,NaN,0.25,0.25,0,NaN,0.5,NaN,0.5,0.5,1,NaN,0,1,1,NaN,NaN,1,NaN,NaN,0,0.5,NaN,0,0
id637,NaN,NaN,NaN,1,NaN,0.875,1,0.75,0.5,1,0.25,1,NaN,NaN,1,1,1,1,0.833333333333333,0,1,1,1,0.25,0,NaN,NaN,1,NaN,1,1,1,0.857142857142857,1
id847,NaN,1,1,NaN,0,0,NaN,NaN,NaN,NaN,1,0,NaN,0,NaN,0,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,1,NaN,0,NaN,NaN,NaN
id850,1,0,NaN,1,1,0.833333333333333,1,0.8,0,NaN,0.2,1,1,1,NaN,NaN,NaN,NaN,0.833333333333333,0,NaN,1,0,0.125,0,NaN,0,1,NaN,1,1,1,0.875,1
id855,1,0.25,0.25,1,1,0.875,NaN,0.75,NaN,NaN,0.142857142857143,1,1,1,NaN,1,NaN,1,0.9,0.125,NaN,1,NaN,0.166666666666667,0,1,0.5,1,0,1,1,NaN,0.833333333333333,NaN
id860,1,0,NaN,1,NaN,1,1,1,0,1,0,1,NaN,NaN,NaN,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,1,NaN,1,1,NaN
id862,1,0,NaN,0.875,1,1,1,1,0.5,NaN,0.166666666666667,0.857142857142857,1,1,1,1,1,NaN,1,0.166666666666667,1,1,0,0.125,0,NaN,0,0.857142857142857,NaN,0.875,0.833333333333333,1,1,1
id863,1,0,NaN,NaN,1,1,1,1,0.333333333333333,1,0,1,1,1,1,1,1,1,NaN,0,1,1,0.333333333333333,0,NaN,NaN,0,1,NaN,1,NaN,NaN,1,1
