Row,score,count,names
id524,1500,0,Thomas Brinkman
id551,1500,0,Ronald Gerberry
id589,1500,0,Barbara Sears
id592,1500,0,Stephen Slesnick
id596,1500,0,Fred Strahorn
id612,1500,0,Ron Amstutz
id614,1500,0,John Boccieri
id621,1500,0,Teresa Fedor
id634,1500,0,Timothy Schaffer
id636,1500,0,Kirk Schuring
id849,1500,0,Nan Baker
id854,1500,0,Terry Boose
id857,1500,0,Timothy Derickson
id859,1500,0,Cheryl Grossman
id861,1500,0,David Hall
id864,1500,0,Ron Maag
id866,1500,0,Jeffrey McClain
id869,1500,0,Debbie Phillips
id870,1500,0,Margaret Ruhl
id2378,1500,0,Alicia Reece
id10994,1500,0,Andrew Brenner
id10995,1500,0,Mike Dovilla
id10996,1500,0,Mike Duffey
id10997,1500,0,Anne Gonzales
id10998,1500,0,Bill Hayes
id10999,1500,0,Michael Henne
id11003,1500,0,Kristina Roegner
id11005,1500,0,Michael Stinziano
id11006,1500,0,Andy Thompson
id11544,1500,0,Michael Ashford
id11547,1500,0,Terry Johnson
id11548,1500,0,Sean O'Brien
id11549,1500,0,Bill Patmon
id11550,1500,0,Cliff Rosenberger
id11552,1500,0,Ron Young
id11942,1500,0,Marlene Anielski
id11943,1500,0,Nickie Antonio
id11944,1500,0,John Barnes
id11945,1500,0,Jim Buchy
id11947,1500,0,Kathleen Clyde
id11949,1500,0,Al Landis
id11951,1500,0,Dan Ramos
id12119,1500,0,Robert Sprague
id12655,1500,0,Christina Hagan
id13161,1500,0,Margaret Conditt
id13186,1500,0,Dorothy Pelanda
id13312,1500,0,Brian Hill
id13313,1500,0,Louis Terhar
id13527,1500,0,Jack Cera
id13528,1500,0,Anthony DeVitis
id13835,1500,0,Nicholas Celebrezze
id13948,1500,0,Ryan Smith
id13950,1500,0,Marilyn Slaby
id13952,1500,0,Gary Scherer
id13964,1500,0,Kevin Boyce
id14651,1500,0,John Becker
id14652,1500,0,Heather Bishoff
id14653,1500,0,Louis Blessing
id14654,1500,0,Tony Burkley
id14655,1500,0,Michael Curtin
id14656,1500,0,Doug Green
id14657,1500,0,Ron Hood
id14658,1500,0,Stephanie Kunze
id14659,1500,0,John Patterson
id14660,1500,0,Rick Perales
id14661,1500,0,Wes Retherford
id14662,1500,0,John Rogers
id14663,1500,0,Mark Romanchuk
id16042,1500,0,Michael Sheehy
id16276,1500,0,Denise Driehaus
id16311,1500,0,Niraj Antani
id16966,1500,0,Nino Vitale
id16967,1500,0,Bill Reineke
id16968,1500,0,Christie Bryant Kuhns
id16969,1500,0,David Leland
id16970,1500,0,Emilia Strong Sykes
id16971,1500,0,Greta Johnson
id16972,1500,0,Hearcel Craig
id16973,1500,0,Janine Boyd
id16974,1500,0,Jeffrey Rezabek
id16975,1500,0,Jim Butler
id16976,1500,0,Jonathan Dever
id16977,1500,0,Kent Smith
id16978,1500,0,Kyle Koehler
id16979,1500,0,Martin Sweeney
id16980,1500,0,Michael O'Brien
id16981,1500,0,Michele Lepore-hagan
id16982,1500,0,Nathan Manning
id16983,1500,0,Paul Zeltwanger
id16984,1500,0,Robert Mccolley
id16985,1500,0,Robert Cupp
id16986,1500,0,Sarah LaTourette
id16987,1500,0,Scott Ryan
id16988,1500,0,Stephanie Howse
id16989,1500,0,Stephen Huffman
id16990,1500,0,Stephen Hambley
id16991,1500,0,Steven Kraus
id16992,1500,0,Tim Brown
id16993,1500,0,Timothy Ginter
id17718,1500,0,Steven Arndt
id17872,1500,0,Kristin Boggs
id17944,1500,0,Bill Dean
