Row,score,count,names
id516,1500,0,Kevin Bacon
id525,1500,0,Edna Brown
id531,1500,0,Bill Coley
id549,1500,0,Randall Gardner
id560,1500,0,Cliff Hite
id561,1500,0,Jay Hottinger
id563,1500,0,Jim Hughes
id565,1500,0,Shannon Jones
id578,1500,0,Scott Oelslager
id581,1500,0,Thomas Patton
id591,1500,0,Michael Skindell
id599,1500,0,Joseph Uecker
id605,1500,0,Christopher Widener
id607,1500,0,Sandra Williams
id610,1500,0,Kenny Yuko
id616,1500,0,Capri Cafaro
id620,1500,0,Keith Faber
id633,1500,0,Thomas Sawyer
id637,1500,0,William Seitz
id847,1500,0,Joe Schiavoni
id850,1500,0,Troy Balderson
id855,1500,0,Dave Burke
id860,1500,0,Robert Hackett
id862,1500,0,Kris Jordan
id863,1500,0,Peggy Lehner
id11296,1500,0,Bill Beagle
id11540,1500,0,Charleta Tavares
id11948,1500,0,Lou Gentile
id12034,1500,0,Frank LaRose
id12036,1500,0,Gayle Manning
id12066,1500,0,Larry Obhof
id13503,1500,0,John Eklund
id13938,1500,0,Bob Peterson
id16994,1500,0,Cecil Thomas
