bill_number,bill_id,title
HB1068,396397,"An Act For The Arkansas Development Finance Authority Appropriation For The 2012-2013 Fiscal Year."
HB1069,396398,"An Act For The Department Of Human Services - Division Of County Operations Appropriation For The 2012-2013 Fiscal Year."
HB1070,396399,"An Act For The Department Of Human Services - Medicaid Expansion Program Appropriation For The 2012-2013 Fiscal Year."
HB1071,396400,"An Act For The Arkansas State Board Of Sanitarians Appropriation For The 2011-2012 Fiscal Year."
HB1072,396401,"An Act For The State Board Of Election Commissioners Appropriation For The 2012-2013 Fiscal Year."
HB1073,396402,"An Act For The Arkansas Court Of Appeals Appropriation For The 2012-2013 Fiscal Year."
HB1074,396403,"An Act For The Arkansas State Claims Commission Appropriation For The 2012-2013 Fiscal Year."
HB1075,396404,"An Act For The State Board Of Finance - Investments Appropriation For The 2012-2013 Fiscal Year."
HB1076,396405,"An Act For The State Military Department Appropriation For The 2012-2013 Fiscal Year."
HB1077,396406,"An Act For The Arkansas Department Of Emergency Management Appropriation For The 2012-2013 Fiscal Year."
HB1078,396407,"An Act For The Department Of Finance And Administration - Management Services Division Appropriation For The 2012-2013 Fiscal Year."
HB1079,396408,"An Act For The Arkansas Agriculture Department - State Forestry Commission Supplemental Appropriation."
HB1080,396409,"An Act For The Arkansas Agriculture Department - State Forestry Commission Supplemental Appropriation."
HB1081,396410,"An Act For The Riverside Vocational Technical School Appropriation For The 2012-2013 Fiscal Year."
HB1082,396411,"An Act For The Northwest Technical Institute Appropriation For The 2012-2013 Fiscal Year."
HB1083,396412,"An Act For The Department Of Finance And Administration - Revenue Services Division Appropriation For The 2012-2013 Fiscal Year."
HB1084,396413,"An Act For The Department Of Higher Education - Veterinary Medicine Loan Forgiveness Program Appropriation For The 2012-2013 Fiscal Year."
HB1085,396414,"An Act For The Crowley's Ridge Technical Institute Appropriation For The 2012-2013 Fiscal Year."
HB1086,396415,"An Act For The State Securities Department Appropriation For The 2012-2013 Fiscal Year."
HB1087,396416,"An Act For The Department Of Information Systems Appropriation For The 2012-2013 Fiscal Year."
HB1088,396417,"An Act For The Arkansas Natural Resources Commission Appropriation For The 2012-2013 Fiscal Year."
HB1089,396418,"An Act For The Arkansas Soybean Promotion Board Appropriation For The 2012-2013 Fiscal Year."
HB1090,396419,"An Act For The Arkansas Wheat Promotion Board Appropriation For The 2012-2013 Fiscal Year."
HB1091,396420,"An Act For The Arkansas Motor Vehicle Commission Appropriation For The 2012-2013 Fiscal Year."
HB1092,396421,"An Act For The Department Of Education - Arkansas School For The Deaf Appropriation For The 2012-2013 Fiscal Year."
HB1093,396422,"An Act For The Cossatot Community College Of The University Of Arkansas Appropriation For The 2012-2013 Fiscal Year."
HB1094,396423,"An Act For The Arkansas Northeastern College Appropriation For The 2012-2013 Fiscal Year."
HB1095,396424,"An Act For The Phillips Community College Of The University Of Arkansas Appropriation For The 2012-2013 Fiscal Year."
HB1096,396425,"An Act For The Northwest Arkansas Community College Appropriation For The 2012-2013 Fiscal Year."
HB1097,396426,"An Act For The Ozarka College Appropriation For The 2012-2013 Fiscal Year."
HB1098,396427,"An Act For The War Memorial Stadium Commission Appropriation For The 2012-2013 Fiscal Year."
HB1099,396428,"An Act For The State Department For Social Security Administration Disability Determination Appropriation For The 2012-2013 Fiscal Year."
HB1100,396429,"An Act For The State Insurance Department Appropriation For The 2012-2013 Fiscal Year."
HB1101,396430,"An Act For The Health Services Permit Agency Appropriation For The 2012-2013 Fiscal Year."
HB1102,396431,"An Act For The Department Of Arkansas Heritage Appropriation For The 2012-2013 Fiscal Year."
HB1103,396432,"An Act For The Department Of Health Appropriation For The 2012-2013 Fiscal Year."
HB1104,396433,"An Act For The Department Of Health - Tobacco Prevention And Cessation Programs Appropriation For The 2012-2013 Fiscal Year."
HB1105,396434,"An Act For The Office Of Health Information Technology Appropriation For The 2012-2013 Fiscal Year."
HB1106,396435,"An Act For The Black River Technical College Appropriation For The 2012-2013 Fiscal Year."
HB1107,396436,"An Act For The University Of Arkansas Community College At Hope Appropriation For The 2012-2013 Fiscal Year."
HB1108,396437,"An Act For The East Arkansas Community College Appropriation For The 2012-2013 Fiscal Year."
HB1109,396438,"An Act For The Department Of Education - Educational Television Division Appropriation For The 2012-2013 Fiscal Year."
HB1110,396439,"An Act For The Department Of Education - Arkansas State Library Appropriation For The 2012-2013 Fiscal Year."
HB1111,396440,"An Act For The Department Of Education - Arkansas School For The Blind Appropriation For The 2012-2013 Fiscal Year."
HB1112,396441,"An Act For The Arkansas Board Of Dispensing Opticians Appropriation For The 2012-2013 Fiscal Year."
HB1113,396442,"An Act For The State Athletic Commission Appropriation For The 2012-2013 Fiscal Year."
HB1114,396443,"An Act For The Department Of Finance And Administration - Disbursing Officer Appropriation For The 2012-2013 Fiscal Year."
