bill_id,sponsor_id
308063,5257
308063,5364
308064,5216
308064,5228
308064,5229
308064,5231
308064,5233
308064,5234
308064,5236
308064,5239
308064,5244
308064,5245
308064,5250
308064,5252
308064,5253
308064,5254
308064,5256
308064,5257
308064,5259
308064,5263
308064,5265
308064,5279
308064,5280
308064,5281
308064,5282
308064,5284
308064,5289
308064,5291
308064,5292
308064,5305
308064,5307
308064,5308
308064,5317
308064,13042
308069,5215
308069,5222
308069,5225
308069,5226
308069,5231
308069,5233
308069,5235
308069,5236
308069,5237
308069,5238
308069,5242
308069,5243
308069,5245
308069,5246
308069,5250
308069,5251
308069,5253
308069,5254
308069,5259
308069,5266
308069,5269
308069,5274
308069,5279
308069,5286
308069,5289
308069,5290
308069,5291
308069,5292
308069,5296
308069,5297
308069,5299
308069,5302
308069,5305
308069,5306
308069,5308
308069,5317
308069,5318
308069,5320
308069,5320
308069,5328
308069,5373
308069,5376
308069,13042
308069,13044
308071,5249
308078,5225
308078,5231
308078,5234
308078,5236
308078,5239
308078,5241
308078,5242
308078,5243
308078,5245
308078,5253
308078,5259
308078,5266
308078,5268
308078,5271
308078,5273
308078,5279
308078,5284
308078,5289
308078,5290
308078,5296
308078,5305
308078,5307
308078,5308
308078,5311
308078,5313
308078,5314
308078,5320
308078,5320
308078,5328
308078,5356
308078,5358
308078,5359
308078,5362
308078,5364
308078,5367
308078,5370
308078,5373
308078,5374
308078,5381
308078,5385
308078,5387
308078,5388
308078,5399
308078,5402
308078,5403
308078,5404
308078,5405
308078,5413
308078,5414
308078,5420
308078,13041
308078,13042
308078,13075
308083,5299
308099,5297
308121,5360
308173,5414
308182,5370
308195,5306
308210,5266
308210,5328
308212,5310
308243,5318
308243,5405
308260,5277
308282,5215
308282,5216
308282,5217
308282,5224
308282,5226
308282,5227
308282,5228
308282,5229
308282,5230
308282,5231
308282,5232
308282,5233
308282,5235
308282,5237
308282,5238
308282,5242
308282,5243
308282,5244
308282,5245
308282,5247
308282,5248
308282,5251
308282,5253
308282,5257
308282,5259
308282,5264
308282,5266
308282,5267
308282,5269
308282,5271
308282,5272
308282,5273
308282,5274
308282,5282
308282,5284
308282,5286
308282,5288
308282,5289
308282,5290
308282,5291
308282,5296
308282,5298
308282,5299
308282,5300
308282,5302
308282,5305
308282,5306
308282,5307
308282,5309
308282,5311
308282,5312
308282,5313
308282,5315
308282,5318
308282,5320
308282,5320
308282,5329
308282,5331
308282,5332
308282,5369
308282,9524
308282,13045
308296,5314
308304,5441
308306,5215
308306,5217
308306,5221
308306,5228
308306,5233
308306,5236
308306,5254
308306,5311
308306,5315
308307,5232
308317,5249
308324,13041
308372,5218
308372,5255
308372,5266
308372,5268
308372,5304
308372,5308
308372,5359
308372,5371
308372,5385
308372,9541
308372,13041
308372,13044
308416,5233
308446,5266
308462,5314
308475,5217
308475,5218
308475,5226
308475,5227
308475,5230
308475,5231
308475,5232
308475,5233
308475,5234
308475,5242
308475,5243
308475,5244
308475,5245
308475,5246
308475,5251
308475,5253
308475,5254
308475,5256
308475,5258
308475,5266
308475,5268
308475,5271
308475,5272
308475,5280
308475,5281
308475,5282
308475,5284
308475,5287
308475,5288
308475,5290
308475,5291
308475,5292
308475,5304
308475,5307
308475,5309
308475,5317
308475,5319
308475,5320
308475,5320
308475,5374
308475,5383
308475,5387
308475,5388
308475,5413
308475,5420
308475,5441
308475,9541
308485,5247
308504,5259
308510,5224
308510,5229
308510,5230
308510,5232
308510,5235
308510,5259
308510,5263
308510,5264
308510,5270
308510,5271
308510,5282
308510,5287
308510,5292
308510,5299
308510,5318
308510,5320
308510,5320
308510,5329
308510,5342
308510,5358
308510,5359
308510,5360
308510,5364
308510,5367
308510,5369
308510,5373
308510,5374
