Row,id10568,id10570,id10571,id10572,id10573,id10574,id10575,id10576,id10577,id10578,id10579,id10584,id10818,id11298,id11394,id11395,id11396,id11398,id11445,id12223,id14189,id14191,id14192,id14436,id14437,id14438,id14439,id14440,id14441,id14442,id14443,id14444,id14445,id14446,id14447,id14448,id14761,id14762,id14764,id14766,id14767,id14768,id16085,id16115,id16175,id16530,id16537,id16538,id16701,id16702,id16703,id16704,id16801,id16807,id17692,id17750,id17791,id5483,id5489,id5492,id5493,id5494,id5497,id5498,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5518,id5519,id5524,id5527,id5528,id5529,id5532,id5533,id5536,id5537,id5539,id5543,id5544,id5546,id5549,id5553,id5556,id5557,id5560,id5565,id5566,id5567,id5568,id5569,id5570,id5571,id5573,id5576,id5624
id10568,1,1,0.9,1,NaN,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,NaN,NaN,0.75,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.666666666666667,NaN,NaN,NaN,NaN,NaN,0.777777777777778,NaN,0.888888888888889,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,0.714285714285714,1,0,1,NaN,1,NaN,1,1,NaN,NaN,0.777777777777778,1,NaN,1,NaN,NaN,1,1,1,0,1,NaN,1,NaN,1,1,0,NaN,1,NaN,1,0.7,0.666666666666667,1,NaN,1,1,0.727272727272727,1,NaN,NaN
id10570,1,1,1,1,NaN,1,1,0.75,1,1,1,NaN,1,1,1,1,1,0.714285714285714,NaN,1,1,0.545454545454545,NaN,0.5,1,NaN,NaN,0.75,NaN,1,1,NaN,1,1,0.666666666666667,1,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,0,1,1,1,0,0.8,1,NaN,NaN,1,1,NaN,1,NaN,NaN,1,1,1,0.5,1,0.666666666666667,1,0.625,1,1,0.333333333333333,NaN,1,NaN,1,1,NaN,1,0.666666666666667,1,1,1,1,NaN,NaN
id10571,0.9,1,1,1,NaN,NaN,1,1,NaN,0.91304347826087,1,NaN,0.789473684210526,1,1,0.888888888888889,1,NaN,NaN,0.777777777777778,NaN,NaN,0.9,NaN,NaN,NaN,0.7,NaN,0.909090909090909,NaN,NaN,0.764705882352941,NaN,0.7,NaN,NaN,1,NaN,NaN,0.90625,NaN,1,NaN,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.636363636363636,NaN,NaN,NaN,NaN,NaN,1,0.444444444444444,NaN,1,1,1,0.6,1,0.333333333333333,1,NaN,0.666666666666667,1,0.833333333333333,NaN,0.769230769230769,0.833333333333333,NaN,1,0.909090909090909,1,0.571428571428571,1,1,0.375,1,NaN,1,0.636363636363636,1,1,0,NaN,1,NaN,0.764705882352941,0.727272727272727,0.653846153846154,1,0.75,1,1,0.818181818181818,1,NaN,NaN
id10572,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,0.333333333333333,NaN,1,NaN,0.666666666666667,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,0.333333333333333,1,NaN,1,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0.25,1,0.25,1,0,0.5,NaN,1,0.5,1,1,1,NaN,1,1,NaN,1,NaN,1,1,1,0.5,0.444444444444444,1,0.333333333333333,1,0.666666666666667,1,1,0.5,0.2,0.5,1,1,1,NaN,NaN,0,1,1,1,0.5,NaN,NaN
id10573,NaN,NaN,NaN,1,1,NaN,0.666666666666667,NaN,NaN,NaN,NaN,0.5,NaN,1,NaN,1,NaN,0.857142857142857,NaN,NaN,0.875,NaN,NaN,NaN,NaN,1,1,0,NaN,0.4,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.909090909090909,NaN,0.8,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,0.0909090909090909,NaN,NaN,NaN,NaN,0.5,0,1,1,NaN,NaN,NaN,1,0.909090909090909,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,0.928571428571429,NaN,NaN,NaN,NaN,NaN,0.5,0.25,0,1,1,1,NaN,0.928571428571429,NaN,NaN,NaN,NaN,0,NaN,0.230769230769231
id10574,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,1,0,NaN,0,NaN,NaN,1,0.5,1,NaN,NaN,NaN,1,0.8,1,NaN,1,0.5,NaN,0.75,NaN,1,NaN,NaN,NaN,1,NaN,1,1,1,NaN,1,NaN,NaN,1,NaN,1,NaN,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,0.5,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,0
id10575,1,1,1,1,0.666666666666667,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,0.5,1,NaN,NaN,0.666666666666667,1,1,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,1,0.5,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,1,0,1,0.571428571428571,1,NaN,1,1,NaN,0.5,1,0.6,0.5,1,NaN,NaN,1,0.666666666666667,1,0.333333333333333,1,NaN,1,NaN,1,1,0.5,0,0.25,1,1,0.666666666666667,NaN,NaN,NaN,1,1,1,0.5,NaN,0.25
id10576,1,0.75,1,1,NaN,NaN,1,1,1,1,1,NaN,1,1,1,NaN,1,NaN,1,0.75,NaN,0.4,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,0.8,NaN,1,0.8,NaN,1,1,1,NaN,1,NaN,NaN,0.666666666666667,NaN,NaN,0.666666666666667,NaN,1,1,NaN,0.666666666666667,NaN,NaN,NaN,1,NaN,1,0.2,NaN,0.75,0,1,0,1,NaN,1,0,1,1,NaN,1,1,1,NaN,1,NaN,NaN,1,1,0.333333333333333,0,1,0.666666666666667,1,0.333333333333333,1,0.666666666666667,0,0,0.333333333333333,NaN,1,1,NaN,NaN,0.5,1,1,1,1,NaN,0
id10577,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,0.5,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.666666666666667,NaN,NaN,NaN,NaN,NaN,NaN,0.666666666666667,NaN,NaN,NaN,NaN,1,NaN,NaN,1,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5,NaN,0.75,0.222222222222222,0.333333333333333,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,1,NaN,0.2
id10578,1,1,0.91304347826087,1,NaN,1,1,1,NaN,1,0.9375,NaN,0.923076923076923,1,1,NaN,1,0,NaN,1,NaN,NaN,1,NaN,NaN,NaN,0.866666666666667,NaN,0.892857142857143,NaN,1,0.869565217391304,NaN,NaN,NaN,NaN,1,NaN,NaN,0.857142857142857,NaN,NaN,NaN,0.95,NaN,1,NaN,1,NaN,NaN,NaN,0.8,NaN,NaN,0,NaN,1,1,0.416666666666667,NaN,1,NaN,1,0.333333333333333,1,0.235294117647059,1,NaN,0.583333333333333,1,0.958333333333333,NaN,0.6,0.833333333333333,NaN,1,0.96551724137931,1,0.44,1,0.5,0.380952380952381,1,NaN,1,0.5,1,1,0,NaN,1,NaN,0.875,1,0.458333333333333,NaN,0.411764705882353,1,1,1,1,NaN,0
