Row,id12223,id5492,id5508,id5499,id5498,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442
id12223,1,1,1,1,0.5,1,0.5,0.5,1,1,1,1,1
id5492,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,NaN
id5508,0,1,1,1,1,1,1,1,1,1,0,0,NaN
id5499,0.5,0.5,1,1,0,NaN,0.5,0,0.5,1,0.5,0.5,1
id5498,1,1,1,1,1,1,1,1,1,1,1,1,NaN
id5563,0,1,1,1,1,1,1,1,1,1,0,0,NaN
id5528,0.333333333333333,0.666666666666667,1,0.666666666666667,0.666666666666667,1,1,1,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0
id5568,0.5,1,1,1,1,0.5,0.5,1,1,1,0.5,0.5,0
id5500,0,1,1,1,1,1,1,1,1,1,0,0,NaN
id5569,0.5,1,0.5,0.5,0,0,0,0,0.5,1,0.5,1,0.5
id5533,0.5,0.5,0.5,0.5,0.5,0,0,0.25,0.25,0.5,1,0.25,0
id5566,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.5
id14442,0,0,1,1,0,NaN,0,0,0,1,1,1,1
