Row,id10568,id10570,id10571,id10573,id10574,id10575,id10576,id10577,id10578,id10584,id10818,id11298,id11394,id11395,id11396,id12223,id14189,id14437,id14438,id14439,id14442,id14443,id14444,id14447,id14761,id14762,id14764,id16807,id5483,id5492,id5493,id5497,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5519,id5524,id5527,id5528,id5533,id5536,id5539,id5544,id5546,id5557,id5560,id5565,id5566,id5567,id5568,id5569,id5570,id5571,id5573,id5576
id16115,2,2,NaN,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,NaN
id16175,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,5,6,6,6,6,6,6,4,6,6,5,5,6,4,5,6,5,6,5,5,6,5,6,6,6
id16530,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1
id16537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id16538,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,5,5,5,5,5,4,5,5,5,5,5,3,4,5,5,5,4,5,2,4,5,5,5,5,5,5,4,5,5,5
id16701,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
id16702,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2
id16703,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1
id16704,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1
id16801,4,4,3,4,4,4,2,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,NaN,4,4,3,4,4,3,4,4,4,4,4,3,2,3,4,4,4,4,4,3,3,3,4,4,2,4,4,4,3,3
id16807,8,8,7,8,8,8,7,7,8,8,8,8,7,8,7,7,8,7,8,8,8,8,8,8,8,8,8,7,8,8,8,2,8,8,7,7,8,7,8,7,8,8,8,8,6,8,8,8,7,8,4,7,8,8,8,8,6,8,6,8,6,7
id5483,12,12,5,12,12,11,12,12,12,12,12,11,11,12,11,8,12,12,12,12,12,12,12,12,12,12,12,6,12,11,12,4,12,11,7,12,12,11,12,11,12,12,12,11,11,10,12,12,9,12,8,11,12,11,12,12,10,12,12,12,12,6
id5489,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4
id5492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id5493,9,9,7,9,9,9,8,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,7,9,9,9,NaN,9,9,7,8,9,8,9,9,9,9,9,7,8,7,9,8,9,9,8,9,9,9,9,8,6,9,9,9,9,7
id5494,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
id5497,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,NaN,3,3,3,3,2
id5498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1
id5499,12,12,10,12,12,10,10,11,12,12,12,12,11,12,12,11,12,11,12,11,11,10,12,12,12,12,12,10,12,12,12,4,12,12,10,11,12,11,12,12,12,12,12,12,9,12,12,12,12,12,9,11,12,11,12,12,11,12,10,12,10,10
id5500,5,5,3,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,NaN,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,2
id5502,11,11,10,10,11,11,10,11,11,10,11,11,11,11,9,11,11,10,11,11,11,11,11,11,11,11,11,9,11,10,11,3,11,10,10,10,11,9,11,11,11,11,10,11,10,10,11,11,9,11,9,10,11,10,11,11,10,11,10,11,10,9
id5506,6,6,4,6,6,6,5,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,2,6,6,5,6,6,5,6,6,6,6,6,5,6,4,6,6,6,6,5,4,6,6,6,6,4,6,6,6,6,3
id5508,7,7,6,7,7,7,5,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,2,7,7,6,7,7,6,7,7,7,7,7,7,7,5,7,7,7,7,5,6,7,6,7,7,6,7,6,7,7,5
id5509,10,10,6,10,10,10,9,10,10,9,10,10,10,10,9,9,10,10,10,9,10,10,10,10,10,10,10,6,10,10,10,2,10,10,6,9,10,9,10,10,10,10,10,8,9,7,10,10,10,10,8,9,10,10,10,10,5,10,9,10,9,6
id5510,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,1,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,4,5,2,4,5,4,5,5,3,5,5,5,5,4
id5513,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,NaN,4,4,2,3,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,3,2,4,4,4,4,1
id5514,16,16,13,16,16,16,16,16,16,15,15,16,15,16,15,14,15,15,15,12,15,15,15,15,15,15,15,11,16,15,16,7,16,16,14,14,16,16,16,16,16,16,16,14,15,15,16,16,16,15,10,15,16,15,14,15,11,16,15,16,15,12
id5515,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,NaN,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,1,4,5,4,5,5,5,5,4,5,4,5
id5518,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,NaN,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2
id5519,7,7,5,6,7,6,5,7,7,6,7,7,6,7,7,7,7,7,7,5,7,7,7,7,7,7,7,5,7,7,7,3,7,7,6,7,7,6,7,7,7,7,7,5,6,5,7,7,7,7,6,6,7,7,7,7,5,7,7,7,7,5
id5524,14,14,11,13,14,14,13,14,14,14,14,12,14,14,13,13,14,14,14,12,13,14,14,14,14,14,14,11,14,13,14,3,13,13,11,13,13,11,14,14,14,14,14,11,12,11,14,14,14,13,11,13,14,10,14,12,8,14,14,14,14,11
