Row,id5519,id5539,id5571,id10577,id5524,id10818,id5527,id5573,id5541,id14764,id5514,id10571,id10568,id5557,id10576
id5519,NaN,1,0,0,1,1,1,0,1,NaN,1,1,1,1,0
id5539,1,1,1,1,1,1,1,0,1,NaN,1,1,1,1,1
id5571,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1
id10577,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5524,1,1,1,1,1,1,NaN,0,NaN,1,0,1,1,1,1
id10818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5573,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id5541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id14764,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,0,NaN
id5514,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10571,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10568,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,0,NaN
id5557,1,1,1,1,1,1,NaN,0,NaN,1,0,1,1,1,1
id10576,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
