Row,id5506,id5482,id5492,id5508,id5499,id5563,id5549,id5528,id5500,id5569,id5533,id14436,id14440,id5543,id5556,id5566,id14442,id5518,id14191
id5506,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id5482,1,1,1,1,1,1,1,0,1,1,0,NaN,NaN,1,1,1,NaN,1,NaN
id5492,1,1,1,1,1,1,NaN,0,1,1,1,1,1,1,1,1,1,NaN,1
id5508,0.5,0.5,0.75,1,0.75,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.666666666666667,0.25,1,0.5,0.666666666666667
id5499,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0.25,0.5,0.5,0.666666666666667,0.833333333333333,0.333333333333333,0.75,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.75,0.4,0.75
id5563,1,0.5,1,1,0.75,1,0.5,1,0.666666666666667,1,1,1,1,0.666666666666667,1,0.666666666666667,1,0.75,1
id5549,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5528,0.666666666666667,1,1,1,0.666666666666667,NaN,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333
id5500,1,0.666666666666667,1,1,0.666666666666667,1,0.5,0,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.5,1
id5569,0.5,0,0.5,1,1,1,0,1,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1
id5533,0.5,0.5,0.5,1,1,0,1,0.5,1,0.5,1,0.5,0.5,1,0.5,1,1,1,0.5
id14436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id14440,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id5543,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
id5556,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,NaN,1,NaN
id5566,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
id14442,0,0,0,1,1,1,0,NaN,1,1,1,1,1,0,0,0,1,0,1
id5518,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id14191,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1
