Row,id5506,id12223,id5492,id5508,id5624,id5528,id5568,id5566,id14446,id14192,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5564,id10577,id5509,id5502,id5524,id10818,id10574,id5512,id5513,id5510,id14768,id5527,id5537,id5573,id5536,id14441,id10579,id5541,id5483,id10570,id10572,id10573,id5514,id10571,id10568,id11298,id5547,id5557,id14762,id10816,id10576,id11395,id11396,id5567,id5565
id5506,0,0,0,1,NaN,1,1,0,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1
id12223,0.8,0.75,0.5,1,1,0.6,1,0.75,0.8,1,1,0.333333333333333,0.6,0.4,NaN,1,0.8,0.8,0.4,1,0.8,1,NaN,NaN,0.4,0.6,0.8,0.8,0.8,0.6,NaN,0.4,1,0.666666666666667,0.8,1,0.8,0.8,0.6,0.75,NaN,0.4,0.6,0.5,0.75,1,1,0.6,0.8,NaN,1,0.6,NaN,0.2,0.8,0.8,1,0.8
id5492,0,0,0,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5508,0,0,0,1,0,1,1,0,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1
id5624,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0,0.666666666666667,0,NaN,0.666666666666667,0.333333333333333,0.666666666666667,0,0.5,0.666666666666667,1,NaN,NaN,0,0.5,0.333333333333333,0.5,0.333333333333333,0.333333333333333,NaN,0,0.666666666666667,1,0,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,NaN,0.333333333333333,0,0,0.333333333333333,1,1,0.666666666666667,1,NaN,0.5,0.333333333333333,NaN,0,1,0.333333333333333,0.5,0.333333333333333
id5528,0,0.5,0,0.5,NaN,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,NaN,1,1,1,1,1,1
id5568,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5566,0,1,0,0,NaN,NaN,NaN,1,NaN,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,0,0,1,0,NaN,1,1,1,1,1,1
id14446,1,1,1,1,1,1,1,1,1,1,0,NaN,1,0,NaN,0,0,0,0,0,1,1,NaN,NaN,0,0,0,NaN,0,0,NaN,0,0,1,0,1,0,0,0,0,NaN,0,0,0,0,1,1,0,1,NaN,0,0,NaN,0,1,0,0,0
id14192,0,0,0,1,0,1,1,0,0,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1
