Row,id5516,id5492,id5552,id5499,id5528,id5568,id5500,id5533,id14442,id14191,id5493,id14189,id14192,id14438,id5519,id11394,id10569,id5539,id14761,id5571,id5515,id5560,id5544,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id5512,id5513,id5510,id14768,id14447,id5527,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10572,id14764,id10573,id5514,id11398,id10568,id11298,id5557,id10816,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id5516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1
id5492,1,3,2,3,3,3,3,3,2,2,3,2,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,3,2,2,3,3,2,2,2,2,3,3,3,3,2,3,3,2,2,3,2,3,3,3,2,3,2,3,3,3,3,3
id5552,NaN,1,1,1,1,1,1,1,NaN,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id5499,NaN,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,1,2,2,2,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,1,1,2,2,2,1,NaN,2,1,2,2,2,2,2,2,2,NaN,2,NaN,2,2,2,2,2
id5528,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2
id5568,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2
id5500,NaN,1,1,1,1,1,1,1,NaN,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id5533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1
id14442,1,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,NaN,1,2,3,3,2,3,3,3,3,1,3,3,3,3,2,2,3,3,3,2,1,3,2,3,3,3,3,3,3,3,1,3,NaN,2,3,3,3,2
id14191,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id5493,NaN,1,1,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,1,1,1,1,NaN,1,1,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1
id14189,3,5,3,5,4,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,3,3,3,4,5,5,5,4,5,5,3,3,5,5,5,5,1,5,5,5,4,3,3,5,3,5,2,4,5,5,4,5,3,5,3,5,5,5,5,4
id14192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id14438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5519,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,NaN,NaN,1,1,NaN,1
id11394,1,3,1,4,2,3,4,4,3,3,4,3,3,3,4,4,1,4,3,4,4,4,4,1,1,1,2,4,4,4,2,3,4,4,1,4,4,3,3,3,3,4,4,3,3,1,4,3,3,4,4,3,4,4,4,1,3,1,3,4,4,3,3
id10569,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
id5539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id14761,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1
id5571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5515,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1
id5560,2,4,1,4,4,4,4,4,3,3,4,3,3,3,4,4,2,3,3,4,4,4,4,2,2,2,3,4,4,4,3,3,4,3,2,4,4,3,3,3,3,4,4,4,4,2,4,4,3,3,4,3,4,4,3,2,4,1,3,4,4,4,4
id5544,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,1,2,3,3,3,3,1,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,2,3,2,1,3,3,3,3
id5559,4,6,6,6,4,4,6,6,2,3,6,3,3,3,6,6,6,6,3,6,6,5,6,6,5,6,3,6,6,6,6,3,6,5,6,6,6,3,3,5,3,6,5,6,5,6,6,6,3,5,6,3,6,5,6,6,6,5,6,5,6,5,6
id5561,NaN,1,1,1,1,1,1,1,NaN,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1
id5564,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
id14439,5,6,5,6,4,4,6,6,5,6,5,6,6,6,6,6,5,6,6,6,5,6,6,5,3,5,6,6,6,5,6,6,6,5,5,6,6,5,6,4,6,6,6,6,3,5,6,5,6,4,5,5,6,5,6,5,6,3,6,5,6,6,5
id10577,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,2
id5509,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2
id5502,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,2
id5524,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,1,2,3,3,3,3,3,3,3,2,2,3,3,3,3,1,3,3,3,3,1,2,3,2,3,2,3,3,3,2,3,2,3,1,3,2,3,3,2
id14443,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2
id10818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id10574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5513,2,3,3,3,3,2,3,3,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3,2,3,2,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3
