Row,id5506,id12223,id5492,id5508,id5624,id5528,id5568,id5566,id14446
id5506,0,0,0,1,NaN,1,1,0,NaN
id12223,0.8,0.75,0.5,1,1,0.6,1,0.75,0.8
id5492,0,0,0,1,NaN,1,1,NaN,NaN
id5508,0,0,0,1,0,1,1,0,0
id5624,1,1,1,1,1,1,1,1,1
id5528,0,0.5,0,0.5,NaN,1,1,1,NaN
id5568,0,0,0,1,0,1,1,0,0
id5566,0,1,0,0,NaN,NaN,NaN,1,NaN
id14446,1,1,1,1,1,1,1,1,1
