Row,id10580,id10581,id10583,id14060,id15697,id5541,id5579,id5580,id5581,id5584,id5585,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5619,id5620,id5621,id5622
id10580,11,11,6,7,8,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11
id10581,18,18,14,14,14,8,18,18,18,18,18,18,18,18,18,18,15,18,15,18,18,18,18,18,18,16,18,18,17,18,17,18
id10582,7,7,5,5,5,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7
id10583,23,23,23,14,14,3,21,23,23,23,23,23,23,23,23,23,21,23,20,23,23,23,23,23,23,16,23,23,22,22,23,22
id10585,7,7,4,6,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
id11402,2,2,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id12222,9,9,5,9,9,5,8,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,7,9,8,8
id14060,11,11,7,11,11,8,10,11,10,11,11,11,11,11,11,11,10,11,9,11,11,11,11,11,11,9,11,11,11,10,11,11
id14193,9,9,4,9,9,5,9,9,8,9,9,9,9,8,9,9,8,9,8,9,9,9,9,9,9,8,9,9,9,8,9,8
id14765,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5
id15697,11,11,4,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,10,11,11,10
id16531,2,2,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
id16532,12,12,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,11,11,12,11
id16533,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
id16534,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7
id16535,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id16536,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
id5541,13,13,5,12,12,11,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,12,13,13,12
id5579,14,14,8,11,11,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,14,14,13,13,13,13
id5580,15,15,11,9,9,6,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,15,15,14,14,13,14
id5581,28,28,19,25,25,14,27,28,28,28,28,28,28,27,28,28,28,28,26,27,28,28,28,28,28,25,28,28,27,26,27,26
id5583,5,5,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
id5584,23,23,20,16,16,10,23,23,22,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,21,23,23,22,22,22,22
id5585,28,28,16,26,26,16,26,28,27,27,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,28,28,28,28,26,28,27
id5587,6,6,6,4,4,1,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,4,6,6
id5589,6,6,3,4,4,3,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
id5590,17,17,11,15,15,11,16,17,16,17,17,17,17,17,17,17,17,17,14,17,17,17,17,17,17,15,17,17,17,16,17,17
id5592,59,59,43,47,47,29,56,59,57,58,59,59,59,59,59,59,57,59,52,58,59,58,58,59,59,50,59,59,57,58,58,55
id5594,20,20,15,15,15,7,20,20,19,20,20,20,20,19,20,20,20,20,17,20,20,20,20,20,20,17,20,20,18,18,18,18
id5595,29,29,22,21,21,11,28,29,25,29,29,29,29,29,29,29,28,29,25,29,29,29,29,29,29,20,29,29,28,26,28,27
id5597,28,28,18,25,25,17,27,28,27,28,28,28,28,28,28,28,26,28,23,28,28,28,28,28,28,24,28,28,27,26,28,26
id5598,22,22,13,17,17,11,19,22,22,21,22,22,22,22,22,22,21,22,18,22,22,22,22,22,22,16,22,22,22,22,22,21
id5599,12,12,9,10,10,4,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,10,12,12
id5601,68,68,40,61,61,43,63,68,64,67,68,68,68,67,68,68,68,67,62,68,68,68,67,68,68,63,68,68,68,64,68,67
id5602,27,27,19,20,20,9,26,27,26,27,27,27,27,27,27,27,27,27,25,27,27,27,26,27,27,22,27,27,26,25,26,25
id5604,37,37,26,30,30,19,36,37,36,37,37,37,37,37,37,37,36,37,34,36,37,37,37,37,37,32,37,37,36,35,37,36
id5605,22,22,14,15,15,11,21,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,17,22,22,21,22,21,20
id5606,21,21,18,14,14,5,20,21,19,20,21,21,21,21,21,21,18,21,18,21,21,21,21,21,21,17,21,21,21,19,21,20
id5608,12,12,5,8,8,8,11,12,11,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,9,12,12,12,11,12,12
id5609,16,16,13,11,11,6,15,16,14,16,16,16,16,16,16,16,15,16,13,16,16,16,16,16,16,12,16,16,15,15,16,15
id5610,18,18,15,14,14,6,17,18,17,18,18,18,18,18,18,18,16,18,14,18,18,18,18,18,18,16,18,18,17,17,18,17
id5612,21,21,15,20,20,9,20,21,21,21,21,21,21,21,21,21,21,21,19,21,21,20,21,21,21,20,21,21,20,21,20,20
id5614,19,19,12,13,13,8,18,19,18,19,19,19,19,19,19,19,18,19,18,19,19,19,19,19,19,12,19,19,19,19,19,19
id5616,6,6,6,3,3,NaN,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
id5619,12,12,7,10,10,8,12,12,11,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,10,12,12,12,12,12,12
id5620,15,15,11,10,10,6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,15,15,15,15,15,15
id5621,29,29,20,24,24,15,28,29,29,29,29,29,29,29,29,29,29,29,26,28,29,29,29,29,29,27,29,29,29,28,29,29
id5622,13,13,8,11,11,10,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,13,13,13,13,11,13,13,13,13,13,13
id5623,5,5,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5
id5627,6,6,2,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
