Row,id10580,id10581,id10582,id10583,id10585,id11402,id12222,id14060,id14193,id14765,id15697,id16531,id16532,id16533,id16534,id16535,id16536,id16586,id5541,id5579,id5580,id5581,id5583,id5584,id5585,id5587,id5589,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5616,id5619,id5620,id5621,id5622,id5623,id5627
id5595,20,8,20,11,8,NaN,8,19,10,9,6,NaN,1,1,9,NaN,NaN,NaN,NaN,19,28,9,15,17,12,17,19,12,9,8,37,8,15,11,8,16,8,8,8,8,16,8,10,19,8,19,6,10,17,17,28
id5597,10,18,11,8,30,21,9,1,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,7,8,8,26,33,15,10,15,26,8,8,8,43,8,21,20,8,28,19,8,21,16,16,8,8,8,6,14,14,7,7,8
id5598,14,13,22,22,8,NaN,8,20,10,NaN,19,8,6,NaN,NaN,NaN,8,8,NaN,29,19,8,10,23,13,17,18,8,32,15,15,8,50,8,9,16,11,20,27,8,17,8,29,18,8,6,17,8,39,8,20
id5599,11,14,9,10,16,8,8,NaN,NaN,5,12,NaN,6,NaN,NaN,NaN,6,NaN,6,7,9,8,22,21,29,8,17,20,9,16,11,21,8,37,17,9,14,14,8,16,11,8,8,13,9,16,6,25,7,8,8
id5601,10,20,11,8,23,7,13,1,3,5,7,NaN,6,6,NaN,2,NaN,NaN,8,14,14,14,21,15,18,16,7,24,9,24,8,20,9,17,48,13,21,23,8,16,8,22,18,13,8,15,24,19,7,18,14
id5602,8,8,19,8,8,NaN,20,9,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,24,18,11,17,9,15,22,8,9,9,16,8,16,9,13,33,9,19,8,21,16,14,8,19,9,6,18,8,16,12,31
id5604,8,26,12,8,34,15,10,3,9,NaN,NaN,NaN,NaN,NaN,NaN,7,7,NaN,7,7,9,10,19,21,11,13,13,17,12,9,8,28,11,14,21,9,41,8,8,10,12,17,15,8,9,6,13,9,7,8,10
id5605,10,17,12,17,8,4,23,NaN,3,NaN,29,NaN,NaN,11,NaN,5,NaN,NaN,NaN,29,16,19,14,23,17,22,15,30,23,17,8,19,20,14,23,19,8,63,20,37,12,22,28,11,8,6,38,14,16,22,21
id5606,8,8,8,22,8,NaN,8,7,NaN,NaN,18,7,NaN,NaN,NaN,NaN,7,2,NaN,18,8,8,8,12,8,17,7,8,27,8,8,8,27,8,8,8,8,20,27,8,8,8,27,8,8,6,16,8,22,7,8
id5608,10,8,8,9,8,4,28,2,3,NaN,20,5,NaN,NaN,NaN,5,NaN,4,NaN,20,16,23,16,19,23,19,21,18,16,8,8,21,8,16,16,21,10,37,8,48,17,15,8,16,8,6,21,16,12,12,23
