Row,id5506,id12223,id5492,id5508,id5499,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442,id5493,id14189,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id5512,id5513,id5510,id5527,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id10568,id11298,id5557,id14444,id10816,id10576,id5497,id11395,id11396,id5567,id5565
id5552,4,4,4,4,4,4,3,3,4,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4,3,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,1,4,4,3,4,4,4,4
id5508,9,9,9,9,9,4,7,7,9,9,9,9,6,9,6,9,6,8,9,4,9,9,9,9,9,9,9,4,3,4,6,9,9,8,8,6,9,9,4,9,9,9,6,9,9,9,9,4,9,9,9,6,9,9,8,9,9,9,6,4,8,3,9,9,7,9
id5624,4,4,4,4,4,NaN,4,4,4,4,4,4,4,4,4,4,2,4,4,NaN,4,4,4,4,3,4,4,NaN,NaN,NaN,4,4,3,4,2,4,4,4,NaN,4,4,4,4,4,4,4,4,NaN,4,4,4,4,4,4,4,4,4,3,4,NaN,3,NaN,4,4,3,4
id5499,15,15,16,16,16,7,16,14,16,16,16,16,13,16,13,15,9,16,16,7,14,16,16,16,16,16,15,7,5,7,12,16,16,15,15,13,16,15,7,15,16,12,10,15,16,15,13,7,16,16,13,13,14,16,14,16,16,16,13,7,15,6,15,16,14,15
id5498,3,3,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,2,3,1,3,3,2,3
id5563,6,7,6,8,8,7,8,6,7,8,8,7,4,8,4,8,6,8,8,7,8,8,8,8,7,8,8,8,7,8,4,8,8,7,8,4,7,8,8,8,8,8,4,8,8,8,8,7,8,8,8,3,7,8,7,8,8,8,3,8,8,3,8,8,7,8
id5549,3,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,2,4,4,2,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,2,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,2,3,4,1,4,4,4,3
id5528,18,16,17,18,18,10,16,13,18,18,18,17,10,18,11,18,15,18,16,11,16,18,18,17,18,18,17,11,8,11,11,17,18,16,18,10,17,17,10,18,18,14,10,17,17,18,15,11,18,18,14,11,15,18,15,18,18,18,11,11,18,10,18,18,15,17
id5568,13,11,13,13,13,9,12,11,12,13,13,13,6,13,7,13,10,13,13,9,12,13,13,12,13,13,13,9,9,8,7,13,13,13,12,7,12,12,8,13,13,11,7,13,12,13,12,9,13,13,12,7,11,13,12,13,13,12,7,9,13,8,13,12,9,13
id5500,10,10,11,11,11,9,8,10,10,11,11,11,7,11,7,11,10,11,11,9,11,11,11,11,11,11,11,9,7,9,7,11,11,10,11,7,10,10,9,11,11,9,7,11,11,11,9,9,11,11,10,7,9,11,8,11,11,11,7,9,10,5,11,9,8,10
