Row,id12223,id5489,id5516,id5492,id5508,id5499,id5498,id5528,id5568,id5500,id5569,id5518,id14191,id14765,id14766,id5546,id5519,id5539,id5544,id10578,id10575,id5559,id10577,id5509,id5524,id10818,id10574,id5537,id5573,id10584,id10579,id10570,id14764,id5514,id10571,id11398,id10568,id5547,id5557,id14762,id14444,id10816,id10576,id11395,id11396
id12223,1,0.5,NaN,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,NaN,0.5,0,1,1,1,1,1,NaN,1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,1,1,0,0,1,NaN,0.5,0.5,1,NaN,1,0,1
id5489,0,1,NaN,0,1,0,0,1,1,0,0,0,0,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1
id5516,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,1,1,1,0.666666666666667,1,1,0.5,1,1,1,1,0.666666666666667,1,1,1,0.666666666666667,1,1,1,0.666666666666667,1,1,1,0.666666666666667,0.666666666666667,0.666666666666667
id5492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5508,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,1,1
id5499,1,1,1,1,0,1,1,1,1,1,1,NaN,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
id5498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5528,0,0,NaN,0,0,0,0,1,1,0,0,0,0,NaN,0,1,1,1,1,1,1,NaN,1,1,1,1,1,0,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1
id5568,0,0,1,0,0,0,1,0,1,0,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,1,1
id5500,NaN,0,NaN,0,1,0,0,0,0,1,1,0,1,NaN,1,1,1,1,0,1,1,NaN,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,1,NaN
id5569,1,1,NaN,1,1,1,1,0,0,1,1,1,1,NaN,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,0,1,0,NaN,0,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1
id5518,1,0,NaN,0,1,1,0,0,0,0,1,1,1,NaN,0,0,1,1,1,1,1,NaN,1,1,0,1,1,1,1,0,NaN,0,1,1,0,0,1,NaN,1,1,1,NaN,1,NaN,1
id14191,0,1,0,0,1,1,0,0.5,1,0.5,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1,0,1,NaN,1,1,1,1,0.5,1,1
id14765,0.5,1,NaN,0.5,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,NaN,1,0.5,1,1,1,1,1,NaN,1,1,1,0.5,0.5,0.5,1,1,0,0.5,1,1,0.5,1,1,NaN,0.5,0.5,1,NaN,1,0.5,1
id14766,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,0.5,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,1,1,1,0.666666666666667,0.666666666666667,1,1,1,0.666666666666667,1
id5546,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,1,1,0.333333333333333,0,0,0,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1
id5519,1,0.5,NaN,0.5,1,1,0.5,0,0,0.5,1,1,1,NaN,0.5,0,1,1,1,1,1,NaN,1,1,0.5,1,1,0.5,1,0,NaN,0,1,1,0.5,0.5,1,NaN,1,1,1,NaN,1,1,1
id5539,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5544,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id10578,1,1,1,1,0.5,1,1,1,1,1,1,NaN,1,1,1,1,1,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
id10575,1,1,1,1,0,1,1,1,1,1,1,NaN,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
id5559,1,1,1,1,1,1,1,0,1,1,1,1,NaN,NaN,NaN,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,NaN,1,0,NaN,1,1,0,NaN,NaN,1,0,0,0
id10577,0.333333333333333,0.25,0.5,0.25,0.5,0.25,0.5,0.666666666666667,0.666666666666667,0.75,0.5,0.25,0.5,1,0.75,1,1,1,0.75,1,1,1,1,0.75,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5509,0,0.666666666666667,0.5,0,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,0.666666666666667,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.666666666666667,1,1,1,1,0.333333333333333,1,1,1,1,1,1,0.666666666666667,1,1
id5524,1,1,1,1,1,1,1,0,1,1,1,1,NaN,NaN,NaN,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,NaN,1,0,NaN,1,1,0,NaN,NaN,1,0,0,0
id10818,0,0,NaN,0,0,0,0,1,1,0,0,0,0,NaN,0,1,1,1,1,1,1,NaN,1,1,1,1,1,0,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1
id10574,0,1,0,0,0,0,0,1,0,0,0,0,NaN,NaN,NaN,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,1,1
id5537,0,0.5,0.5,0,0.5,0,1,0,0.5,0,0.5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5573,1,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1
id10584,0,0,NaN,0,1,1,0,1,1,1,1,NaN,0,NaN,0,1,0,1,1,1,NaN,NaN,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,NaN,1,1,1,NaN,NaN,1,1
id10579,0,1,0,0,0,0,0,1,0,0,0,0,NaN,NaN,NaN,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,1,1
id10570,0,1,NaN,0,1,1,NaN,1,1,0,1,0,1,NaN,1,NaN,1,1,0,1,1,NaN,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,NaN,1,1,1,NaN,0,1,1
id14764,NaN,0,NaN,0,1,0,0,0,0,1,1,0,1,NaN,1,1,1,1,0,1,1,NaN,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,1,NaN
