Row,id5506,id5482,id5492,id5508,id5499,id5563,id5549,id5528,id5500,id5569,id5533,id14436,id14440,id5543,id5556,id5566,id14442,id5518,id14191,id5493,id14189,id14765,id14192,id14438,id5546,id11394,id10569,id5539,id14761,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id14445,id5512,id5510,id14447,id5527,id5537,id14767,id5573,id5536,id10584,id5541,id5483,id10572,id14764,id5514,id10568,id11298,id5557,id14762,id14444,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id14447,1,1,1,1,1,NaN,1,NaN,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1
id5527,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,NaN,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1
id5537,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1
id14767,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,NaN,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,NaN,1,2,2,2,2
id5573,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NaN,2,2,1,2,NaN,2,2,2,2,2,2,2,2,NaN,NaN,1,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,NaN,NaN,2,2,2,1
id5536,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,NaN,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10584,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1
id5541,3,3,3,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,2,NaN,2,2,1,3,2,3,2,3,3,3,3,3,3,2,1,1,3,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,2,3,3,2,3,3,3,3,2,2,3,NaN,NaN,3,3,2,2
id5483,5,5,5,5,5,4,5,5,5,5,5,3,3,5,5,5,3,5,3,5,3,2,3,3,5,5,4,4,3,5,5,5,5,5,5,4,3,3,5,5,4,5,3,4,3,4,5,3,5,5,3,5,5,5,4,5,5,3,5,5,5,5,3,3,5,2,2,5,5,5,5
id10572,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,2,3,1,2,3,3,3,3,3,3,3,1,NaN,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,NaN,1,3,3,3,3
id14764,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,NaN,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id5514,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,NaN,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,NaN,1,2,2,2,2
id10568,3,3,3,3,3,3,3,1,3,3,3,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,NaN,3,2,3,3
id11298,2,2,2,2,2,2,2,2,2,2,2,NaN,NaN,2,2,2,NaN,2,NaN,2,NaN,NaN,NaN,NaN,1,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,NaN,2,2,NaN,2,2,NaN,2,2,2,2,2,2,NaN,2,2,2,2,NaN,NaN,2,1,NaN,2,2,1,2
id5557,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,NaN,2,2,2,2,1,1,2,1,NaN,2,2,2,2
id14762,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,NaN,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id14444,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,NaN
id10576,2,2,2,2,2,2,2,2,2,2,2,NaN,NaN,2,2,2,NaN,1,NaN,2,NaN,NaN,NaN,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,NaN,2,2,NaN,2,2,NaN,2,2,2,2,2,2,NaN,2,2,2,2,NaN,NaN,2,1,NaN,2,2,2,2
id5521,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1
id5497,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,NaN,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id11395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id11396,3,3,3,3,3,2,3,3,3,3,3,2,1,3,3,3,2,3,2,3,2,1,2,2,1,3,2,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,2,2,3,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,2,2,3,2,2,3,3,3,3
id5567,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,NaN,2,2,2,2
id5565,2,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,1,3,3,1,3,3,2,2
