Row,id12223,id14442,id5492,id5499,id5500,id5506,id5508,id5528,id5533,id5566,id5568,id5569
id12223,0.666666666666667,NaN,NaN,1,0,NaN,0.75,0,0.666666666666667,0.625,0.5,1
id14191,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,0
id14436,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0,NaN,1
id14440,0,NaN,1,NaN,1,NaN,NaN,NaN,1,0,NaN,NaN
id14442,NaN,1,0.5,1,0.5,NaN,0.666666666666667,0.666666666666667,0,0.5,0,0
id14446,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
id16703,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id5489,0,NaN,NaN,1,0,NaN,1,NaN,0,0,1,1
id5492,NaN,NaN,NaN,NaN,1,NaN,1,1,0,1,NaN,NaN
id5494,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
id5498,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
id5499,0.6,1,NaN,1,0.666666666666667,NaN,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1
id5500,0,1,NaN,NaN,1,NaN,1,NaN,NaN,0,0,1
id5506,0,NaN,NaN,1,1,NaN,1,1,1,1,NaN,1
id5508,0.333333333333333,NaN,NaN,0.5,1,0,0.5,NaN,NaN,NaN,1,0.5
id5518,0.5,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1
id5528,0.5,0.5,1,0.5,0,NaN,1,1,1,1,0.5,0.5
id5533,NaN,NaN,NaN,NaN,0,NaN,0.333333333333333,0.333333333333333,1,0.666666666666667,NaN,NaN
id5543,0,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,1,1
id5549,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
id5566,NaN,NaN,NaN,NaN,0,NaN,0,0.333333333333333,0.5,0.333333333333333,1,NaN
id5568,0,NaN,0,0,NaN,NaN,1,1,0.333333333333333,0.5,NaN,NaN
id5569,0.666666666666667,NaN,NaN,1,0,NaN,0.5,0,0,0,NaN,1
id5624,0.666666666666667,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1
