Row,id12223,id14442,id5492,id5499,id5500,id5506,id5508,id5528,id5533,id5566,id5568,id5569
id12223,0.75,0.714285714285714,0.538461538461538,0.785714285714286,0.538461538461538,0.538461538461538,0.785714285714286,0.428571428571429,0.714285714285714,0.692307692307692,0.538461538461538,0.714285714285714
id14191,0.25,0.6,0.2,1,0.8,0.75,1,0.75,1,0.4,1,0.8
id14436,1,1,1,1,0.5,1,1,0.666666666666667,1,1,0.666666666666667,1
id14440,0.5,0.75,0.75,1,0.666666666666667,0.75,1,1,0.75,0.75,1,0.666666666666667
id14442,0.285714285714286,1,0.428571428571429,0.857142857142857,0.571428571428571,0.5,0.714285714285714,0.5,0.571428571428571,0.142857142857143,0.25,0.714285714285714
id14446,1,0.5,1,1,1,1,1,1,1,1,1,1
id16703,1,1,1,1,0,1,1,0,1,1,0,1
id5482,1,NaN,1,1,1,1,1,0,0,1,1,1
id5489,0.25,0.666666666666667,0.25,0.5,0,0.5,0.75,0.75,0.25,0.25,0.5,0.5
id5492,0.6,1,0.6875,0.5625,0.6875,0.625,0.9375,0.8125,0.625,0.6,0.933333333333333,0.6875
id5494,1,1,1,0.5,1,0.5,1,0.5,1,1,1,0.5
id5498,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1
id5499,0.6,0.846153846153846,0.5625,1,0.6875,0.6,0.75,0.4375,0.375,0.4375,0.5,0.9375
id5500,0.7,0.857142857142857,0.727272727272727,0.636363636363636,1,0.8,1,0.5,0.636363636363636,0.636363636363636,0.9,0.818181818181818
id5506,0.75,0.666666666666667,0.857142857142857,0.625,0.714285714285714,0.75,0.875,0.285714285714286,1,0.875,0.428571428571429,0.875
id5508,0.555555555555556,0.833333333333333,0.666666666666667,0.666666666666667,0.555555555555556,0.555555555555556,1,0.571428571428571,0.666666666666667,0.444444444444444,0.857142857142857,0.555555555555556
id5518,1,0.75,0.8,1,0.6,0.8,1,0,0.8,0.8,0.25,1
id5528,0.266666666666667,0.5,0.266666666666667,0.4375,0.5625,0.3125,0.8125,1,0.4375,0.333333333333333,0.833333333333333,0.625
id5529,1,NaN,0.5,0.5,1,1,1,0,1,1,1,0.5
id5532,1,NaN,0.5,0.5,1,1,1,0,1,1,1,0.5
id5533,0.5,0.375,0.5,0.7,0.6,0.555555555555556,0.7,0.3,0.9,0.5,0.6,0.6
id5543,0.5,1,0.666666666666667,0.75,0.666666666666667,0.5,1,0.25,1,1,0.5,0.75
id5549,1,0.666666666666667,1,0.75,1,1,0.75,0.5,1,1,0.666666666666667,1
id5553,NaN,NaN,1,1,1,1,1,0,1,1,NaN,1
id5556,0,NaN,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333
id5566,0.625,0.333333333333333,0.5,0.625,0.5,0.428571428571429,0.625,0.5,0.75,0.75,0.5,0.5
id5568,0.5,0.666666666666667,0.5,0.5,0.545454545454545,0.5,0.833333333333333,0.727272727272727,0.583333333333333,0.5,1,0.5
id5569,0.555555555555556,0.571428571428571,0.625,0.777777777777778,0.555555555555556,0.571428571428571,0.777777777777778,0.166666666666667,0.666666666666667,0.666666666666667,0.5,0.888888888888889
id5624,1,1,1,1,0.75,1,1,0.75,1,1,0.75,1
