Row,id5506,id12223,id5494,id5489,id5492,id5508,id5499,id5549,id5528,id5568,id5500,id5569,id14436,id14440,id5543,id14442,id5493,id14189,id5570,id14438,id5546,id5519,id11394,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id10577,id5509,id5502,id14443,id10574,id5513,id14768,id14447,id5527,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id11398,id10568,id11298,id5557,id14444,id10576,id5497,id11396,id5567,id5565
id5506,0.75,0.75,0.666666666666667,1,1,0.75,0.5,1,0.25,0.25,0.666666666666667,1,1,0.75,1,0.75,1,0.75,1,0.75,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.75,1,0.75,0.75,1,1,1,1,0.666666666666667,1,1,NaN,1,1,1
id12223,0.666666666666667,1,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,NaN,1,0.333333333333333,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.333333333333333,0.5,NaN,0.666666666666667,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.666666666666667,1,1,1,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0.666666666666667
id5494,0,1,1,1,1,1,0,1,1,NaN,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,NaN,1,0,1,0,1,0,0,1,0,1,NaN,1,NaN,NaN,1,1,NaN,1,1,1,1,0,1,1,1,1,0,NaN,0,NaN,1
id5489,1,0.5,0,1,0.5,1,1,0.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,0.5,1,1,0.5,0.5,1,1,1,1,1,0.5,1,NaN,1,1,1
id5492,0.666666666666667,0.333333333333333,1,1,0.666666666666667,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,0.666666666666667,NaN,NaN,0.333333333333333,NaN,1,NaN,1,NaN,1,1,1,1,1,0.666666666666667,1,1,0.666666666666667,1,1,1,1,NaN,1,1,NaN,NaN,1,0.666666666666667,1,1,1,1,1,1,1,NaN,1,1,0.666666666666667,NaN,0.666666666666667,0.666666666666667,1,NaN,1,1,1,1,1
id5552,1,1,1,1,1,1,1,1,0,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,0,0,0,1,0,0,1,1,1,0,0,1,NaN,1,1,NaN,NaN,1,0,0,0,0,1,1,1,1,NaN,0,0,1,NaN,0,1,1,NaN,0,1,0,0,0
id5508,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,0,0,1,1,1,1,1,1,1,NaN,1,1,1
id5624,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,0,0,1,1,1,1,1,1,1,NaN,1,1,1
id5499,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,0,0,1,1,1,1,1,1,1,NaN,1,1,1
id5498,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NaN,1,0,0,1,1,1,1,1,NaN,1,1,0,NaN,NaN,1,1,NaN,1,NaN,0,1,1,1,1,1,1,0,1,0,NaN,0
id5563,0,0,NaN,1,0,1,0,0,1,1,0,0,NaN,NaN,0,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id5549,1,1,1,1,1,0.5,0.5,1,0.5,0,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5528,0.666666666666667,0.5,1,1,0.333333333333333,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,1,0.333333333333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1
id5568,0.6,0.5,0.75,0.8,0.6,1,0.6,0.6,1,1,0.5,0.6,1,1,0.6,0.75,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.8,1,0.75,1,0.8
id5500,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,1,0.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,NaN,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,0.5,1,0.5
id5569,0.5,0.5,0,1,0.5,1,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,NaN,1,1,1
id5533,0,0,0,1,0,1,1,0,1,1,1,1,NaN,NaN,0,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id14436,1,1,0.5,1,1,1,1,1,0.5,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,NaN,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,NaN,1,1,1,1,0,0,1,1,1,1,1,1,0.5,1,0.5,1,0.5
id14440,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,NaN,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,NaN,1,1,1,1,NaN,0.5,1,1,1,1,1,1,0.5,1,0.5,1,0.5
