Row,id5506,id12223,id5494,id5489,id5492,id5508,id5499,id5549,id5528,id5568,id5500,id5569,id14436,id14440,id5543,id14442,id5493,id14189,id5570,id14438,id5546,id5519,id11394,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id10577,id5509,id5502,id14443,id10574,id5513,id14768,id14447,id5527,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id11398,id10568,id11298,id5557,id14444,id10576,id5497,id11396,id5567,id5565
id5513,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2
id5510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id14768,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,1,NaN,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2
id14447,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,1,NaN,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2
id5527,4,4,3,4,3,4,4,4,4,4,3,4,3,3,4,3,4,3,4,3,2,4,4,4,4,4,4,4,3,1,4,3,4,3,4,4,3,3,4,4,4,4,4,1,4,4,4,3,4,4,4,2,4,4,4,3,4,1,3,4,4
id14767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id14437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5573,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2
id5536,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2
id10584,6,6,5,6,6,6,6,6,6,4,5,6,5,5,6,5,6,5,6,5,2,6,6,6,6,6,6,6,6,1,6,6,6,5,6,6,5,5,5,6,6,6,5,1,6,6,5,5,5,6,6,5,6,6,5,5,6,3,6,5,5
id10579,3,3,2,3,3,3,3,3,3,3,3,3,1,1,3,1,3,1,3,1,2,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,1,3,3,3,3,3,2,3,3,3,1,3,3,3,1,3,3,3,1,3,2,3,3,3
id5541,3,3,2,3,3,3,3,3,3,2,3,3,2,1,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,2,2,3,3,3,3,3,1,3,3,3,2,3,3,3,2,3,3,2,2,3,3,2,3,3
id14448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5483,6,7,6,7,6,7,7,7,6,7,6,7,4,4,7,4,7,4,7,4,4,7,7,7,7,7,7,7,7,4,7,6,7,4,7,7,4,4,7,7,7,7,6,4,7,7,7,4,7,7,6,4,7,7,6,4,7,4,6,7,7
id10570,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2
id10572,5,5,3,5,5,5,5,5,5,3,5,4,4,4,5,4,5,4,5,4,3,5,5,5,5,5,5,5,5,2,4,5,5,3,5,5,4,4,5,5,5,5,5,2,5,5,5,4,4,5,5,4,5,5,4,4,5,2,5,5,4
id14764,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,NaN,4,4,4,4,4,4,4,4,3,4,4,4,3,NaN,4,4,3,4,3,4,4,4,4,4,3,4,4,3,3,3,4
id10573,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,3,2,4,4,4,3,3,4,3,3,3,4,4,4,4,2,4,4,4,3,3,4,4,2,4,4,3,3,4,2,4,4,4
id5514,4,3,1,4,4,4,4,4,3,4,4,4,2,2,4,2,4,2,4,2,2,4,4,4,4,3,4,4,4,2,4,4,4,2,4,4,2,2,4,4,3,4,4,2,4,4,4,2,4,4,4,2,4,4,3,2,4,1,4,3,4
id10571,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,2,4,4,4,3,3,4,3,3,2,4,4,4,3,2,4,4,3,3,2,4,4,3,4,4,4,3,4,2,4,3,4
id11398,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,1,NaN,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2
id10568,3,3,2,3,3,3,3,3,3,3,2,3,2,2,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,2,2,2,3,3,3,2,1,3,3,2,2,2,3,3,2,3,3,3,2,3,2,3,2,3
id11298,5,5,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,4,5,4,5,3,1,5,5,3,5,4,5,5,5,5,5,5,5,5,1,5,3,4
id5557,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,1,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,2,2,3,3,3,3,3,1,3,3,3,2,3,3,3,2,3,3,2,2,3,2,3,3,3
id14762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id14444,4,4,3,4,3,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,NaN,3,3,4,4,4,4,4,4,3,4,4,4,3,NaN,4,4,3,4,2,4,4,4,4,4,4,4,4,1,3,3,3
id10816,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id10576,4,4,3,4,4,4,4,4,4,4,4,4,2,2,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,3,2,4,3,4,4,4
id5521,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id5497,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2
id11395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id11396,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,1,4,4,4,4,4,4,4,4,1,4,4,4,3,4,3,3,3,4,3,4,4,4,1,4,4,4,3,4,4,4,3,4,4,3,3,4,2,4,4,4
id5567,2,2,1,2,2,2,2,2,2,2,2,2,NaN,NaN,2,NaN,2,NaN,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,NaN,2,2,2,NaN,2,2,2,2,2
id5565,4,4,3,4,4,4,4,4,4,3,4,4,2,2,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,3,2,4,2,4,4,4
