Row,id14060,id5584,id5585,id5587,id5589,id5599,id5601,id5620,id5622,id5623
id14060,1,0.866666666666667,0.5,0.75,0.916666666666667,NaN,1,1,0.944444444444444,1
id5584,0.866666666666667,1,0.785714285714286,0.8,0.846153846153846,0.761904761904762,0.866666666666667,0.8125,0.952380952380952,0.7
id5585,0.5,0.785714285714286,1,0.7,0.882352941176471,0.862068965517241,1,1,1,0.923076923076923
id5587,0.75,0.8,0.7,1,0.857142857142857,0.75,0.8125,0.944444444444444,0.846153846153846,0.666666666666667
id5589,0.916666666666667,0.846153846153846,0.882352941176471,0.857142857142857,1,0.882352941176471,0.857142857142857,0.923076923076923,0.791666666666667,0.833333333333333
id5599,NaN,0.761904761904762,0.862068965517241,0.75,0.882352941176471,1,1,1,1,0.875
id5601,1,0.866666666666667,1,0.8125,0.857142857142857,1,1,0.916666666666667,1,0.888888888888889
id5620,1,0.8125,1,0.944444444444444,0.923076923076923,1,0.916666666666667,1,1,0.875
id5622,0.944444444444444,0.952380952380952,1,0.846153846153846,0.791666666666667,1,1,1,1,0.9
id5623,1,0.7,0.923076923076923,0.666666666666667,0.833333333333333,0.875,0.888888888888889,0.875,0.9,1
