Row,id10580,id10581,id10583,id14060,id15697,id5541,id5579,id5580,id5581,id5584,id5585,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5619,id5620,id5621,id5622
id10580,8,8,3,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,7,7
id10581,11,11,7,10,10,8,10,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11
id10582,6,6,4,6,6,3,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
id10583,12,12,12,11,11,4,10,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,11
id10585,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
id11402,2,2,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id12222,12,12,8,12,12,7,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,9,12,9,9
id14060,12,12,8,12,12,8,12,12,11,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,11,12,12,10,12,10,10
id14193,6,6,1,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
id14765,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4
id15697,16,16,9,16,16,12,14,16,16,16,16,16,16,16,16,16,16,16,13,16,16,16,16,16,16,16,16,16,14,16,14,14
id16531,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
id16532,12,12,5,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12
