Row,id5516,id5492,id5552,id5499,id5528,id5568,id5500,id5533,id14442,id14191
id5516,1,1,0,1,0,1,0,1,0,0
id5492,0,0.666666666666667,1,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,1
id5552,NaN,1,1,1,1,1,1,1,NaN,NaN
id5499,NaN,1,NaN,1,1,1,1,0,1,0.5
id5528,0.5,0,1,0.5,1,1,0.5,1,1,1
id5568,1,1,1,1,1,1,1,1,1,1
id5500,NaN,1,1,1,1,1,1,1,NaN,NaN
id5533,1,1,1,1,1,1,1,1,1,1
id14442,1,0.666666666666667,1,1,0.666666666666667,1,1,0.666666666666667,1,0.333333333333333
id14191,1,0,1,1,1,NaN,1,1,1,1
