Row,id12223,id14442,id5492,id5499,id5500,id5506,id5508,id5528,id5533,id5566,id5568,id5569
id12223,0.428571428571429,0.529411764705882,0.5,0.529411764705882,0.529411764705882,0.428571428571429,0.764705882352941,0.4,0.647058823529412,0.375,0.454545454545455,0.411764705882353
id14191,0.5,0.75,0.5,0.5,0.75,0.333333333333333,0.75,0.5,0.5,0.5,0.5,0.5
id14436,1,1,0.666666666666667,0.666666666666667,1,0.333333333333333,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.333333333333333
id14440,0.666666666666667,1,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,1,0.666666666666667,0.666666666666667,1,0.333333333333333
id14442,0.142857142857143,0.571428571428571,0.285714285714286,0.428571428571429,0.571428571428571,0.333333333333333,0.428571428571429,0.25,0.285714285714286,0.142857142857143,0,0.428571428571429
id14446,0,0,0,0,0.5,0,0.5,0.5,0,0,NaN,0.5
id16701,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333
id16703,1,1,1,1,1,1,1,1,1,1,1,1
id5489,0.5,0.666666666666667,0.5,0.5,0.333333333333333,0.5,0.75,0.75,0.5,0.5,0.75,0.5
id5492,0,0,0,0,0,0,0,0,0,0,0,0
id5494,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5
id5498,1,1,1,0,1,0,1,1,1,1,NaN,0
id5499,0.272727272727273,0.454545454545455,0.25,0.5,0.5,0.363636363636364,0.666666666666667,0.5,0.416666666666667,0.25,0.363636363636364,0.583333333333333
id5500,0.333333333333333,0.6,0.2,0,0.4,0,0.6,0.5,0.2,0.2,0.5,0
id5506,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,0.666666666666667
id5508,0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,0.714285714285714,0.571428571428571,0.857142857142857,0.6,0.571428571428571,0.428571428571429,0.5,0.571428571428571
id5518,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333
id5528,0.5,0.545454545454545,0.5,0.666666666666667,0.636363636363636,0.583333333333333,0.75,0.625,0.416666666666667,0.5,0.625,0.666666666666667
id5533,0.25,0.25,0,0.5,0.25,0.25,0.75,0.25,0.25,0,0.5,0.75
id5543,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
id5549,0,1,1,1,0,0,1,1,0,0,1,0
id5566,0,0.2,0.2,0.2,0.2,0.25,0.4,0.2,0.4,0.2,0.333333333333333,0.2
id5568,0.6,1,0.75,0.4,0.75,0.4,1,0.6,0.4,0.8,0.666666666666667,0.6
id5569,0.166666666666667,0.428571428571429,0.285714285714286,0.428571428571429,0.285714285714286,0.333333333333333,0.714285714285714,0.5,0.285714285714286,0.142857142857143,0.6,0.428571428571429
id5624,0.25,0.5,0.333333333333333,0.5,0.5,0.333333333333333,0.75,0.75,0.5,0.25,0.666666666666667,0.5
