Row,id5506,id12223,id5492,id5508,id5624,id5528,id5568,id5566,id14446,id14192,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5564,id10577,id5509,id5502,id5524,id10818,id10574,id5512,id5513,id5510,id14768,id5527,id5537,id5573,id5536,id14441,id10579,id5541,id5483,id10570,id10572,id10573,id5514,id10571,id10568,id11298,id5547,id5557,id14762,id10816,id10576,id11395,id11396,id5567,id5565
id5559,5,4,5,5,1,3,4,4,1,1,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,1,4,5,5,4,1,5,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,4,5
id5564,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id10577,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5509,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5502,3,3,3,3,1,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,2,3,1,3,3,3,3,3,3
id5524,6,5,6,6,4,5,5,4,4,4,6,5,6,6,3,6,6,6,5,5,6,6,3,3,6,6,6,6,6,5,3,6,6,3,5,6,6,5,4,6,3,6,6,6,5,6,6,6,6,3,6,4,3,6,6,6,4,6
id10818,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id10574,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5512,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5513,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5510,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id14768,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,NaN,NaN,2,1,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,1,2,NaN,1,2,2,2,2
id5527,2,2,2,2,NaN,1,1,2,NaN,NaN,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5537,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5573,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5536,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id14441,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2
id10579,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5541,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2
id5483,4,4,4,4,NaN,4,4,3,NaN,NaN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,NaN,4,4,4,4,NaN,4,4,4,4,4,4,4,4,4,4,4,4,NaN,4,4,4,4,2,4
id10570,3,3,3,3,1,3,3,2,1,1,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,3,1,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,2,3,1,2,3,3,3,3,3
id10572,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id10573,2,2,2,2,NaN,1,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id5514,7,7,7,7,5,7,6,5,5,5,6,4,7,7,2,7,7,7,7,6,7,7,2,2,7,6,7,6,7,7,2,7,7,4,7,7,7,7,5,7,2,7,7,7,7,7,7,7,7,2,7,5,2,7,7,7,6,7
id10571,2,2,2,2,NaN,2,2,1,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2
id10568,5,5,5,5,3,5,5,4,3,3,5,4,5,5,2,5,5,5,5,5,5,5,2,2,5,3,5,5,5,5,2,5,5,3,4,5,5,5,3,4,2,5,5,4,5,5,5,5,5,2,4,3,2,4,5,5,5,5
id11298,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5547,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5557,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
id14762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1
id10816,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id10576,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2
id11395,3,2,2,3,2,3,3,2,2,2,3,2,3,3,1,3,3,3,3,3,3,3,1,1,3,3,3,2,3,3,1,3,3,1,3,3,3,3,2,2,1,3,3,2,2,3,3,3,3,1,3,2,1,3,3,3,2,3
id11396,1,1,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id5567,3,3,3,3,NaN,2,3,2,NaN,NaN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,NaN,3,3,3,3,NaN,3,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,3,3,3,3
id5565,6,5,6,6,3,5,6,5,3,3,5,5,6,6,4,6,6,6,5,6,6,6,4,4,6,4,6,6,6,5,4,6,6,3,5,6,6,5,3,6,4,6,6,6,5,6,6,6,6,4,5,3,4,5,6,6,5,6
