Row,id12223,id5489,id5492,id5528,id5519,id5539,id5571,id10577,id5524,id10818,id5527,id5573,id5541,id14764,id5514,id10571,id10568,id5557,id10576
id12223,0,0,0,0,1,1,1,1,1,1,NaN,0,NaN,1,0,1,1,1,1
id5489,0,1,0,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id5492,1,NaN,1,1,NaN,1,0,0,1,1,1,0,1,NaN,1,1,1,1,0
id5528,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5519,1,NaN,1,1,NaN,1,0,0,1,1,1,0,1,NaN,1,1,1,1,0
id5539,0,1,0,1,1,1,1,1,1,1,1,0,1,NaN,1,1,1,1,1
id5571,0,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1
id10577,0,1,0,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5524,0,0,0,0,1,1,1,1,1,1,NaN,0,NaN,1,0,1,1,1,1
id10818,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5527,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5573,0,1,0,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id5541,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id14764,0,0,0,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,0,NaN
id5514,0,1,0,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10571,0,1,0,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10568,0,0,0,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,0,NaN
id5557,0,0,0,0,1,1,1,1,1,1,NaN,0,NaN,1,0,1,1,1,1
id10576,0,1,0,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
