Row,id5506,id5529,id5494,id5532,id5516,id5492,id5552,id5499,id5549,id5528,id5568,id5500,id5569,id5533,id5543,id5518
id5506,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5529,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5494,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5532,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5516,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5492,0.5,0.5,1,1,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1
id5552,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5499,0.75,0.666666666666667,0.25,0.5,1,0.5,1,1,0.25,0,0.333333333333333,0.75,1,0.25,0.5,0.333333333333333
id5549,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5528,1,1,1,1,0,0,0,1,0,1,NaN,1,1,1,0,NaN
id5568,0,0,1,1,0,0,0,0,0,1,NaN,0,0,0,0,NaN
id5500,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1
id5569,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5533,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5543,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
id5518,1,1,1,1,1,1,NaN,1,1,0,1,1,1,1,1,1
