Row,consistency,opportunity,percentage
id10580,23,29,0.793103448275862
id10581,25,34,0.735294117647059
id10582,24,31,0.774193548387097
id10583,7,16,0.4375
id10585,25,32,0.78125
id11402,17,20,0.85
id12222,13,25,0.52
id14060,34,36,0.944444444444444
id14193,22,23,0.956521739130435
id14765,17,17,1
id15697,32,32,1
id16531,14,15,0.933333333333333
id16532,15,15,1
id16533,11,13,0.846153846153846
id16534,11,11,1
id16535,14,14,1
id16536,16,18,0.888888888888889
id5541,12,12,1
id5579,26,30,0.866666666666667
id5580,34,40,0.85
id5581,11,17,0.647058823529412
id5583,27,31,0.870967741935484
id5584,33,46,0.717391304347826
id5585,30,39,0.769230769230769
id5587,25,34,0.735294117647059
id5589,26,35,0.742857142857143
id5590,33,42,0.785714285714286
id5592,22,28,0.785714285714286
id5594,27,34,0.794117647058823
id5595,25,30,0.833333333333333
id5597,30,37,0.810810810810811
id5598,30,39,0.769230769230769
id5599,23,32,0.71875
id5601,24,35,0.685714285714286
id5602,21,27,0.777777777777778
id5604,25,31,0.806451612903226
id5605,37,46,0.804347826086957
id5606,9,18,0.5
id5608,20,36,0.555555555555556
id5609,20,28,0.714285714285714
id5610,14,24,0.583333333333333
id5612,28,35,0.8
id5614,25,33,0.757575757575758
id5616,3,9,0.333333333333333
id5619,23,28,0.821428571428571
id5620,27,35,0.771428571428571
id5621,19,25,0.76
id5622,28,37,0.756756756756757
id5623,29,36,0.805555555555556
id5627,32,39,0.82051282051282
