Row,id12223,id5492,id5508,id5499,id5498,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442,id5493,id14192,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id14445,id5512,id5513,id5510,id14768,id14447,id5527,id5537,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id10568,id11298,id5547,id5557,id14762,id14444,id10816,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id5515,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,NaN,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,NaN,1,2,2,1,2
id5560,7,7,7,6,7,4,7,7,7,7,7,7,3,7,4,6,4,7,7,4,6,7,7,7,7,7,7,4,4,4,4,7,7,7,7,4,7,7,4,4,7,7,4,4,6,7,4,6,7,7,6,4,7,7,6,4,6,7,7,7,6,4,7,4,4,4,7,1,1,7,7,6,6
id5544,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id10578,5,5,5,5,5,2,5,5,5,5,5,5,4,5,4,3,1,5,5,2,5,5,5,5,5,5,5,2,2,2,4,5,5,5,5,4,5,5,4,2,5,5,4,4,5,5,4,3,5,5,5,2,5,5,5,4,4,5,5,5,5,2,5,4,4,2,5,1,2,5,5,4,5
id10575,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,NaN,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,NaN,1,2,2,1,2
id5559,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,3,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,4,4,2,2,4,4,3,4
id5561,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5564,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id14439,3,3,3,2,3,NaN,3,3,3,3,3,3,2,3,3,2,1,3,3,NaN,3,3,3,3,3,3,3,NaN,NaN,NaN,3,3,3,2,2,3,3,3,3,NaN,3,3,3,3,2,3,3,3,3,3,2,NaN,3,3,2,3,3,3,3,3,2,NaN,3,3,3,NaN,3,NaN,NaN,3,3,3,2
id10577,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5509,3,3,3,2,3,2,3,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,2,3,3,2,2,2,2,3,3,3,3,2,3,2,2,2,3,3,2,2,1,3,2,3,2,3,2,2,3,3,2,2,2,3,3,3,3,2,3,2,2,2,3,1,1,3,3,2,3
id5502,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,NaN,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,NaN,1,2,2,1,2
id5524,5,5,4,4,5,1,5,5,4,5,5,5,3,5,4,5,2,5,5,1,5,5,5,5,5,5,5,1,1,1,4,5,5,5,4,4,5,5,4,1,5,5,4,4,3,5,4,5,5,5,3,1,5,5,3,4,5,5,5,5,3,1,5,4,4,1,5,NaN,3,5,5,4,3
id14443,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,NaN,NaN,1,1,1,1
id10818,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id10574,3,3,3,3,3,1,2,1,3,3,3,3,2,3,2,3,2,3,3,1,3,3,3,2,3,3,3,1,1,1,2,3,3,3,2,2,3,3,2,1,3,3,2,2,1,3,1,3,3,2,1,1,3,3,1,2,3,3,3,3,3,1,3,2,2,1,2,NaN,2,2,3,2,2
