Row,id10568,id10570,id10571,id10572,id10573,id10574,id10575,id10576,id10577,id10578,id10579,id10584,id10818,id11298,id11394,id11395,id11396,id11398,id11445,id14189,id14192,id14437,id14438,id14439,id14441,id14443,id14444,id14445,id14447,id14448,id14761,id14762,id14764,id14766,id14767,id14768,id16085,id16115,id16175,id16530,id16537,id16538,id16701,id16702,id16704,id16801,id16807,id17750,id17791,id5483,id5493,id5497,id5502,id5509,id5510,id5513,id5514,id5515,id5519,id5524,id5527,id5536,id5537,id5539,id5544,id5546,id5557,id5560,id5565,id5567,id5570,id5571,id5573,id5576
id14761,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.666666666666667,1,NaN,0.5,NaN,1,NaN,1,NaN,NaN,0.333333333333333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,0.75,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN
id14762,NaN,1,NaN,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,NaN,NaN,NaN,1,1,NaN,1,NaN,0.857142857142857,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN
id14764,NaN,NaN,NaN,NaN,0.909090909090909,NaN,1,1,1,NaN,1,NaN,NaN,1,0.8,1,NaN,1,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,0.9,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.944444444444444,0,1,NaN,NaN,1,NaN,1,NaN,0.875,1,1,NaN,1,NaN,1,0.909090909090909,NaN
id14766,0.777777777777778,NaN,0.90625,NaN,NaN,NaN,NaN,NaN,NaN,0.857142857142857,0.769230769230769,NaN,0.75,NaN,NaN,0.777777777777778,NaN,NaN,NaN,NaN,0.846153846153846,NaN,NaN,0.857142857142857,0.75,NaN,0.863636363636364,NaN,NaN,NaN,0.333333333333333,NaN,NaN,1,NaN,0.9,NaN,0.947368421052632,NaN,NaN,NaN,NaN,NaN,NaN,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.782608695652174,NaN,0.615384615384615,0.91304347826087,NaN,0.821428571428571,0.823529411764706,NaN,NaN,NaN,NaN,NaN,NaN,0.863636363636364,0.8,0.8,NaN,0.7,NaN,NaN
id14767,NaN,NaN,NaN,1,0.8,NaN,1,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,0.8,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,0.5,NaN,NaN,NaN,NaN,NaN
id14768,0.888888888888889,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.916666666666667,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0.9,NaN,1,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.777777777777778,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0.7,1,1,0.8,NaN,1
id16085,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,0.916666666666667,NaN,NaN,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,0.833333333333333,NaN,NaN,NaN,1,1,NaN,1,1,NaN,1,0.857142857142857,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,0.857142857142857,NaN,NaN,1,NaN,NaN,NaN
id16115,NaN,1,0.8,NaN,NaN,1,1,0.666666666666667,NaN,0.95,0.714285714285714,1,0.85,NaN,1,1,1,NaN,NaN,NaN,0.944444444444444,1,NaN,1,0.789473684210526,NaN,1,NaN,1,1,NaN,1,NaN,0.947368421052632,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,0.882352941176471,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,0.894736842105263,1,0.5,0.866666666666667,NaN,0.9,0.923076923076923,1,1,NaN,1,1,1,0.954545454545455,NaN,NaN,NaN,NaN,NaN,NaN
id16175,1,1,NaN,1,NaN,1,0.5,NaN,1,NaN,NaN,NaN,1,0.5,0.5,NaN,1,0.333333333333333,1,NaN,1,1,0.5,NaN,NaN,1,NaN,1,0.333333333333333,0.666666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.666666666666667,NaN,NaN,NaN,NaN,NaN,0.857142857142857,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,0,1,NaN,NaN,1,0.333333333333333,1,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id16530,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.666666666666667,1,1,NaN,NaN,NaN,1,NaN,NaN,0,0.5,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.666666666666667,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.666666666666667,NaN,0.75,NaN,NaN,NaN,NaN,NaN,0.666666666666667,0.8,1
