master_unique_legislators,sponsor_names,coverage,results
5482,Scott Pelath,0.982608695652174,0.0777994206958069
5483,Eric Koch,1,0.0179158420873619
5489,David Niezgodski,1,-0.0611509701528392
5492,Vernon Smith,0.973913043478261,-0.0220764939244528
5493,Edmond Soliday,0.991304347826087,0.137243870661223
5494,Patrick Bauer,0.904347826086957,-0.0207110534071957
5497,Brian Bosma,0.252173913043478,0.0332795971469258
5498,Clyde Kersey,0.982608695652174,-0.0214664903448239
5499,Terri Jo Austin,0.982608695652174,-0.0242092665145495
5500,Gail Riecken,0.973913043478261,-0.064195175057598
5502,Gregory Steuerwald,0.834782608695652,0.0674742603963827
5506,Linda Lawson,0.939130434782609,-0.0806272913075791
5508,Sheila Klinker,0.991304347826087,-0.0471178088806394
5509,Gerald Torr,0.973913043478261,0.102903771745047
5510,Daniel Leonard,1,0.125304232388783
5513,Wes Culver,0.973913043478261,-0.0211073419119832
5514,Edward Clere,1,0.134950343607914
5515,Randy Truitt,0.991304347826087,-0.350832729635781
5518,Vanessa Summers,0.843478260869565,0.0590841020449197
5519,Thomas Dermody,0.982608695652174,-0.478911021069284
5524,Timothy Brown,0.843478260869565,0.0238430269413361
5527,Robert Cherry,0.791304347826087,-0.384298876179411
5528,Terry Goodin,0.869565217391304,0.0260703399580445
5532,Charles Moseley,1,-0.0899475905199605
5533,Edward DeLaney,1,-0.0468820652423516
5536,Charles Burton,0.973913043478261,-0.6072223803628
5537,Thomas Saunders,0.965217391304348,0.0341859479175299
5539,William Friend,0.904347826086957,-0.453683492339131
5543,Cherrish Pryor,0.991304347826087,-0.0991516745311068
5544,Kathy Richardson,0.973913043478261,0.0729290302430587
5546,David Wolkins,0.643478260869565,0.0505125351629251
5549,Matt Pierce,0.991304347826087,0.0764267477674013
5553,Ryan Dvorak,0.939130434782609,-0.0638944131365921
5556,John Bartlett,0.973913043478261,-0.195861868161203
5557,Matthew Lehman,0.965217391304348,0.258265503398644
5560,Jeffrey Thompson,0.991304347826087,0.0614624238902256
5565,David Frizzell,0.88695652173913,0.0789971619401413
5566,Gregory Porter,0.982608695652174,-0.0751069529948835
5567,Robert Behning,0.947826086956522,0.0820069811628496
5568,Steven Stemler,0.730434782608696,-0.0175333594056553
5569,Philip GiaQuinta,0.991304347826087,0.066765931178029
5570,Doug Gutwein,0.930434782608696,0.0921110654232625
5571,Donald Lehe,0.991304347826087,-0.0873344355665505
5573,Sean Eberhart,0.956521739130435,0.00647277393020071
5576,Bruce Borders,0.791304347826087,-0.0257956053575903
5624,Sue Errington,0.991304347826087,-0.0649616115804452
10568,Ronald Bacon,1,0.0556099138418022
10570,Randall Frye,1,-0.0162345206642673
10571,Steven Davisson,0.8,-0.352216927855782
10573,Rhonda Rhoads,0.947826086956522,1
10574,Robert Heaton,1,-0.0307249250462818
10575,Kevin Mahan,0.965217391304348,0.0565409296555469
10576,Robert Morris,0.895652173913044,-0.280544480075335
10577,Heath VanNatter,0.973913043478261,0.305647206558935
10578,Michael Karickhoff,1,0.286460557401582
10584,Milo Smith,0.947826086956522,-0.420445515955555
10818,James Baird,1,0.00943319347225086
11298,Wendy McNamara,0.965217391304348,-0.394560950490046
11394,Timothy Wesco,0.982608695652174,-0.49694422048825
11395,Cindy Kirchhofer,0.973913043478261,0.0352330699931181
11396,Mike Speedy,0.956521739130435,-0.472953898920454
11398,Lloyd Arnold,0.947826086956522,0.565225130873773
11445,Doug Miller,0.773913043478261,-0.294512756209802
12223,Charlie Brown,0.91304347826087,0.0843080676124518
14189,Dale DeVon,0.991304347826087,-0.603462462611506
14191,Dan Forestal,0.921739130434783,-0.0984999456862816
14192,Sharon Negele,0.991304347826087,-0.559547874062425
14436,Christina Hale,0.956521739130435,-0.21495430012477
14437,Richard Hamm,0.91304347826087,0.112830010355618
14438,Timothy Harman,0.973913043478261,-0.0369382715271542
14439,Todd Huston,0.904347826086957,0.0876446031907849
14440,Karlee Macer,0.904347826086957,-0.0673578076301159
14441,Peggy Mayfield,0.982608695652174,-0.0637693920997369
14442,Justin Moed,0.947826086956522,-0.109189405927393
14443,Alan Morrison,0.973913043478261,-0.0564219723502062
14444,David Ober,0.991304347826087,0.109895655396141
14445,John Price,0.956521739130435,0.133200857876326
14446,Robin Shackleford,0.982608695652174,-0.081089593839314
14447,Ben Smaltz,0.991304347826087,-0.353771540513419
14448,Thomas Washburne,0.982608695652174,-0.438081766357781
14761,Steven Braun,0.982608695652174,0.10339773387218
14762,Martin Carbaugh,0.991304347826087,-0.145166778525702
14764,Jim Lucas,0.991304347826087,0.132341922460253
14766,Harold Slager,0.991304347826087,-0.585243796982112
14767,Cindy Ziemke,0.991304347826087,0.114696221890402
14768,Dennis Zent,0.965217391304348,0.096433464913073
16085,Casey Cox,0.956521739130435,-0.380912561257295
16115,Holli Sullivan,0.991304347826087,-0.437589604795988
16175,Greg Beumer,0.982608695652174,-0.399769825027152
16530,Micheal Aylesworth,0.756521739130435,0.0683776265081308
16537,Curt Nisly,0.791304347826087,0.0627005603783894
16538,Christopher Judy,0.791304347826087,0.0495349014464623
16701,William Fine,0.765217391304348,-0.362397290812765
16702,Julie Olthoff,0.791304347826087,0.10531209317117
16703,Melanie Wright,0.791304347826087,-0.12367903683758
16704,Mike Braun,0.00869565217391304,-0.00429496782449725
16801,Donna Schaibley,0.791304347826087,0.0792513832962461
16807,Anthony Cook,0.791304347826087,0.101601649438605
17692,Donna Harris,0.260869565217391,-0.0285247028590074
17750,Randy Lyness,0.260869565217391,0.0170591668984523
17791,Jeff Ellington,0.260869565217391,-0.140875926910985
