Row,id12223,id5489,id5492,id5528,id5519,id5539,id5571,id10577,id5524,id10818,id5527,id5573,id5541,id14764,id5514,id10571,id10568,id5557,id10576
id12223,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id5489,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id5492,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id5528,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2
id5519,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id5539,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id5571,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2
id10577,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5524,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id10818,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5573,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id5541,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2
id14764,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,NaN
id5514,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10571,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id10568,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,NaN
id5557,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
id10576,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
