Row,id10568,id10570,id10571,id10572,id10573,id10574,id10575,id10576,id10577,id10578,id10579,id10584,id10818,id11298,id11394,id11395,id11396,id11398,id11445,id12223,id14189,id14191,id14192,id14436,id14437,id14438,id14439,id14440,id14441,id14442,id14443,id14444,id14445,id14446,id14447,id14448,id14761,id14762,id14764,id14766,id14767,id14768,id16085,id16115,id16175,id16530,id16537,id16538,id16701,id16702,id16703,id16704,id16801,id16807,id17692,id17750,id17791,id5483,id5489,id5492,id5493,id5494,id5497,id5498,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5518,id5519,id5524,id5527,id5528,id5529,id5532,id5533,id5536,id5537,id5539,id5543,id5544,id5546,id5549,id5553,id5556,id5557,id5560,id5565,id5566,id5567,id5568,id5569,id5570,id5571,id5573,id5576,id5624
id10579,1,1,10,1,NaN,1,1,1,NaN,16,20,NaN,12,1,3,NaN,1,1,NaN,4,NaN,NaN,14,NaN,NaN,NaN,8,NaN,13,NaN,1,15,NaN,NaN,2,NaN,3,NaN,2,13,NaN,NaN,NaN,7,NaN,1,NaN,1,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,1,13,NaN,1,NaN,1,7,4,7,1,NaN,11,1,10,NaN,4,15,3,4,15,11,12,1,2,8,1,NaN,1,14,1,2,1,NaN,1,3,12,1,12,NaN,10,4,1,1,5,NaN,1
id10584,NaN,NaN,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,15,NaN,NaN,11,NaN,NaN,6,NaN,2,2,NaN,NaN,NaN,4,NaN,NaN,2,NaN,2,NaN,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,4,NaN,11,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,6,NaN,2,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,4,NaN,NaN,NaN,2,NaN,7,NaN,7,NaN,NaN,NaN,11,2,NaN,NaN,13,NaN,7,2,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN
id10818,2,1,19,1,NaN,NaN,1,1,NaN,26,12,NaN,28,1,1,NaN,1,NaN,NaN,1,NaN,NaN,24,NaN,NaN,NaN,16,NaN,24,NaN,1,20,NaN,NaN,NaN,NaN,4,NaN,NaN,24,NaN,NaN,NaN,20,1,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,1,21,NaN,1,1,1,3,1,17,1,NaN,26,1,24,NaN,5,21,NaN,2,26,17,22,1,1,21,1,NaN,2,25,1,1,1,NaN,1,NaN,25,1,21,NaN,14,1,2,2,1,NaN,NaN
id11298,1,1,1,8,3,NaN,9,1,NaN,1,1,NaN,1,24,3,10,1,NaN,7,1,NaN,NaN,NaN,2,NaN,11,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,7,NaN,3,NaN,11,NaN,2,NaN,NaN,NaN,7,8,NaN,NaN,NaN,NaN,4,1,NaN,9,NaN,8,1,7,1,1,1,8,14,1,1,9,5,NaN,1,5,NaN,1,NaN,NaN,1,6,1,10,1,NaN,1,NaN,3,8,4,5,9,3,1,1,NaN,NaN,NaN,1,1,1,2,NaN,7
id11394,1,1,1,2,NaN,NaN,3,6,NaN,1,3,11,1,3,32,NaN,5,6,NaN,9,NaN,2,NaN,2,4,7,5,3,NaN,1,NaN,7,2,NaN,10,NaN,NaN,7,10,NaN,NaN,1,11,4,2,1,NaN,NaN,NaN,NaN,1,NaN,NaN,7,NaN,2,4,1,7,NaN,10,NaN,1,7,10,NaN,1,4,1,7,NaN,NaN,11,3,8,11,NaN,1,3,1,15,1,8,NaN,1,1,12,1,1,NaN,21,9,8,1,NaN,NaN,NaN,22,7,1,11,1,2
id11395,8,3,9,2,2,2,5,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,24,NaN,3,6,10,NaN,3,NaN,2,2,7,NaN,3,NaN,NaN,NaN,NaN,3,9,NaN,3,NaN,3,6,9,3,12,5,2,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,3,5,NaN,NaN,2,7,3,1,3,2,NaN,NaN,8,2,NaN,NaN,NaN,NaN,NaN,4,3,3,1,NaN,NaN,NaN,NaN,6,2,2,5,4,NaN,9,7,5,NaN,NaN,3,9,NaN,NaN,6
id11396,1,8,1,5,NaN,1,1,6,1,1,1,NaN,1,1,5,NaN,12,3,NaN,3,1,7,NaN,1,1,3,NaN,NaN,NaN,1,1,4,1,1,5,1,NaN,4,NaN,NaN,NaN,1,NaN,2,3,NaN,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,1,NaN,2,4,NaN,7,NaN,1,1,1,1,1,3,1,5,NaN,NaN,1,1,NaN,1,NaN,NaN,1,1,5,4,2,5,1,6,1,1,2,NaN,5,NaN,1,2,NaN,1,2,2,4,1,1,NaN,NaN
id11398,NaN,7,NaN,3,7,2,NaN,NaN,NaN,2,1,6,NaN,NaN,6,3,3,22,NaN,NaN,7,6,NaN,NaN,NaN,NaN,5,4,NaN,NaN,2,NaN,4,NaN,3,NaN,NaN,2,5,NaN,NaN,4,8,NaN,3,2,NaN,3,NaN,NaN,NaN,NaN,NaN,6,1,NaN,1,NaN,NaN,5,11,NaN,NaN,7,NaN,NaN,NaN,1,4,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,3,10,3,NaN,3,6,2,NaN,NaN,6,NaN,7,NaN,NaN,7,1,6,4,NaN,2,NaN,9
id11445,NaN,NaN,NaN,NaN,NaN,NaN,4,1,2,NaN,NaN,NaN,NaN,7,NaN,6,NaN,NaN,10,NaN,NaN,1,NaN,NaN,NaN,8,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,1,8,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,7,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,2,NaN,NaN,7,2,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,8
id12223,8,4,9,1,NaN,2,2,4,NaN,1,4,2,1,1,9,10,3,NaN,NaN,25,NaN,3,NaN,2,2,NaN,5,NaN,NaN,2,NaN,NaN,NaN,10,11,2,NaN,2,8,8,2,8,NaN,7,NaN,NaN,3,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,4,1,NaN,NaN,4,4,1,1,12,NaN,1,NaN,1,3,NaN,2,17,1,11,10,NaN,NaN,1,1,1,3,2,3,1,3,1,3,1,NaN,1,11,1,9,7,5,2,10,1,9,10,NaN,NaN
