Row,score,count,names
id1495,1500,0,Joel Anderson
id1498,1500,0,Jim Beall
id1500,1500,0,Tom Berryhill
id1502,1500,0,Marty Block
id1516,1500,0,Kevin de Leon
id1525,1500,0,Jean Fuller
id1527,1500,0,Ted Gaines
id1528,1500,0,Cathleen Galgiani
id1532,1500,0,Isadore Hall
id1535,1500,0,Edward Hernandez
id1536,1500,0,Jerry Hill
id1541,1500,0,Steve Knight
id1546,1500,0,Tony Mendoza
id1548,1500,0,William Monning
id1552,1500,0,Jim Nielsen
id1582,1500,0,Mark DeSaulnier
id1588,1500,0,Robert Huff
id1590,1500,0,Mark Leno
id1591,1500,0,Carol Liu
id1597,1500,0,Fran Pavley
id1604,1500,0,Mimi Walters
id1606,1500,0,Lois Wolk
id1610,1500,0,Loni Hancock
id10968,1500,0,Ricardo Lara
id10969,1500,0,Holly Mitchell
id10970,1500,0,Richard Pan
id11612,1500,0,Benjamin Hueso
id11614,1500,0,Mike Morrell
id11921,1500,0,Anthony Cannella
id14130,1500,0,Hannah-Beth Jackson
id14134,1500,0,Richard Roth
id16048,1500,0,Andy Vidak
id16304,1500,0,Ben Allen
id16305,1500,0,Patricia Bates
id16306,1500,0,Bob Hertzberg
id16307,1500,0,Connie Leyva
id16308,1500,0,Mike McGuire
id16309,1500,0,Janet Nguyen
id16310,1500,0,Jeff Stone
id17671,1500,0,John Moorlach
id17701,1500,0,Steve Glazer
id17703,1500,0,Sharon Runner
