Row,id10398,id10403,id10409,id10417,id10421,id10877,id11626,id11962,id14077,id14262,id14354,id7853,id7854,id7855,id7872,id7873,id7878,id7884,id7893,id7896,id7912,id7917,id7923,id7927,id7933,id7942,id7949,id7968,id7979,id7984,id7987,id7990,id7992,id7994,id7997,id7998
id7855,3,3,3,7,7,3,7,5,5,5,5,5,3,7,3,7,5,3,5,3,5,5,7,5,3,3,3,7,7,7,7,7,7,7,7,7
id7872,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,6,7,7
id7873,1,1,1,10,10,1,10,10,4,4,4,4,1,10,1,9,4,1,4,1,4,4,10,4,1,1,1,10,10,10,10,10,10,10,10,10
id7878,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4
id7884,2,2,2,5,5,2,4,5,5,5,5,5,2,5,2,5,5,2,5,2,5,5,5,5,2,1,2,5,5,5,5,5,5,4,5,5
id7885,2,2,2,3,3,2,3,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,3,3,3,3,3
id7887,2,2,2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
id7893,3,3,3,5,5,3,5,5,4,3,4,4,3,5,3,5,4,3,4,3,4,4,5,4,3,3,3,5,5,5,5,5,5,4,5,5
id7896,7,7,7,22,22,7,22,22,15,15,15,15,7,22,7,22,15,7,15,7,15,15,22,15,7,7,7,22,22,20,22,22,22,21,22,22
id7912,2,2,2,10,10,2,10,10,7,7,7,7,2,10,2,9,7,2,7,2,7,7,9,7,2,2,2,10,10,10,10,10,10,10,10,10
id7913,NaN,NaN,NaN,2,2,NaN,2,2,1,NaN,1,1,NaN,2,NaN,2,1,NaN,1,NaN,1,1,2,1,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2
id7917,3,3,3,5,5,3,5,5,5,5,5,5,3,4,3,4,5,3,5,3,5,5,5,5,3,3,3,5,4,5,5,5,5,5,5,5
id7923,NaN,NaN,NaN,4,4,NaN,4,4,1,1,1,1,NaN,4,NaN,4,1,NaN,1,NaN,1,1,4,1,NaN,NaN,NaN,4,4,4,4,4,4,4,4,4
id7927,1,1,1,3,3,1,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3
id7933,6,6,6,8,8,6,8,8,6,6,6,6,6,8,6,8,6,6,6,6,6,6,8,6,6,6,6,8,8,8,8,8,8,8,8,8
id7942,NaN,NaN,NaN,7,7,NaN,7,7,3,3,3,3,NaN,7,NaN,7,3,NaN,3,NaN,3,2,7,3,NaN,NaN,NaN,7,7,7,7,7,7,7,7,7
id7943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
id7944,NaN,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1
id7949,2,2,2,4,4,2,4,3,3,3,3,3,2,4,2,4,3,2,3,2,3,3,4,3,2,2,2,4,4,4,4,4,4,4,4,4
id7968,1,1,1,6,6,1,6,6,5,5,5,5,1,6,1,6,5,1,5,1,5,5,6,5,1,1,1,6,6,6,6,6,6,6,6,6
id7979,6,6,6,17,17,6,16,17,10,10,10,10,6,17,6,17,10,6,10,6,10,10,17,10,6,5,6,17,17,17,17,17,17,17,17,17
id7984,4,4,4,9,9,4,9,9,6,6,4,6,4,9,4,9,6,4,6,4,6,6,9,6,4,3,4,9,9,9,8,9,9,9,9,9
id7987,2,2,2,6,6,2,6,5,3,3,3,3,2,6,2,6,3,2,3,2,3,3,6,3,2,2,2,6,5,6,6,6,6,6,6,6
id7990,3,3,3,7,7,3,7,7,5,5,5,5,3,6,3,7,5,3,5,3,5,5,6,5,3,3,3,7,7,7,7,7,7,7,7,7
id7991,1,1,1,4,4,1,4,4,1,2,2,2,1,4,1,4,2,1,2,1,2,1,3,2,1,1,1,4,4,4,4,4,4,4,4,4
id7992,1,1,1,4,4,1,4,4,3,3,3,3,1,4,1,4,3,1,3,1,3,3,4,3,1,1,1,4,4,4,4,4,4,4,4,4
id7994,3,3,2,7,7,3,7,6,6,6,6,6,3,7,3,7,6,3,6,3,5,6,7,6,3,3,3,7,6,7,7,7,7,7,7,7
id7997,2,2,2,8,8,2,8,8,5,5,5,5,2,7,2,8,5,2,5,2,5,5,7,5,2,2,2,8,8,8,8,8,8,8,8,8
id7998,7,7,7,12,12,7,12,11,10,10,10,10,7,12,7,12,10,7,10,7,10,10,11,10,7,7,7,12,12,12,12,12,12,12,12,12
