Row,consistency,opportunity,percentage
id10398,0,0,NaN
id10403,0,0,NaN
id10409,0,0,NaN
id10417,0,0,NaN
id10421,0,0,NaN
id10877,0,0,NaN
id11626,0,0,NaN
id11962,0,0,NaN
id12208,0,0,NaN
id14077,0,0,NaN
id14262,0,0,NaN
id14348,0,0,NaN
id14354,0,0,NaN
id16272,0,0,NaN
id16273,0,0,NaN
id16672,0,0,NaN
id16673,0,0,NaN
id16674,0,0,NaN
id7853,0,0,NaN
id7854,0,0,NaN
id7855,0,0,NaN
id7872,0,0,NaN
id7873,0,0,NaN
id7878,0,0,NaN
id7884,0,0,NaN
id7885,0,0,NaN
id7887,0,0,NaN
id7893,0,0,NaN
id7896,0,0,NaN
id7912,0,0,NaN
id7913,0,0,NaN
id7917,0,0,NaN
id7923,0,0,NaN
id7927,0,0,NaN
id7933,0,0,NaN
id7942,0,0,NaN
id7943,0,0,NaN
id7944,0,0,NaN
id7949,0,0,NaN
id7968,0,0,NaN
id7979,0,0,NaN
id7984,0,0,NaN
id7987,0,0,NaN
id7990,0,0,NaN
id7991,0,0,NaN
id7992,0,0,NaN
id7994,0,0,NaN
id7997,0,0,NaN
id7998,0,0,NaN
id8000,0,0,NaN
