Row,id10398,id10403,id10409,id10417,id10421,id10877,id11626,id11962,id12208,id14077,id14262,id14348,id14354,id16272,id16273,id16672,id16673,id16674,id7853,id7854,id7855,id7872,id7873,id7878,id7884,id7885,id7887,id7893,id7896,id7912,id7913,id7917,id7923,id7927,id7933,id7942,id7943,id7944,id7949,id7968,id7979,id7984,id7987,id7990,id7991,id7992,id7994,id7997,id7998,id8000
id10398,79,28,NaN,NaN,8,39,42,3,28,3,36,NaN,27,39,30,28,47,43,38,NaN,44,12,28,NaN,4,31,28,3,38,8,36,39,39,NaN,47,40,28,NaN,4,NaN,36,36,39,36,28,3,35,11,NaN,12
id10403,28,59,6,NaN,NaN,NaN,NaN,NaN,36,NaN,29,23,28,29,27,52,6,NaN,NaN,7,5,NaN,29,23,NaN,29,58,NaN,NaN,NaN,NaN,NaN,NaN,23,7,NaN,29,NaN,NaN,NaN,NaN,6,NaN,NaN,36,NaN,5,NaN,7,NaN
id10409,NaN,6,30,16,17,NaN,NaN,17,7,NaN,7,15,6,NaN,NaN,NaN,7,NaN,NaN,13,5,NaN,6,15,NaN,NaN,6,NaN,13,17,NaN,6,NaN,NaN,6,NaN,NaN,17,6,6,5,13,6,6,13,NaN,5,NaN,6,17
id10417,NaN,NaN,16,33,23,NaN,NaN,27,10,NaN,NaN,15,6,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,6,15,10,NaN,NaN,10,18,17,10,5,NaN,NaN,NaN,NaN,9,27,NaN,NaN,6,NaN,6,6,NaN,NaN,NaN,NaN,10,17
id10421,8,NaN,17,23,32,NaN,NaN,18,NaN,NaN,NaN,16,6,8,NaN,6,8,NaN,NaN,NaN,8,8,6,16,NaN,NaN,NaN,NaN,19,26,NaN,5,NaN,NaN,8,NaN,NaN,18,NaN,NaN,6,NaN,6,6,NaN,NaN,NaN,8,NaN,26
id10877,39,NaN,NaN,NaN,NaN,39,39,3,NaN,3,36,NaN,NaN,3,NaN,NaN,39,39,38,NaN,36,NaN,NaN,NaN,NaN,3,NaN,3,38,NaN,36,39,36,NaN,39,36,NaN,NaN,NaN,NaN,36,36,39,36,NaN,3,35,NaN,NaN,NaN
id11626,42,NaN,NaN,NaN,NaN,39,55,16,NaN,16,49,NaN,13,3,3,NaN,39,42,38,NaN,49,3,12,13,3,3,NaN,3,38,12,49,39,39,NaN,39,39,13,NaN,3,NaN,48,36,52,37,NaN,16,35,16,13,3
id11962,3,NaN,17,27,18,3,16,59,10,30,13,30,13,3,NaN,NaN,3,3,2,NaN,13,NaN,12,44,10,18,NaN,27,16,45,36,3,NaN,14,3,NaN,37,43,NaN,14,12,NaN,16,1,NaN,16,NaN,13,23,18
id12208,28,36,7,10,NaN,NaN,NaN,10,47,NaN,8,NaN,28,29,27,29,7,NaN,NaN,8,5,NaN,29,NaN,10,29,36,10,NaN,NaN,10,NaN,NaN,NaN,7,NaN,38,10,NaN,NaN,NaN,7,NaN,NaN,37,NaN,5,NaN,17,NaN
id14077,3,NaN,NaN,NaN,NaN,3,16,30,NaN,53,13,14,13,3,14,NaN,3,3,2,9,13,9,12,27,9,31,NaN,26,17,26,32,3,14,23,9,14,27,14,9,23,12,NaN,16,1,NaN,16,14,21,22,NaN
id14262,36,29,7,NaN,NaN,36,49,13,8,13,79,22,13,NaN,NaN,22,43,36,36,8,54,NaN,12,35,NaN,NaN,29,NaN,35,12,49,36,36,22,43,36,13,NaN,NaN,NaN,48,43,49,37,8,13,40,13,20,NaN
id14348,NaN,23,15,15,16,NaN,NaN,30,NaN,14,22,53,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,14,23,14,13,30,12,NaN,NaN,37,NaN,NaN,14,30,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
id14354,27,28,6,6,6,NaN,13,13,28,13,13,NaN,53,28,26,34,NaN,NaN,NaN,6,13,NaN,52,13,NaN,28,28,NaN,6,12,13,11,NaN,NaN,NaN,NaN,41,NaN,6,6,23,6,25,13,34,13,NaN,13,13,NaN
id16272,39,29,NaN,NaN,8,3,3,3,29,3,NaN,NaN,28,40,27,29,11,3,2,NaN,8,8,29,NaN,NaN,32,29,3,3,8,NaN,3,NaN,NaN,11,NaN,29,NaN,NaN,NaN,NaN,NaN,3,NaN,29,3,NaN,8,NaN,8
