Row,id10417,id10421,id12208,id14348,id16272,id16674,id7853,id7872,id7884,id7885,id7887,id7893,id7917,id7923,id7927,id7968,id7984,id7990,id7991,id7994,id8000
id10417,1,0.826086956521739,0.7,1,NaN,NaN,NaN,NaN,0.8,NaN,NaN,0.7,0.8,NaN,NaN,NaN,NaN,0.666666666666667,NaN,NaN,1
id10421,0.826086956521739,1,NaN,0.8125,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,0.5,NaN,NaN,0.884615384615385
id12208,0.7,NaN,1,NaN,0.896551724137931,NaN,NaN,NaN,0.9,0.96551724137931,0.888888888888889,1,NaN,NaN,NaN,NaN,0.857142857142857,NaN,0.972972972972973,0.8,NaN
id14348,1,0.8125,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.956521739130435,1,NaN,NaN,0.945945945945946,1,NaN,NaN,NaN,NaN,1
id16272,NaN,1,0.896551724137931,NaN,1,1,1,1,NaN,0.9375,0.96551724137931,1,1,NaN,NaN,NaN,NaN,NaN,0.931034482758621,NaN,1
id16674,NaN,NaN,NaN,NaN,1,1,0.868421052631579,1,1,1,NaN,1,0.897435897435897,0.846153846153846,NaN,NaN,0.916666666666667,0.805555555555556,NaN,0.857142857142857,1
id7853,NaN,NaN,NaN,NaN,1,0.868421052631579,1,NaN,NaN,1,NaN,1,0.868421052631579,0.861111111111111,NaN,NaN,0.888888888888889,0.722222222222222,NaN,0.885714285714286,NaN
id7872,NaN,1,NaN,NaN,1,1,NaN,1,1,NaN,NaN,1,NaN,1,0.888888888888889,1,NaN,NaN,NaN,NaN,1
id7884,0.8,NaN,0.9,NaN,NaN,1,NaN,1,1,NaN,NaN,0.947368421052632,NaN,1,0.888888888888889,1,NaN,NaN,NaN,NaN,1
id7885,NaN,NaN,0.96551724137931,1,0.9375,1,1,NaN,NaN,1,0.896551724137931,1,1,0.714285714285714,1,1,NaN,NaN,1,0.928571428571429,NaN
id7887,NaN,NaN,0.888888888888889,0.956521739130435,0.96551724137931,NaN,NaN,NaN,NaN,0.896551724137931,1,NaN,NaN,NaN,0.956521739130435,NaN,0.833333333333333,NaN,0.916666666666667,0.8,NaN
id7893,0.7,NaN,1,1,1,1,1,1,0.947368421052632,1,NaN,1,1,NaN,0.956521739130435,1,NaN,NaN,NaN,NaN,NaN
id7917,0.8,1,NaN,NaN,1,0.897435897435897,0.868421052631579,NaN,NaN,1,NaN,1,1,0.944444444444444,NaN,0.5,0.880952380952381,0.787234042553192,0.833333333333333,0.828571428571429,NaN
id7923,NaN,NaN,NaN,NaN,NaN,0.846153846153846,0.861111111111111,1,1,0.714285714285714,NaN,NaN,0.944444444444444,1,NaN,NaN,0.916666666666667,0.805555555555556,NaN,0.775510204081633,1
id7927,NaN,NaN,NaN,0.945945945945946,NaN,NaN,NaN,0.888888888888889,0.888888888888889,1,0.956521739130435,0.956521739130435,NaN,NaN,1,0.956521739130435,NaN,NaN,NaN,NaN,NaN
id7968,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,1,NaN,1,0.5,NaN,0.956521739130435,1,0.833333333333333,0.5,0.666666666666667,NaN,NaN
id7984,NaN,NaN,0.857142857142857,NaN,NaN,0.916666666666667,0.888888888888889,NaN,NaN,NaN,0.833333333333333,NaN,0.880952380952381,0.916666666666667,NaN,0.833333333333333,1,0.761904761904762,0.846153846153846,0.875,NaN
id7990,0.666666666666667,0.5,NaN,NaN,NaN,0.805555555555556,0.722222222222222,NaN,NaN,NaN,NaN,NaN,0.787234042553192,0.805555555555556,NaN,0.5,0.761904761904762,1,0.833333333333333,0.771428571428571,NaN
id7991,NaN,NaN,0.972972972972973,NaN,0.931034482758621,NaN,NaN,NaN,NaN,1,0.916666666666667,NaN,0.833333333333333,NaN,NaN,0.666666666666667,0.846153846153846,0.833333333333333,1,0.8,NaN
id7994,NaN,NaN,0.8,NaN,NaN,0.857142857142857,0.885714285714286,NaN,NaN,0.928571428571429,0.8,NaN,0.828571428571429,0.775510204081633,NaN,NaN,0.875,0.771428571428571,0.8,1,NaN
id8000,1,0.884615384615385,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1
