Row,id10398,id10403,id10421,id10877,id11962,id14077,id14262,id14354,id7853,id7854,id7855,id7872,id7873,id7878,id7893,id7896,id7917,id7927,id7933,id7949,id7968,id7979,id7984,id7990,id7992,id7994,id7998
id7885,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7887,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7893,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,2,NaN,2,NaN,NaN,2,NaN,NaN,2,NaN,2,2,NaN,NaN,NaN,NaN,NaN,2
id7896,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN
id7917,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1
id7927,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7933,1,1,1,1,1,NaN,2,NaN,1,NaN,1,NaN,NaN,2,NaN,2,1,1,1,NaN,NaN,1,1,1,NaN,1,NaN
id7943,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN
id7949,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,1
id7968,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN
id7979,NaN,1,3,NaN,3,2,3,5,NaN,NaN,2,NaN,4,3,1,3,3,1,NaN,NaN,NaN,5,NaN,3,2,NaN,3
id7984,2,NaN,NaN,2,NaN,NaN,2,NaN,2,NaN,2,NaN,NaN,NaN,NaN,2,2,NaN,2,NaN,NaN,2,2,2,NaN,2,NaN
id7990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN
id7992,NaN,NaN,NaN,NaN,1,1,1,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1
id7994,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7998,NaN,NaN,NaN,NaN,3,4,3,3,NaN,NaN,3,NaN,3,3,NaN,1,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,3,1,3
