Row,id10398,id10403,id10409,id10417,id10421,id10877,id11626,id11962,id12208,id14077,id14262,id14348,id14354,id16272,id16273,id16672,id16673,id16674,id7853,id7854,id7855,id7872,id7873,id7878,id7884,id7885,id7887,id7893,id7896,id7912,id7913,id7917,id7923,id7927,id7933,id7942,id7943,id7944,id7949,id7968,id7979,id7984,id7987,id7990,id7991,id7992,id7994,id7997,id7998,id8000
id10398,1,0.75,NaN,NaN,0.75,0.769230769230769,0.833333333333333,1,0.5,1,0.861111111111111,NaN,0.925925925925926,0.461538461538462,0.633333333333333,0.821428571428571,0.872340425531915,0.534883720930233,0.473684210526316,NaN,0.772727272727273,0.583333333333333,0.821428571428571,NaN,0.25,0.451612903225806,0.357142857142857,0.333333333333333,0.894736842105263,0.875,0.777777777777778,0.564102564102564,0.564102564102564,NaN,0.936170212765957,0.875,0.857142857142857,NaN,0.5,NaN,0.777777777777778,0.555555555555556,0.82051282051282,0.777777777777778,0.464285714285714,1,0.542857142857143,0.727272727272727,NaN,0.583333333333333
id10403,0.75,1,0.833333333333333,NaN,NaN,NaN,NaN,NaN,0.611111111111111,NaN,0.862068965517241,0.608695652173913,0.75,0.482758620689655,0.814814814814815,0.769230769230769,0.833333333333333,NaN,NaN,1,0.8,NaN,0.655172413793103,0.826086956521739,NaN,0.551724137931034,0.586206896551724,NaN,NaN,NaN,NaN,NaN,NaN,0.695652173913043,0.857142857142857,NaN,0.827586206896552,NaN,NaN,NaN,NaN,0.833333333333333,NaN,NaN,0.583333333333333,NaN,0.4,NaN,0.714285714285714,NaN
id10409,NaN,0.833333333333333,1,0.5625,0.647058823529412,NaN,NaN,0.882352941176471,0.857142857142857,NaN,1,0.533333333333333,0.5,NaN,NaN,NaN,1,NaN,NaN,0.769230769230769,1,NaN,0.5,0.8,NaN,NaN,0.833333333333333,NaN,0.615384615384615,0.941176470588235,NaN,0.666666666666667,NaN,NaN,1,NaN,NaN,0.705882352941177,0.666666666666667,0.5,0.4,0.692307692307692,0.666666666666667,0.666666666666667,0.846153846153846,NaN,0.6,NaN,0.833333333333333,0.588235294117647
id10417,NaN,NaN,0.5625,1,0.826086956521739,NaN,NaN,0.592592592592593,0.7,NaN,NaN,1,0.333333333333333,NaN,NaN,0.333333333333333,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.333333333333333,0.8,NaN,NaN,0.7,0.0555555555555556,0.529411764705882,0.6,0.8,NaN,NaN,NaN,NaN,0.333333333333333,0.407407407407407,NaN,NaN,0.333333333333333,NaN,0.333333333333333,0.666666666666667,NaN,NaN,NaN,NaN,0.6,1
id10421,0.75,NaN,0.647058823529412,0.826086956521739,1,NaN,NaN,0.666666666666667,NaN,NaN,NaN,0.8125,0.166666666666667,1,NaN,0.166666666666667,0.625,NaN,NaN,NaN,1,1,0.333333333333333,0.4375,NaN,NaN,NaN,NaN,0.210526315789474,0.692307692307692,NaN,1,NaN,NaN,0.75,NaN,NaN,0.388888888888889,NaN,NaN,0.166666666666667,NaN,0.166666666666667,0.5,NaN,NaN,NaN,1,NaN,0.884615384615385
id10877,0.769230769230769,NaN,NaN,NaN,NaN,1,0.743589743589744,1,NaN,1,0.722222222222222,NaN,NaN,0.333333333333333,NaN,NaN,0.743589743589744,0.384615384615385,0.394736842105263,NaN,0.75,NaN,NaN,NaN,NaN,0.333333333333333,NaN,0.333333333333333,0.815789473684211,NaN,0.694444444444444,0.435897435897436,0.5,NaN,0.794871794871795,0.722222222222222,NaN,NaN,NaN,NaN,0.861111111111111,0.472222222222222,0.743589743589744,0.583333333333333,NaN,1,0.428571428571429,NaN,NaN,NaN
id11626,0.833333333333333,NaN,NaN,NaN,NaN,0.743589743589744,1,0.875,NaN,1,0.795918367346939,NaN,0.769230769230769,0.333333333333333,0.666666666666667,NaN,0.846153846153846,0.571428571428571,0.605263157894737,NaN,0.857142857142857,0.333333333333333,1,0.923076923076923,0.333333333333333,0.333333333333333,NaN,0.333333333333333,0.710526315789474,1,0.816326530612245,0.58974358974359,0.538461538461538,NaN,0.794871794871795,0.743589743589744,1,NaN,0.666666666666667,NaN,0.854166666666667,0.583333333333333,0.826923076923077,0.72972972972973,NaN,0.9375,0.628571428571429,0.875,0.769230769230769,0.333333333333333
id11962,1,NaN,0.882352941176471,0.592592592592593,0.666666666666667,1,0.875,1,0.7,0.9,0.846153846153846,0.7,0.769230769230769,0.333333333333333,NaN,NaN,1,0.333333333333333,0,NaN,0.846153846153846,NaN,0.833333333333333,0.75,0.6,0.888888888888889,NaN,0.814814814814815,0.8125,0.8,0.694444444444444,0.333333333333333,NaN,1,1,NaN,0.540540540540541,0.581395348837209,NaN,1,0.833333333333333,NaN,0.9375,1,NaN,0.9375,NaN,0.923076923076923,0.869565217391304,0.5
id12208,0.5,0.611111111111111,0.857142857142857,0.7,NaN,NaN,NaN,0.7,1,NaN,0.875,NaN,0.571428571428571,0.896551724137931,0.666666666666667,0.517241379310345,0.857142857142857,NaN,NaN,0.75,0.8,NaN,0.448275862068966,NaN,0.9,0.96551724137931,0.888888888888889,1,NaN,NaN,0.7,NaN,NaN,NaN,0.857142857142857,NaN,0.368421052631579,0.3,NaN,NaN,NaN,0.857142857142857,NaN,NaN,0.972972972972973,NaN,0.8,NaN,0.823529411764706,NaN
id14077,1,NaN,NaN,NaN,NaN,1,1,0.9,NaN,1,1,0.928571428571429,0.769230769230769,0.333333333333333,0.857142857142857,NaN,1,0.333333333333333,0,0.666666666666667,1,0.333333333333333,1,0.666666666666667,0.333333333333333,0.580645161290323,NaN,0.653846153846154,0.882352941176471,0.884615384615385,0.78125,0.333333333333333,0.571428571428571,0.652173913043478,0.888888888888889,0.785714285714286,0.62962962962963,0.428571428571429,0.555555555555556,0.695652173913043,1,NaN,0.9375,0,NaN,0.9375,0.357142857142857,0.904761904761905,0.681818181818182,NaN
