Row,id10398,id10403,id10421,id10877,id11962,id14077,id14262,id14354,id7853,id7854,id7855,id7872,id7873,id7878,id7893,id7896,id7917,id7927,id7933,id7949,id7968,id7979,id7984,id7990,id7992,id7994,id7998
id10398,1,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,1,1,1,NaN,1,NaN
id10403,1,1,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,1,1,0.5,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1
id10421,0,1,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id10877,NaN,NaN,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11962,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14077,1,NaN,NaN,1,1,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0.333333333333333,1,0.333333333333333,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
id14262,1,1,NaN,1,NaN,1,1,1,0,1,1,NaN,0,NaN,NaN,0.75,1,NaN,1,NaN,NaN,1,0,1,NaN,0.2,0
id14348,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
id14354,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16272,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7853,NaN,NaN,NaN,NaN,1,0,0,1,NaN,NaN,0,NaN,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,1,NaN,1
id7854,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,1,NaN,NaN,0,1,NaN,NaN,1,1,NaN,0,0,0,1,1,NaN,NaN,NaN
id7855,1,NaN,NaN,1,NaN,NaN,1,NaN,0,NaN,1,NaN,NaN,NaN,NaN,1,0,NaN,1,NaN,NaN,1,1,1,NaN,1,NaN
id7872,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,1
id7873,NaN,NaN,NaN,NaN,1,1,1,0.5,NaN,1,1,NaN,1,1,NaN,NaN,1,NaN,NaN,1,1,1,1,1,1,NaN,1
id7878,1,1,0.5,0,1,1,1,NaN,0,1,0,0,NaN,1,0,1,1,0,1,1,0,0,1,1,NaN,1,1
id7885,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7887,0,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7893,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0.5,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1
id7896,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
id7917,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1
id7927,NaN,1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7933,1,1,0,1,1,NaN,1,NaN,0,NaN,1,NaN,NaN,1,NaN,1,0,0,1,NaN,NaN,1,0,0,NaN,0,NaN
id7943,NaN,NaN,0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN
id7949,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,0
id7968,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN
id7979,NaN,1,0.666666666666667,NaN,0.666666666666667,1,1,0.8,NaN,NaN,1,NaN,1,1,1,0.333333333333333,0.666666666666667,0,NaN,NaN,NaN,0.8,NaN,1,1,NaN,1
id7984,0.5,NaN,NaN,0,NaN,NaN,0.5,NaN,1,NaN,1,NaN,NaN,NaN,NaN,0.5,1,NaN,0.5,NaN,NaN,0.5,1,1,NaN,1,NaN
id7990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,1,0,NaN,0,1,NaN,NaN,NaN
id7992,NaN,NaN,NaN,NaN,1,1,1,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,0
id7994,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
