Row,id10968,id10969,id10970,id11612,id14130,id1498,id1502,id1516,id1528,id1532,id1535,id1536,id1546,id1548,id1582,id1590,id1591,id1597,id1606,id1610,id16304
id10968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,1,0.916666666666667,NaN
id10969,1,1,1,1,1,1,0.5,0.857142857142857,0.666666666666667,1,0.875,1,1,1,0.974358974358974,0.972972972972973,0.972222222222222,1,0.947368421052632,0.95,NaN
id10970,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,NaN
id11612,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1
id14130,1,1,1,0.666666666666667,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1
id14134,1,1,NaN,NaN,1,1,1,1,NaN,NaN,NaN,1,NaN,1,1,1,NaN,NaN,1,1,NaN
id1498,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN
id1502,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1
id1516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN
id1528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN
id1532,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,0
id1535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,1,NaN
id1536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id1546,1,1,1,NaN,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,NaN
id1548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id1582,1,1,1,1,1,1,1,0.916666666666667,1,1,0.833333333333333,1,1,1,0.916666666666667,0.941176470588235,0.857142857142857,1,0.928571428571429,0.916666666666667,NaN
id1590,1,1,1,1,1,1,1,0.9375,0.5,1,0.9,1,1,1,0.923076923076923,0.975609756097561,0.933333333333333,1,0.947368421052632,0.966666666666667,1
id1591,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN
id1597,1,1,1,1,1,1,1,0.888888888888889,1,1,0.75,1,1,1,0.888888888888889,0.923076923076923,0.8,1,0.9,0.846153846153846,1
id1606,0.954545454545455,1,1,1,1,0.933333333333333,NaN,1,NaN,1,1,0.956521739130435,0.916666666666667,1,1,1,1,1,1,1,1
id1610,1,1,1,1,1,1,1,0.909090909090909,1,1,0.833333333333333,1,1,1,0.875,0.961538461538462,0.9,1,0.941176470588235,0.954545454545455,1
id16304,1,NaN,1,NaN,NaN,1,1,NaN,1,NaN,1,1,1,1,NaN,NaN,1,1,NaN,1,1
id16306,1,1,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,1,1,NaN,1,1,1,1,1,1
id16307,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN
id16308,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,NaN,1,NaN,1,1,NaN,1
id17701,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,1,NaN
