Row,id10968,id10969,id10970,id11612,id14130,id1495,id1498,id1500,id1502,id1516,id1528,id1532,id1535,id1536,id1546,id1548,id1582,id1590,id1591,id1597,id1606,id1610,id16304
id10968,28,8,18,2,6,8,18,2,3,12,2,8,9,28,16,10,11,12,10,16,7,12,NaN
id10969,17,3,7,1,3,26,16,1,2,7,3,3,8,18,15,3,39,37,36,8,38,40,NaN
id10970,21,4,5,1,4,5,13,NaN,NaN,16,2,6,10,22,11,5,9,4,5,8,9,6,NaN
id11612,5,4,3,1,2,4,4,1,1,8,NaN,1,6,5,3,5,8,3,4,7,6,3,1
id11614,2,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN
id11921,5,1,2,1,1,3,2,2,1,4,2,2,1,5,1,1,NaN,2,2,3,1,NaN,1
id14130,10,7,8,3,12,8,9,1,4,2,NaN,4,2,9,8,12,3,10,3,2,5,4,3
id14134,1,4,NaN,NaN,3,2,2,NaN,2,1,NaN,NaN,NaN,1,NaN,3,2,3,NaN,NaN,2,2,NaN
id1495,4,4,1,NaN,2,1,5,NaN,2,1,NaN,NaN,NaN,4,3,2,2,3,NaN,NaN,3,2,NaN
id1498,18,9,4,NaN,5,6,24,5,4,9,2,7,11,17,10,4,12,22,9,8,19,17,NaN
id1500,1,4,NaN,1,2,1,3,NaN,2,1,1,NaN,NaN,1,2,3,2,4,NaN,4,5,4,1
id1502,13,8,6,2,6,8,12,3,3,8,NaN,4,4,12,9,7,8,13,12,7,9,18,1
id1516,21,15,15,2,4,6,14,1,2,8,1,15,4,29,15,7,3,19,7,7,10,20,NaN
id1525,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
id1527,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,1,NaN,NaN,2,1,NaN,1,NaN,NaN,2,NaN,1,1
id1528,4,1,3,2,3,4,4,3,1,1,1,3,3,3,3,3,1,12,3,7,7,8,NaN
id1532,13,5,3,1,4,2,12,1,NaN,5,3,7,3,13,12,4,6,12,6,8,8,9,1
id1535,17,19,17,2,3,5,24,3,1,5,3,15,8,22,11,13,6,16,4,4,13,8,NaN
id1536,8,9,7,1,5,6,19,3,2,7,3,5,8,9,8,4,13,22,8,11,15,18,1
id1541,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,2,1,2,2,2,1,NaN
id1546,5,3,1,NaN,1,1,6,1,NaN,1,NaN,2,NaN,5,7,4,2,11,4,7,3,11,NaN
id1548,7,12,15,1,8,29,16,1,2,5,1,8,7,7,6,16,49,66,38,13,49,57,2
id1552,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,NaN,1,2,NaN,NaN,1,3,1,2,4,4,NaN
id1582,16,21,13,3,4,7,4,1,3,12,1,25,6,23,1,5,12,17,7,4,14,12,NaN
id1588,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN
id1590,40,28,23,4,11,17,25,2,5,16,2,30,10,42,20,23,13,41,15,9,19,30,3
id1591,10,7,7,1,2,2,13,2,1,3,NaN,10,3,13,9,5,3,7,2,4,5,5,NaN
id1597,21,11,12,4,3,2,11,1,2,9,3,18,4,27,10,5,9,13,5,14,10,13,2
id1604,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
id16048,3,1,NaN,1,1,1,2,1,1,1,1,NaN,1,3,1,1,NaN,1,1,1,1,NaN,NaN
id1606,22,7,10,6,4,5,15,1,NaN,11,NaN,11,8,23,12,6,6,11,7,3,10,10,1
id1610,29,20,16,5,6,8,19,4,5,11,4,24,6,35,18,7,8,26,10,12,17,22,1
id16304,12,NaN,1,NaN,NaN,3,14,NaN,1,NaN,1,NaN,1,12,14,1,NaN,NaN,3,1,NaN,4,4
id16306,6,2,NaN,1,2,1,7,NaN,NaN,NaN,1,NaN,NaN,6,9,2,NaN,3,1,1,1,1,2
id16307,3,3,NaN,NaN,4,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,3,6,1,NaN,4,NaN,NaN,NaN,NaN,NaN
id16308,10,2,1,1,2,NaN,11,NaN,NaN,1,NaN,1,1,10,11,2,NaN,2,NaN,1,2,NaN,1
id16309,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16310,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id17701,4,NaN,NaN,NaN,NaN,1,4,NaN,NaN,NaN,NaN,NaN,NaN,4,4,1,NaN,1,1,NaN,NaN,1,NaN
