Row,id11611,id14091,id14097,id14114,id14117,id14125,id16290,id16292,id16293,id16298,id16302
id11232,0.375,0.333333333333333,0.5,0.5,0.5,0.5,1,1,1,1,1
id11609,0.0909090909090909,0.25,0.666666666666667,0.2,0,0.333333333333333,0,1,1,0,0
id11611,0,0,0,0,0,0,0,0,0,0,0
id11616,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0,NaN,0,0,0
id13078,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
id14091,0,0,0,0,0,0,0,0,0,0,0
id14097,0,0,0.0769230769230769,0,0,0.0384615384615385,0,0,0.0384615384615385,0,0
id14099,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
id14111,0,0,0,0.5,0.5,0.5,0,1,0,0,0
id14112,0,0,0.25,0.25,0,0.4,0,0.5,0.5,0,0.5
id14114,0,0,0,0.0384615384615385,0,0,0,0,0,0,0
id14117,0,0,0,0,0,0,0,0,0,0,0
id14123,0.333333333333333,0.333333333333333,0.5,0.666666666666667,0,0.666666666666667,0,0,0,0,1
id14125,0,0,0,0,0,0.0384615384615385,0,0,0,0,0
id16221,0.5,0.5,0.5,0.5,0.5,0.5,NaN,NaN,NaN,NaN,NaN
id16278,0,0,NaN,0,1,1,0,0,1,0,1
id16287,0,0,NaN,0,0,1,0,1,0,0,0
id16290,0,0,0,0,0,0,0,0,0,0,0
id16292,0,0,0.04,0,0,0,0,0.04,0.04,0,0
id16293,0.0384615384615385,0.037037037037037,0.0384615384615385,0.0740740740740741,0.111111111111111,0.0740740740740741,0.0384615384615385,0.0384615384615385,0.111111111111111,0,0.0740740740740741
id16295,0,NaN,1,NaN,0,0,0,1,1,0,0
id16298,0,0,0,0,0,0,0,0,0,0,0
id16302,0,0,0,0,0,0,0,0,0,0,0
