Row,id10968,id10969,id10970,id11612,id14130,id1495,id1498,id1500,id1502,id1516,id1528,id1532,id1535,id1536,id1546,id1548,id1582,id1590,id1591,id1597,id1606,id1610,id16304
id10968,68,45,30,62,66,115,67,102,66,108,56,31,111,68,31,65,79,116,107,103,106,111,29
id10969,45,32,24,41,47,106,50,86,49,102,42,24,101,49,23,48,78,105,99,91,101,101,25
id10970,48,31,22,46,49,64,49,58,49,61,45,19,61,51,22,49,43,66,63,55,62,52,20
id11612,18,16,11,19,18,38,19,36,20,35,17,10,38,20,10,18,28,41,36,32,37,39,10
id11614,2,NaN,NaN,3,2,4,3,4,3,3,3,NaN,3,3,NaN,3,3,3,3,1,4,3,NaN
id11921,9,5,3,9,9,13,8,11,9,11,9,3,12,9,3,9,10,13,11,10,11,12,3
id14130,78,43,26,68,81,81,80,73,79,80,70,29,78,80,28,79,52,79,78,76,80,75,29
id14134,28,1,NaN,28,28,28,28,27,28,28,28,NaN,28,28,NaN,28,28,28,28,27,28,28,NaN
id1495,31,5,4,29,31,31,31,31,31,31,29,4,31,31,4,31,27,31,30,31,30,31,4
id1498,59,23,19,58,60,88,62,80,62,82,56,18,86,62,18,61,91,114,111,101,107,107,18
id1500,26,1,2,26,27,29,27,29,27,28,27,2,29,27,2,25,31,33,32,31,32,33,2
id1502,57,25,18,55,57,79,58,71,59,78,53,19,80,59,18,56,66,91,87,81,87,88,20
id1516,49,36,24,39,49,86,49,73,48,85,40,25,84,49,25,47,71,100,93,89,97,96,24
id1525,NaN,NaN,NaN,NaN,NaN,2,NaN,2,NaN,1,NaN,NaN,2,NaN,NaN,NaN,2,2,1,1,1,2,NaN
id1527,NaN,NaN,1,1,2,4,2,4,2,2,2,1,3,2,1,NaN,2,4,3,3,3,4,1
id1528,14,9,7,14,14,28,14,22,14,27,14,7,25,14,5,14,29,40,36,33,37,38,6
id1532,42,32,24,38,39,64,44,55,43,60,36,25,59,44,23,42,44,72,70,62,70,67,25
id1535,38,29,18,34,37,62,41,53,41,62,33,20,62,41,21,38,51,74,65,68,73,72,19
id1536,65,32,21,57,64,92,64,86,65,90,58,23,93,65,24,64,93,119,111,108,116,111,23
id1541,1,NaN,NaN,1,1,3,1,3,1,3,1,NaN,2,1,NaN,1,4,5,3,3,5,5,NaN
id1546,11,9,11,9,11,32,11,26,11,32,9,11,32,11,11,11,35,47,44,43,45,48,10
id1548,67,30,17,59,67,137,68,120,68,132,61,20,133,68,20,67,142,167,162,143,160,162,20
id1552,NaN,NaN,NaN,1,1,4,1,4,1,2,1,NaN,2,1,NaN,NaN,6,9,5,7,8,9,NaN
id1582,55,16,NaN,51,56,85,57,76,56,85,54,NaN,80,56,NaN,56,120,125,116,120,121,118,NaN
id1588,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,3,2,2,3,3,1
id1590,126,80,52,118,123,171,126,160,128,169,112,52,168,128,48,127,156,217,206,207,210,207,51
id1591,32,21,18,30,34,49,34,45,34,46,29,18,46,34,17,33,42,60,60,58,59,59,17
id1597,51,35,25,49,53,90,51,82,53,88,46,26,82,53,23,50,85,117,104,106,110,112,26
id1604,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,NaN
id16048,4,3,2,4,4,4,4,4,4,4,4,2,4,4,2,4,2,4,4,3,4,4,2
id1606,54,47,31,47,58,79,57,71,58,79,50,33,81,58,32,57,62,100,96,91,98,97,34
id1610,95,49,32,85,96,138,97,130,94,139,83,34,134,96,33,96,135,174,162,166,166,170,34
id16304,31,32,31,26,34,33,33,28,34,34,24,31,34,34,32,33,NaN,34,32,31,33,33,34
id16306,21,20,20,19,19,21,21,16,21,20,18,21,21,21,21,19,NaN,21,20,19,21,20,20
id16307,12,11,12,12,12,12,12,10,12,12,9,12,11,12,11,12,NaN,12,11,10,11,12,11
id16308,21,21,20,18,22,22,20,18,22,21,17,21,22,22,21,22,NaN,22,22,20,22,22,21
id16309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1
id16310,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,NaN,2,2,2,2,2,1
id17701,8,8,6,6,7,8,8,8,8,8,6,8,8,8,8,8,NaN,8,8,8,8,8,8
