Row,id11614,id11921,id1495,id1500,id1525,id1527,id1541,id1552,id1588,id1604,id16048,id16305,id16309,id16310,id17671,id17703
id11614,1,NaN,1,0,NaN,1,1,0.846153846153846,NaN,NaN,1,NaN,1,NaN,1,NaN
id11921,NaN,1,0.777777777777778,0.769230769230769,0.692307692307692,0.733333333333333,1,0.666666666666667,1,0.833333333333333,0.4,0.4,NaN,NaN,NaN,NaN
id1495,1,0.777777777777778,1,0.769230769230769,1,1,1,0.785714285714286,1,1,0.761904761904762,NaN,1,0.75,0.6,NaN
id1500,0,0.769230769230769,0.769230769230769,1,0.666666666666667,0.8,1,1,1,0.857142857142857,1,NaN,NaN,NaN,NaN,0.5
id1525,NaN,0.692307692307692,1,0.666666666666667,1,0.9,1,1,0.948717948717949,1,1,NaN,NaN,1,NaN,NaN
id1527,1,0.733333333333333,1,0.8,0.9,1,0.8,0.8,0.866666666666667,0.955555555555556,0.75,0.6,NaN,NaN,NaN,0
id1541,1,1,1,1,1,0.8,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN
id1552,0.846153846153846,0.666666666666667,0.785714285714286,1,1,0.8,1,1,1,1,1,0.91304347826087,0.833333333333333,0.75,0.833333333333333,NaN
id1588,NaN,1,1,1,0.948717948717949,0.866666666666667,1,1,1,1,0.75,NaN,NaN,NaN,NaN,NaN
id1604,NaN,0.833333333333333,1,0.857142857142857,1,0.955555555555556,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN
id16048,1,0.4,0.761904761904762,1,1,0.75,1,1,0.75,1,1,NaN,NaN,0.6,NaN,0.75
id16305,NaN,0.4,NaN,NaN,NaN,0.6,NaN,0.91304347826087,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id16309,1,NaN,1,NaN,NaN,NaN,NaN,0.833333333333333,NaN,NaN,NaN,NaN,1,0.75,0.846153846153846,NaN
id16310,NaN,NaN,0.75,NaN,1,NaN,NaN,0.75,NaN,NaN,0.6,NaN,0.75,1,1,NaN
id17671,1,NaN,0.6,NaN,NaN,NaN,NaN,0.833333333333333,NaN,NaN,NaN,NaN,0.846153846153846,1,1,NaN
id17703,NaN,NaN,NaN,0.5,NaN,0,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,1
