Row,id11611,id14091,id14097,id14114,id14117,id14125,id16292,id16293
id11232,1,1,1,1,1,1,NaN,1
id11609,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id11611,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id11616,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id13078,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id14091,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id14097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14099,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id14111,NaN,0,NaN,1,NaN,NaN,NaN,NaN
id14112,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id14114,NaN,0,NaN,1,NaN,NaN,NaN,NaN
id14117,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id14123,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id14125,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id16221,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id16278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
