Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11232,id11609,id11610,id11611,id11616,id11920,id13078,id14091,id14092,id14094,id14095,id14096,id14097,id14098,id14099,id14100,id14101,id14103,id14104,id14105,id14106,id14107,id14108,id14109,id14110,id14111,id14112,id14113,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14123,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16221,id16278,id16279,id16280,id16281,id16282,id16283,id16284,id16285,id16286,id16287,id16288,id16289,id16290,id16291,id16292,id16293,id16294,id16295,id16296,id16297,id16298,id16299,id16300,id16301,id16302,id16303,id16317,id17428,id17429,id9547
id10957,37,11,12,18,9,11,12,9,11,16,10,20,10,7,2,7,6,6,17,4,9,3,7,7,7,16,5,9,16,6,6,9,3,14,7,4,9,4,6,9,18,11,6,6,3,6,3,10,3,5,2,1,1,3,1,14,2,3,3,2,9,3,1,NaN,3,NaN,1,3,1,4,9,1,3,1,3,1,3,4,7,5,14
id10959,11,14,11,10,11,11,11,9,9,11,11,10,8,7,3,8,7,7,7,5,8,3,8,7,7,6,6,8,7,7,7,7,3,5,8,3,8,5,7,8,8,8,5,7,4,7,2,8,3,5,2,1,1,3,1,3,2,3,3,2,NaN,3,1,NaN,3,NaN,1,3,1,2,3,1,3,1,3,1,3,3,8,5,14
id10960,12,11,118,11,10,9,10,7,9,11,8,95,89,5,93,110,109,6,14,4,8,2,98,110,7,6,8,7,105,109,6,7,3,5,7,2,8,9,108,7,8,7,5,105,3,6,2,106,3,5,84,1,1,3,76,5,2,3,3,101,86,3,1,NaN,3,NaN,1,3,1,17,4,87,103,1,3,1,105,3,7,5,13
id10965,18,10,11,36,10,9,10,9,10,15,9,18,8,7,9,5,14,6,7,3,7,1,14,15,5,5,13,5,14,16,4,7,3,3,5,2,10,2,15,16,5,5,5,14,3,8,1,7,3,6,9,NaN,NaN,2,10,4,2,4,2,10,9,2,NaN,2,2,NaN,NaN,6,NaN,2,2,1,2,NaN,2,2,11,2,5,4,15
id10971,9,11,10,10,16,10,9,8,9,9,9,9,6,6,2,5,7,4,4,3,5,2,5,5,5,4,3,5,4,5,4,5,2,3,5,1,5,3,5,5,5,5,3,4,2,4,NaN,5,3,3,1,NaN,NaN,1,NaN,1,1,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,1,1,1,1,NaN,1,NaN,1,1,5,3,12
id10972,11,11,9,9,10,150,9,9,9,9,10,11,6,8,3,5,6,4,6,4,5,3,5,4,4,5,3,5,4,5,5,4,3,6,5,2,5,4,5,6,7,5,4,4,3,4,NaN,5,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,12
id10973,12,11,10,10,9,9,19,9,8,13,11,12,8,6,1,7,5,6,6,5,6,1,6,5,5,5,6,6,6,5,8,6,2,3,7,2,6,3,5,6,6,6,3,8,3,6,2,6,3,4,1,1,1,3,1,3,2,3,3,2,NaN,3,1,NaN,3,NaN,1,3,1,2,3,1,3,1,3,1,3,3,6,4,14
id11232,9,9,7,9,8,9,9,15,10,9,10,11,5,9,3,4,3,3,4,5,4,3,4,3,3,2,2,4,3,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,6,3,1,4,NaN,3,2,1,1,1,2,1,NaN,2,1,1,NaN,1,1,NaN,1,NaN,1,2,1,NaN,1,NaN,1,1,1,1,1,1,4,2,13
id11609,11,9,9,10,9,9,8,10,15,9,9,11,6,7,2,4,3,3,3,3,4,2,4,4,4,3,2,4,3,3,3,6,2,3,4,4,6,4,3,6,4,4,3,3,3,3,1,4,1,3,2,1,1,1,1,1,NaN,1,1,1,NaN,1,1,NaN,1,NaN,1,1,1,NaN,1,NaN,1,1,1,1,1,1,4,3,12
id11610,16,11,11,15,9,9,13,9,9,62,10,50,9,7,13,6,5,6,6,3,6,1,8,18,6,5,19,6,11,18,6,5,14,3,8,4,6,3,18,6,6,6,3,19,2,6,2,6,3,4,4,2,1,3,1,3,3,3,4,3,NaN,3,1,NaN,3,1,1,3,1,2,4,1,3,1,3,1,3,3,6,8,56
id11611,10,11,8,9,9,10,11,10,9,10,15,13,7,9,3,6,5,5,5,5,6,3,6,5,5,4,4,6,5,5,5,5,3,5,6,3,6,5,5,6,6,6,5,5,4,5,1,6,1,3,2,1,1,1,1,1,NaN,1,1,1,NaN,1,1,NaN,1,NaN,1,1,1,NaN,1,NaN,1,1,1,1,1,1,6,3,13
id11616,20,10,95,18,9,11,12,11,11,50,13,169,73,10,108,96,104,5,21,5,6,3,94,116,5,14,30,6,113,117,5,5,15,12,6,3,7,11,116,18,16,9,5,113,4,5,1,91,1,4,101,1,2,1,82,10,NaN,2,1,97,99,2,1,NaN,1,NaN,1,1,1,16,8,79,87,1,1,1,100,1,6,7,55
id11920,10,8,89,8,6,6,8,5,6,9,7,73,93,4,73,88,87,5,5,3,6,1,84,87,6,5,5,6,84,87,6,6,1,3,6,2,6,9,87,6,6,6,3,84,2,5,2,88,3,5,66,1,1,3,62,3,3,3,3,80,67,3,1,1,3,NaN,1,4,1,5,3,69,85,1,4,1,84,3,6,5,10
id13078,7,7,5,7,6,8,6,9,7,7,9,10,4,10,3,4,4,3,3,4,4,3,4,3,3,2,2,4,3,4,3,3,3,4,4,2,4,3,4,4,4,4,4,3,3,3,NaN,4,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1,10
id14091,2,3,93,9,2,3,1,3,2,13,3,108,73,3,120,99,107,2,9,3,3,3,95,118,2,1,26,3,107,120,2,2,15,3,3,2,3,8,119,14,3,3,3,115,3,2,NaN,94,NaN,1,92,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,101,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN,86,92,NaN,NaN,NaN,104,NaN,3,4,16
id14092,7,8,110,5,5,5,7,4,4,6,6,96,88,4,99,118,115,8,14,6,8,3,105,114,8,6,13,8,111,115,8,8,5,5,10,4,8,10,114,11,8,8,5,112,4,7,2,109,3,5,89,2,1,3,81,3,3,3,4,107,88,3,1,NaN,3,1,1,3,2,19,4,89,105,1,3,1,110,3,8,5,8
id14094,6,7,109,14,7,6,5,3,3,5,5,104,87,4,107,115,127,6,13,4,7,3,112,122,6,5,20,7,119,124,7,6,3,4,7,2,7,9,123,20,7,7,4,118,3,6,1,108,4,4,97,NaN,NaN,2,88,2,2,2,2,114,97,2,NaN,NaN,2,NaN,NaN,2,NaN,19,2,89,104,NaN,2,NaN,118,2,7,5,7
id14095,6,7,6,6,4,4,6,3,3,6,5,5,5,3,2,8,6,9,7,5,7,2,8,6,7,6,7,7,6,6,6,6,3,4,8,3,7,4,7,7,7,7,5,6,4,8,2,8,3,5,1,2,1,3,1,3,3,3,4,3,NaN,3,1,NaN,3,1,1,3,2,2,4,1,3,1,3,1,3,3,7,5,7
id14096,17,7,14,7,4,6,6,4,3,6,5,21,5,3,9,14,13,7,27,4,7,2,7,13,6,16,6,7,21,15,6,6,2,12,7,2,7,4,13,7,18,10,4,13,4,7,2,14,3,6,7,1,1,3,10,12,2,5,3,9,14,3,1,NaN,3,NaN,1,5,1,9,9,8,10,1,3,1,10,3,7,4,9
id14097,4,5,4,3,3,4,5,5,3,3,5,5,3,4,3,6,4,5,4,8,5,3,5,4,4,3,3,5,4,4,6,5,4,5,6,3,5,4,5,5,5,5,6,6,6,5,1,6,NaN,3,2,1,1,1,1,1,NaN,1,1,1,NaN,1,1,NaN,1,NaN,1,1,1,NaN,1,NaN,1,1,1,1,1,1,5,3,5
