Row,id10968,id10969,id10970,id11612,id11614,id11921,id14130,id14134,id1495,id1498,id1500,id1502,id1516,id1525,id1527,id1528,id1532,id1535,id1536,id1541,id1546,id1548,id1552,id1582,id1588,id1590,id1591,id1597,id1604,id16048,id1606,id1610,id16304,id16305,id16306,id16307,id16308,id16309,id16310,id17671,id17701,id17703
id10968,1007,699,437,933,700,804,970,912,994,990,886,991,938,931,910,843,439,973,1007,541,436,974,937,546,911,991,929,903,451,856,923,849,433,421,417,451,413,411,438,413,364,264
id10969,699,729,426,679,699,577,702,650,718,715,636,714,663,671,667,593,427,702,728,276,424,709,673,285,645,728,658,668,219,724,666,593,423,411,405,441,402,403,429,403,355,253
id10970,437,426,448,418,441,343,432,422,439,438,398,444,411,414,413,370,435,444,448,NaN,432,437,422,NaN,372,447,433,399,NaN,443,427,432,428,417,414,447,409,408,434,409,359,262
id11612,933,679,418,988,678,792,952,891,975,972,864,976,907,916,892,839,417,947,988,544,413,955,922,549,890,969,911,884,444,839,912,822,412,400,396,429,391,392,417,391,344,249
id11614,700,699,441,678,730,581,702,656,722,718,638,717,665,675,673,591,443,705,729,262,439,709,689,271,648,729,660,675,205,726,665,590,437,425,421,456,417,418,444,417,367,267
id11921,804,577,343,792,581,1555,828,771,1532,845,1365,846,1417,1481,1466,718,347,1442,858,490,340,826,804,1177,1488,1533,1444,1370,1011,720,1421,1370,343,334,327,357,350,326,346,318,285,225
id14130,970,702,432,952,702,828,1029,926,1016,1012,906,1012,948,957,929,863,435,988,1028,566,433,996,960,572,933,1012,952,925,469,866,942,872,430,416,412,447,409,409,434,408,358,266
id14134,912,650,422,891,656,771,926,959,947,943,836,946,878,888,868,814,420,924,959,510,420,923,895,516,863,942,881,859,418,799,877,815,416,402,403,433,398,394,421,394,348,255
id1495,994,718,439,975,722,1532,1016,947,1809,1039,1561,1038,1660,1710,1697,883,440,1687,1055,586,436,1018,985,1332,1683,1781,1697,1603,1150,891,1664,1600,435,423,417,454,415,414,442,415,365,262
id1498,990,715,438,972,718,845,1012,943,1039,1051,920,1035,966,977,956,881,439,1009,1050,582,435,1013,981,587,952,1032,969,944,475,885,963,879,434,428,416,453,414,414,441,415,364,269
id1500,886,636,398,864,638,1365,906,836,1561,920,1594,921,1448,1518,1501,783,404,1527,936,514,396,906,885,1161,1496,1567,1482,1424,1038,793,1458,1409,394,388,380,412,373,382,403,374,341,235
id1502,991,714,444,976,717,846,1012,946,1038,1035,921,1051,966,976,957,881,446,1008,1051,576,441,1013,979,581,953,1032,972,945,471,886,965,880,441,428,423,459,420,419,446,420,371,268
id1516,938,663,411,907,665,1417,948,878,1660,966,1448,966,1690,1597,1577,813,411,1581,983,544,408,951,913,1243,1569,1663,1567,1522,1083,829,1554,1500,408,395,390,425,386,386,412,415,364,235
id1525,931,671,414,916,675,1481,957,888,1710,977,1518,976,1597,1742,1642,823,414,1623,991,548,410,957,938,1291,1633,1716,1628,1539,1117,836,1601,1535,410,405,394,428,389,396,419,393,351,249
id1527,910,667,413,892,673,1466,929,868,1697,956,1501,957,1577,1642,1731,805,414,1611,967,530,411,934,908,1279,1622,1704,1606,1530,1134,834,1589,1515,409,413,394,428,389,396,417,389,343,254
id1528,843,593,370,839,591,718,863,814,883,881,783,881,813,823,805,896,367,858,895,507,364,860,828,510,805,880,851,798,410,746,851,736,362,350,351,375,339,341,365,337,302,220
id1532,439,427,435,417,443,347,435,420,440,439,404,446,411,414,414,367,449,445,449,NaN,432,438,424,NaN,374,448,434,405,NaN,444,430,433,433,417,414,448,409,408,435,410,368,257
id1535,973,702,444,947,705,1442,988,924,1687,1009,1527,1008,1581,1623,1611,858,445,1722,1024,553,441,988,953,1242,1600,1695,1597,1518,1103,872,1579,1522,440,428,422,459,420,421,446,420,369,270
id1536,1007,728,448,988,729,858,1028,959,1055,1050,936,1051,983,991,967,895,449,1024,1068,589,445,1030,995,594,968,1049,986,961,482,902,979,895,444,432,426,463,424,423,450,424,373,270
id1541,541,276,NaN,544,262,490,566,510,586,582,514,576,544,548,530,507,NaN,553,589,590,NaN,564,547,580,570,572,526,533,470,432,523,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1546,436,424,432,413,439,340,433,420,436,435,396,441,408,410,411,364,432,441,445,NaN,445,434,420,NaN,370,444,431,397,NaN,440,426,429,425,413,414,444,406,404,431,406,357,263
id1548,974,709,437,955,709,826,996,923,1018,1013,906,1013,951,957,934,860,438,988,1030,564,434,1031,961,570,934,1012,956,932,462,876,946,867,433,420,415,451,413,412,438,412,364,261
id1552,937,673,422,922,689,804,960,895,985,981,885,979,913,938,908,828,424,953,995,547,420,961,996,550,905,977,917,904,450,835,909,838,421,412,403,437,398,402,426,399,352,256
id1582,546,285,NaN,549,271,1177,572,516,1332,587,1161,581,1243,1291,1279,510,NaN,1242,594,580,NaN,570,550,1849,1778,1818,1729,1676,1596,435,1719,1632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1588,911,645,372,890,648,1488,933,863,1683,952,1496,953,1569,1633,1622,805,374,1600,968,570,370,934,905,1778,2257,2225,2110,2033,1626,811,2105,2028,369,365,354,386,379,356,377,349,301,245
id1590,991,728,447,969,729,1533,1012,942,1781,1032,1567,1032,1663,1716,1704,880,448,1695,1049,572,444,1012,977,1818,2225,2377,2225,2162,1668,885,2222,2139,443,431,425,462,423,422,449,423,372,269
id1591,929,658,433,911,660,1444,952,881,1697,969,1482,972,1567,1628,1606,851,434,1597,986,526,431,956,917,1729,2110,2225,2256,2036,1561,831,2138,2048,431,416,412,447,409,408,434,409,366,263
id1597,903,668,399,884,675,1370,925,859,1603,944,1424,945,1522,1539,1530,798,405,1518,961,533,397,932,904,1676,2033,2162,2036,2178,1516,811,2045,1960,396,384,380,413,374,375,401,403,365,226
id1604,451,219,NaN,444,205,1011,469,418,1150,475,1038,471,1083,1117,1134,410,NaN,1103,482,470,NaN,462,450,1596,1626,1668,1561,1516,1689,357,1559,1512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16048,856,724,443,839,726,720,866,799,891,885,793,886,829,836,834,746,444,872,902,432,440,876,835,435,811,885,831,811,357,903,830,732,439,428,422,458,419,419,445,420,369,269
id1606,923,666,427,912,665,1421,942,877,1664,963,1458,965,1554,1601,1589,851,430,1579,979,523,426,946,909,1719,2105,2222,2138,2045,1559,830,2251,2025,424,414,410,442,404,404,430,403,355,257
id1610,849,593,432,822,590,1370,872,815,1600,879,1409,880,1500,1535,1515,736,433,1522,895,436,429,867,838,1632,2028,2139,2048,1960,1512,732,2025,2170,429,417,410,447,409,408,434,408,361,256
id16304,433,423,428,412,437,343,430,416,435,434,394,441,408,410,409,362,433,440,444,NaN,425,433,421,NaN,369,443,431,396,NaN,439,424,429,444,414,407,443,405,404,431,404,358,257
id16305,421,411,417,400,425,334,416,402,423,428,388,428,395,405,413,350,417,428,432,NaN,413,420,412,NaN,365,431,416,384,NaN,428,414,417,414,432,397,432,392,404,420,393,345,262
id16306,417,405,414,396,421,327,412,403,417,416,380,423,390,394,394,351,414,422,426,NaN,414,415,403,NaN,354,425,412,380,NaN,422,410,410,407,397,426,425,386,386,413,390,343,246
id16307,451,441,447,429,456,357,447,433,454,453,412,459,425,428,428,375,448,459,463,NaN,444,451,437,NaN,386,462,447,413,NaN,458,442,447,443,432,425,463,423,422,449,423,372,270
id16308,413,402,409,391,417,350,409,398,415,414,373,420,386,389,389,339,409,420,424,NaN,406,413,398,NaN,379,423,409,374,NaN,419,404,409,405,392,386,423,424,383,410,384,333,265
id16309,411,403,408,392,418,326,409,394,414,414,382,419,386,396,396,341,408,421,423,NaN,404,412,402,NaN,356,422,408,375,NaN,419,404,408,404,404,386,422,383,423,411,383,339,252
id16310,438,429,434,417,444,346,434,421,442,441,403,446,412,419,417,365,435,446,450,NaN,431,438,426,NaN,377,449,434,401,NaN,445,430,434,431,420,413,449,410,411,450,413,360,261
id17671,413,403,409,391,417,318,408,394,415,415,374,420,415,393,389,337,410,420,424,NaN,406,412,399,NaN,349,423,409,403,NaN,420,403,408,404,393,390,423,384,383,413,424,362,238
id17701,364,355,359,344,367,285,358,348,365,364,341,371,364,351,343,302,368,369,373,NaN,357,364,352,NaN,301,372,366,365,NaN,369,355,361,358,345,343,372,333,339,360,362,373,190
id17703,264,253,262,249,267,225,266,255,262,269,235,268,235,249,254,220,257,270,270,NaN,263,261,256,NaN,245,269,263,226,NaN,269,257,256,257,262,246,270,265,252,261,238,190,270
