Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11920,id14092,id14094,id14095,id14096,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14113,id14115,id14119,id14120,id14121,id14122,id14124,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16296,id16297,id16301,id9547
id10957,1,0.994082840236686,0.994117647058824,0.988095238095238,0.986754966887417,1,0.994082840236686,1,0.993827160493827,0.977011494252874,1,0.964705882352941,1,0.987951807228916,0.987012987012987,0.941176470588235,1,1,0.986111111111111,1,0.988888888888889,0.967032967032967,0.988636363636364,1,0.988505747126437,1,1,0.989010989010989,0.988888888888889,1,1,0.987341772151899,0.983606557377049,0.949152542372881,1,1,0.916666666666667,1,0.944444444444444,1,0.924418604651163
id10959,1,1,1,1,0.971830985915493,1,0.9875,1,0.986842105263158,1,1,0.936170212765957,1,0.909090909090909,0.953488372093023,0.955555555555556,1,1,1,1,1,0.959183673469388,1,1,1,1,1,1,1,1,1,0.973684210526316,0.96551724137931,0.925925925925926,1,0.954545454545455,0.952380952380952,1,0.952380952380952,1,0.925925925925926
id10960,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.979166666666667,1,1,1,1,1,0.981132075471698,0.981132075471698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,1,1,1,0.966101694915254
id10965,1,1,1,1,0.990196078431373,1,0.99618320610687,1,1,1,1,1,1,1,0.994652406417112,0.994652406417112,1,1,1,1,1,0.98974358974359,0.994818652849741,1,1,1,1,1,1,1,1,1,1,0.993333333333333,1,0.978723404255319,0.957894736842105,1,1,1,0.984674329501916
id10971,1,1,0.982758620689655,1,1,1,0.983333333333333,1,0.980769230769231,1,1,0.961538461538462,1,1,0.956521739130435,1,1,1,1,1,1,0.961538461538462,1,1,1,1,1,1,1,1,NaN,0.952380952380952,0.928571428571429,1,1,1,1,1,0.857142857142857,1,0.983050847457627
id10972,1,1,1,1,0.96551724137931,1,0.989583333333333,0.98989898989899,0.98876404494382,1,1,0.957446808510638,1,0.953488372093023,0.956521739130435,1,1,1,0.976190476190476,1,1,0.905660377358491,0.959183673469388,1,1,1,1,0.981132075471698,1,1,1,0.978260869565217,0.96969696969697,0.942857142857143,1,1,1,1,0.9,1,0.897959183673469
id10973,1,1,0.98936170212766,0.994708994708995,0.977443609022556,1,1,1,1,1,1,0.984848484848485,1,1,0.992,0.977099236641221,0.992753623188406,1,0.992063492063492,1,1,0.992805755395684,0.985401459854015,1,1,1,1,1,0.992592592592593,1,1,0.992307692307692,1,1,1,1,0.979591836734694,1,1,1,0.963917525773196
id11610,0.994623655913979,0.98936170212766,0.99468085106383,0.994623655913979,0.985074626865672,1,0.99468085106383,0.994708994708995,0.993243243243243,0.993788819875776,0.993939393939394,0.993827160493827,0.993939393939394,0.991803278688525,0.9875,0.98125,0.993939393939394,0.993939393939394,0.992857142857143,0.99390243902439,0.987878787878788,0.981818181818182,0.98780487804878,0.99390243902439,0.987878787878788,0.993939393939394,0.99390243902439,0.993939393939394,0.99390243902439,0.993865030674847,0.978260869565217,0.992857142857143,0.992481203007519,0.984848484848485,0.988372093023256,0.964285714285714,0.964705882352941,0.988372093023256,0.987951807228916,0.988505747126437,0.98936170212766
id11920,1,0.989130434782609,0.979591836734694,1,0.987341772151899,1,1,1,1,0.982758620689655,1,0.96551724137931,1,0.927272727272727,0.981132075471698,0.949152542372881,1,1,1,1,1,0.938461538461538,1,1,0.96875,1,0.983870967741936,0.984615384615385,1,1,0.857142857142857,1,1,0.975609756097561,1,0.966666666666667,0.793103448275862,1,0.961538461538462,1,0.918367346938776
id14092,0.994505494505495,0.994565217391304,0.994535519125683,0.994444444444444,0.9921875,1,0.994505494505495,0.994505494505495,0.993006993006993,0.994535519125683,0.994565217391304,0.982954545454545,0.994565217391304,0.992857142857143,0.98876404494382,0.983240223463687,0.994505494505495,0.994565217391304,0.993103448275862,0.994505494505495,0.994475138121547,0.994565217391304,0.994505494505495,0.994535519125683,0.994505494505495,0.994565217391304,0.994535519125683,0.994535519125683,0.994535519125683,0.994565217391304,0.977777777777778,0.993333333333333,0.992857142857143,0.992857142857143,0.989583333333333,0.978947368421053,0.926315789473684,0.989583333333333,0.989247311827957,0.989583333333333,0.983695652173913
