Row,id10968,id10969,id10970,id11612,id14130,id1498,id1502,id1516,id1528,id1532,id1535,id1536,id1546,id1548,id1582,id1590,id1591,id1597,id1606,id1610,id16304
id10968,1,1,1,1,1,1,0.984848484848485,0.990740740740741,0.928571428571429,1,1,1,1,0.984615384615385,1,1,1,0.990291262135922,0.971698113207547,1,1
id10969,1,1,1,1,1,1,1,0.990196078431373,0.880952380952381,1,0.99009900990099,0.979591836734694,0.956521739130435,1,1,1,1,0.978021978021978,1,0.99009900990099,1
id10970,1,1,1,1,1,1,0.979591836734694,0.983606557377049,0.955555555555556,0.947368421052632,1,0.980392156862745,1,1,0.976744186046512,1,1,1,1,1,0.95
id11612,1,0.9375,0.909090909090909,1,1,1,1,0.971428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1
id14130,1,1,1,0.985294117647059,1,1,0.987341772151899,1,0.885714285714286,0.96551724137931,0.961538461538462,0.9875,0.928571428571429,1,1,1,1,1,1,1,1
id14134,1,1,NaN,1,1,1,1,1,0.964285714285714,NaN,1,1,NaN,1,1,1,1,1,1,1,NaN
id1498,1,1,1,1,1,1,1,0.98780487804878,0.946428571428571,1,1,1,1,0.983606557377049,1,1,0.990990990990991,0.99009900990099,1,0.981308411214953,1
id1502,1,1,0.944444444444444,1,1,1,1,0.987179487179487,0.924528301886792,1,1,1,0.888888888888889,1,1,1,1,1,1,1,1
id1516,1,1,1,1,1,1,0.979166666666667,0.976470588235294,0.875,1,0.988095238095238,1,0.96,1,0.985915492957747,0.99,0.989247311827957,0.98876404494382,0.989690721649485,0.989583333333333,1
id1528,1,1,1,1,0.928571428571429,1,1,0.925925925925926,1,1,0.96,1,1,1,1,0.95,1,0.96969696969697,1,0.973684210526316,1
id1532,1,1,1,1,0.974358974358974,1,0.976744186046512,0.983333333333333,0.916666666666667,1,1,0.977272727272727,0.91304347826087,1,0.954545454545455,0.972222222222222,1,0.983870967741936,0.971428571428571,0.955223880597015,1
id1535,1,1,0.944444444444444,1,0.945945945945946,1,1,0.983870967741936,0.909090909090909,1,1,0.951219512195122,0.904761904761905,1,0.980392156862745,0.972972972972973,0.969230769230769,0.970588235294118,1,0.986111111111111,1
id1536,1,1,1,1,1,1,1,0.988888888888889,0.913793103448276,1,1,1,0.916666666666667,1,1,1,0.990990990990991,0.990740740740741,1,0.990990990990991,1
id1546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976744186046512,0.933333333333333,1,1
id1548,1,1,1,1,1,1,1,0.992424242424242,0.950819672131147,1,0.992481203007519,1,0.9,1,1,1,0.993827160493827,0.979020979020979,1,0.993827160493827,1
id1582,1,1,NaN,0.96078431372549,1,1,0.964285714285714,0.988235294117647,0.851851851851852,NaN,0.975,0.964285714285714,NaN,1,1,1,1,1,1,1,NaN
id1590,1,1,1,1,1,1,0.9921875,0.994082840236686,0.830357142857143,1,0.976190476190476,0.9921875,0.958333333333333,1,1,1,1,0.990338164251208,0.990476190476191,1,1
id1591,1,1,1,1,1,1,1,0.978260869565217,0.896551724137931,1,1,1,1,1,0.976190476190476,1,1,1,1,1,1
id1597,1,1,1,1,1,1,0.981132075471698,0.988636363636364,0.869565217391304,1,0.975609756097561,0.981132075471698,0.956521739130435,1,1,1,1,1,0.990909090909091,1,1
id1606,1,1,0.967741935483871,1,1,1,1,0.987341772151899,0.88,1,0.987654320987654,1,0.9375,1,0.983870967741936,1,1,1,1,1,1
id1610,1,1,1,1,0.989583333333333,1,0.978723404255319,0.992805755395684,0.879518072289157,1,0.992537313432836,0.989583333333333,0.939393939393939,1,1,0.994252873563218,1,0.987951807228916,1,1,1
id16304,1,1,1,1,1,1,1,1,0.875,1,0.970588235294118,1,0.9375,1,NaN,1,1,1,1,1,1
id16306,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,0.952380952380952,1,NaN,1,1,1,1,1,1
id16307,1,1,1,1,1,1,1,1,0.777777777777778,1,1,1,1,1,NaN,1,1,1,1,1,1
id16308,1,1,1,1,1,1,1,1,0.823529411764706,1,1,1,0.904761904761905,1,NaN,1,1,1,1,1,1
id17701,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.75,1,NaN,1,1,1,1,1,1
