Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11611,id11920,id14091,id14092,id14094,id14095,id14096,id14097,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16292,id16293,id16296,id16297,id16301,id9547
id14099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14100,1,NaN,NaN,NaN,NaN,2,NaN,2,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,2,1,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1
id14101,1,1,3,2,1,7,1,2,NaN,4,3,3,4,1,1,NaN,5,4,1,1,2,3,4,1,1,1,1,1,4,2,1,1,3,NaN,1,NaN,3,1,1,1,1,1,NaN,NaN,2,1,2,1
id14103,1,1,2,2,1,4,1,3,NaN,2,3,2,4,1,2,NaN,3,4,1,1,3,4,4,2,1,1,1,1,4,3,1,1,4,NaN,1,NaN,2,1,1,1,1,1,NaN,NaN,3,1,2,2
id14104,3,NaN,8,1,NaN,16,NaN,1,NaN,7,7,7,7,NaN,3,NaN,6,8,NaN,2,NaN,9,7,NaN,NaN,1,1,1,7,NaN,2,NaN,7,NaN,NaN,1,7,NaN,NaN,3,NaN,NaN,NaN,NaN,3,2,1,NaN
id14105,NaN,NaN,5,NaN,NaN,7,NaN,2,NaN,6,6,6,7,NaN,NaN,NaN,7,7,NaN,1,2,6,8,1,NaN,1,NaN,2,7,1,1,NaN,7,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,1
id14106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id14107,2,NaN,2,NaN,NaN,13,NaN,NaN,NaN,2,2,2,3,NaN,3,NaN,1,2,NaN,2,NaN,4,2,1,NaN,NaN,NaN,1,2,1,2,NaN,2,NaN,NaN,NaN,2,NaN,NaN,2,NaN,NaN,NaN,NaN,2,2,1,NaN
id14108,NaN,NaN,3,NaN,NaN,5,NaN,2,NaN,4,4,3,3,NaN,NaN,NaN,3,4,NaN,NaN,1,3,4,NaN,NaN,1,NaN,1,4,NaN,NaN,NaN,4,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14109,1,NaN,5,NaN,NaN,14,1,2,NaN,5,5,5,6,NaN,2,1,5,6,NaN,1,1,6,6,3,NaN,1,NaN,1,7,1,2,NaN,7,1,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,1,1
