Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11611,id11920,id14091,id14092,id14094,id14095,id14096,id14097,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16292,id16293,id16296,id16297,id16301,id9547
id10957,0.75,0,0.833333333333333,0.5,0,1,0,0.8,NaN,0.833333333333333,0,0.833333333333333,0.875,0,0.75,NaN,0.875,0.857142857142857,0,0.75,0.5,0.9,0.857142857142857,0.5,0,1,1,0,0.857142857142857,0.666666666666667,0.75,0,0.857142857142857,NaN,0,NaN,0.833333333333333,0,0,0.75,0,0,NaN,NaN,1,0.75,0.5,0.75
id10959,0.666666666666667,0.5,0.75,0.8,0,1,0.5,0.8,0,0.75,0,0.75,0.875,0,0.666666666666667,0,0.75,0.833333333333333,0,0,0.8,0.857142857142857,0.857142857142857,0.666666666666667,0,0.5,1,0,0.857142857142857,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0,0.5,NaN,0.75,0,0,0.5,0,0,NaN,NaN,1,0.5,0.5,0.666666666666667
id10960,NaN,NaN,1,1,NaN,1,NaN,1,NaN,1,0,1,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,1,NaN,1,NaN,0,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id10965,1,NaN,1,1,NaN,1,1,1,NaN,1,0,1,1,NaN,1,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,0,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,1,1,NaN,NaN,NaN,1,NaN,1,1
id10971,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id10972,1,1,NaN,NaN,1,1,1,1,0,NaN,0,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,1,NaN,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id10973,1,NaN,1,1,NaN,1,1,1,0,1,0.0909090909090909,1,1,NaN,1,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,0,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id11232,1,1,0.666666666666667,1,1,0.5,1,1,1,1,1,0.5,0,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,0.5,NaN,1,1,1,1,NaN,1,NaN,1,1,1
id11609,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11610,1,1,1,NaN,NaN,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1
id11611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11616,1,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11920,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.333333333333333,1,0.25,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,NaN,0,NaN,1,1,1,1
id13078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14092,1,1,1,1,NaN,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1
id14094,1,NaN,1,1,1,1,NaN,1,NaN,1,0,1,1,NaN,1,NaN,1,1,NaN,1,1,1,1,1,NaN,1,NaN,0,1,1,1,1,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1
id14095,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,1,0.5,1,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,0,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14096,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,NaN,NaN,1,NaN,1,NaN,1,1,NaN,1,1,1,1,1,NaN,1,NaN,0,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id14097,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14098,1,NaN,1,NaN,NaN,1,NaN,1,NaN,1,0,1,1,NaN,1,NaN,1,1,NaN,1,NaN,1,1,NaN,NaN,1,NaN,0,1,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id14099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14100,1,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,0,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,0,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1
id14101,0,0,0.666666666666667,0.5,0,1,0,0.5,NaN,0.75,0,0.666666666666667,0.75,0,0,NaN,0.8,0.75,0,0,0.5,0.666666666666667,0.75,0,0,1,1,0,0.75,0.5,0,0,0.666666666666667,NaN,0,NaN,0.666666666666667,0,0,0,0,0,NaN,NaN,1,0,0.5,0
id14103,0,0,0.5,0.5,0,1,0,0.666666666666667,NaN,0.5,0,0.5,0.75,0,0.5,NaN,0.666666666666667,0.75,0,0,0.666666666666667,0.75,0.75,0.5,0,1,1,0,0.75,0.666666666666667,0,0,0.75,NaN,0,NaN,0.5,0,0,0,0,0,NaN,NaN,1,0,0.5,0.5
id14104,1,NaN,1,1,NaN,1,NaN,1,NaN,1,0.142857142857143,1,1,NaN,1,NaN,1,1,NaN,1,NaN,1,1,NaN,NaN,1,1,0,1,NaN,1,NaN,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id14105,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,1,0,1,1,NaN,NaN,NaN,1,1,NaN,1,1,1,1,1,NaN,1,NaN,0,1,1,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id14107,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,0,1,1,NaN,1,NaN,1,1,NaN,1,NaN,1,1,1,NaN,NaN,NaN,0,1,1,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id14108,NaN,NaN,0.666666666666667,NaN,NaN,1,NaN,1,NaN,1,0,1,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,0,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14109,1,NaN,1,NaN,NaN,1,1,1,NaN,1,0,1,1,NaN,1,0,1,1,NaN,1,1,1,1,1,NaN,1,NaN,0,1,1,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14110,1,1,1,NaN,NaN,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1
