Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11920,id14092,id14094,id14096,id14101,id14103,id14104,id14105,id14107,id14108,id14110,id14113,id14119,id14120,id14121,id14122,id14219,id1496,id16033,id16094,id16282,id16296,id16297,id16301,id9547
id10957,0.961538461538462,0.961538461538462,0.96,0.961538461538462,0.96,1,0.961538461538462,0.961538461538462,0.961538461538462,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,NaN,0.5,0.5,0,1,0,0,0.961538461538462
id10959,0.5,0.666666666666667,0.5,0.5,0.5,1,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,0,0,1,0,0,0.666666666666667
id10960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,1
id10965,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id10971,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id10972,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id10973,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.666666666666667,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id11610,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id11920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,1
id14092,1,1,1,NaN,0,NaN,1,1,1,1,1,1,1,0.5,1,1,1,NaN,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
