233,1,8,26,2,0,13,16,11,8,5
54,0,54,6,0,0,9,6,3,8,4
0,22,11,109,20,21,62,68,1373,108,118
0,0,4,14,1,2,61,5,1,2,0
0,8,2,22,86,9,49,8,31,33,10
1,38,12,75,4,0,19,108,184,33,21
16,67,30,24,12,475,90,61,116,84,39
5,53,13,99,8,9,16,18,747,74,42
17,171,7,17,12,35,0,87,84,37,17
14,16,0,1056,5,2,76,1,5,5,3
2,11,19,35,0,1,8,79,67,38,1
1,8,74,31,0,0,13,460,2,6,4
6,18,407,24,0,3,5,67,6,9,1
0,3,2,21,10,0,18,4,7,18,47
0,343,32,54,3,3,6,167,126,42,11
3,15,6,9,0,0,0,26,13,164,4
9,147,53,99,8,311,49,237,367,124,73
48,61,5,110,11,0,83,45,33,53,1980
1,25,1,16,2,0,1,178,8,1,5
3,4,12,28,5,0,10,6,35,376,22
3,4,7,32,5,2,47,22,57,1162,23
4,60,1,128,18,2,7,40,81,16,174
1,16,5,9,5,2,3,4,96,44,5
2,2,78,42,102,0,10,14,13,3,13
23,16,950,41,6,1,20,63,38,19,15
1,9,5,205,3,0,22,83,48,22,5
0,0,5,3,0,1,14,0,0,2,0
1,19,0,35,179,0,19,3,8,2,66
0,4,0,12,2,2,103,7,3,12,1
0,1847,0,13,2,5,2,8,8,4,11
0,32,26,18,2,2,42,607,37,19,2
1,3,137,6,0,0,2,34,2,2,0
